Team,Date,Score
100 Thieves,2024-01-20,2328.186746
100 Thieves,2024-01-21,-5022.897783
100 Thieves,2024-01-27,-2392.573893
100 Thieves,2024-01-28,5113.94495
100 Thieves,2024-02-02,-5919.019732
100 Thieves,2024-02-03,7433.679168
100 Thieves,2024-02-04,6660.472442
100 Thieves,2024-02-10,3257.632832
100 Thieves,2024-02-11,243.6815547
100 Thieves,2024-03-03,4497.696229
100 Thieves,2024-03-03,-5258.509327
100 Thieves,2024-03-08,5744.451653
100 Thieves,2024-03-09,4771.385484
100 Thieves,2024-03-10,4707.853965
100 Thieves,2024-03-14,-6219.916481
100 Thieves,2024-03-14,-5531.332355
100 Thieves,2024-03-14,-4569.370718
100 Thieves,2024-03-16,-4466.863632
100 Thieves,2024-03-16,5000.104076
100 Thieves,2024-03-16,6877.761366
100 Thieves,2024-03-16,509.3439005
100 Thieves,2024-03-16,7456.213757
100 Thieves,2024-03-22,-6723.808359
100 Thieves,2024-03-22,10107.75142
100 Thieves,2024-03-22,-1104.531562
100 Thieves,2024-03-22,-4451.826468
100 Thieves,2024-06-16,3632.721909
100 Thieves,2024-06-16,6395.016927
100 Thieves,2024-06-22,-4031.975539
100 Thieves,2024-06-22,-4640.521497
100 Thieves,2024-06-27,-3242.48233
100 Thieves,2024-06-27,-6326.868501
100 Thieves,2024-07-21,-5522.100301
100 Thieves,2024-07-21,-6360.940697
100 Thieves,2024-07-28,4114.780749
100 Thieves,2024-07-28,-6122.564841
100 Thieves,2024-07-28,-7134.411156
100 Thieves,2024-08-03,1249.726687
100 Thieves,2024-08-03,7146.265188
100 Thieves,2024-08-10,6256.028828
100 Thieves,2024-08-10,-4830.680872
100 Thieves,2024-08-10,219.1444284
100 Thieves,2024-08-17,3649.991278
100 Thieves,2024-08-17,2911.85112
100 Thieves,2024-08-17,7290.117247
100 Thieves,2024-08-24,-6330.366853
100 Thieves,2024-08-24,-4941.769676
100 Thieves,2024-08-24,-4105.764679
100 Thieves,2024-08-30,-1881.519695
100 Thieves,2024-08-30,4168.262214
100 Thieves,2024-08-30,-5565.658289
100 Thieves,2024-08-30,2823.361312
100 Thieves,2024-08-30,6611.372627
100 Thieves,2024-09-01,5274.685459
100 Thieves,2024-09-01,-5226.292296
100 Thieves,2024-09-01,3827.220555
100 Thieves,2024-09-01,8339.047958
100 Thieves,2024-09-06,-3720.749478
100 Thieves,2024-09-06,-1081.325803
100 Thieves,2024-09-06,-6632.322912
