Team,Date,Score
Bilibili Gaming,2024-01-22,9562.157026
Bilibili Gaming,2024-01-22,-5814.496623
Bilibili Gaming,2024-01-22,8989.096995
Bilibili Gaming,2024-01-26,8399.229149
Bilibili Gaming,2024-01-26,5446.6352
Bilibili Gaming,2024-01-29,7959.508921
Bilibili Gaming,2024-01-29,5960.815285
Bilibili Gaming,2024-02-03,4828.150452
Bilibili Gaming,2024-02-03,6499.268281
Bilibili Gaming,2024-02-06,7233.42288
Bilibili Gaming,2024-02-06,4619.023975
Bilibili Gaming,2024-02-20,-5055.0253
Bilibili Gaming,2024-02-20,-6406.458873
Bilibili Gaming,2024-02-24,6512.099858
Bilibili Gaming,2024-02-24,-4403.999799
Bilibili Gaming,2024-02-24,-54.00911745
Bilibili Gaming,2024-02-27,8042.971407
Bilibili Gaming,2024-02-27,7009.341007
Bilibili Gaming,2024-03-01,7583.167701
Bilibili Gaming,2024-03-01,4774.637809
Bilibili Gaming,2024-03-04,3819.74859
Bilibili Gaming,2024-03-04,4153.354383
Bilibili Gaming,2024-03-08,8533.359564
Bilibili Gaming,2024-03-08,10469.80849
Bilibili Gaming,2024-03-10,10621.65004
Bilibili Gaming,2024-03-10,7704.388612
Bilibili Gaming,2024-03-14,2245.197262
Bilibili Gaming,2024-03-14,7556.897872
Bilibili Gaming,2024-03-16,11340.12533
Bilibili Gaming,2024-03-16,4172.506999
Bilibili Gaming,2024-03-20,5599.495054
Bilibili Gaming,2024-03-20,-7123.208302
Bilibili Gaming,2024-03-20,6611.186858
Bilibili Gaming,2024-03-23,9100.329767
Bilibili Gaming,2024-03-23,5117.869123
Bilibili Gaming,2024-04-06,8087.486749
Bilibili Gaming,2024-04-06,-5156.239683
Bilibili Gaming,2024-04-06,8664.822921
Bilibili Gaming,2024-04-06,8095.790235
Bilibili Gaming,2024-04-11,8502.350438
Bilibili Gaming,2024-04-11,-2725.21572
Bilibili Gaming,2024-04-11,8904.360526
Bilibili Gaming,2024-04-11,-1843.941485
Bilibili Gaming,2024-04-11,3775.113849
Bilibili Gaming,2024-04-20,1706.431646
Bilibili Gaming,2024-04-20,13935.06154
Bilibili Gaming,2024-04-20,-1067.233465
Bilibili Gaming,2024-04-20,7222.501543
Bilibili Gaming,2024-05-09,9474.659868
Bilibili Gaming,2024-05-09,-2945.775828
Bilibili Gaming,2024-05-09,6720.656351
Bilibili Gaming,2024-05-09,-5163.454337
Bilibili Gaming,2024-05-09,12662.86391
Bilibili Gaming,2024-05-12,7367.503045
Bilibili Gaming,2024-05-12,-9286.008948
Bilibili Gaming,2024-05-12,10848.9896
Bilibili Gaming,2024-05-12,4700.948883
Bilibili Gaming,2024-05-16,12121.17795
Bilibili Gaming,2024-05-16,-6048.156024
Bilibili Gaming,2024-05-16,-5545.181594
Bilibili Gaming,2024-05-16,-1890.756046
Bilibili Gaming,2024-05-18,4822.496413
Bilibili Gaming,2024-05-18,-797.9864083
Bilibili Gaming,2024-05-18,13467.71567
Bilibili Gaming,2024-05-18,-5991.321453
Bilibili Gaming,2024-05-18,7879.040226
Bilibili Gaming,2024-05-19,-2325.610558
Bilibili Gaming,2024-05-19,-7352.359065
Bilibili Gaming,2024-05-19,3359.730766
Bilibili Gaming,2024-05-19,-6115.941684
Bilibili Gaming,2024-06-06,7939.759018
Bilibili Gaming,2024-06-06,10245.82017
Bilibili Gaming,2024-06-10,3513.955737
Bilibili Gaming,2024-06-10,5893.692322
Bilibili Gaming,2024-06-13,205.3387892
Bilibili Gaming,2024-06-13,4285.043113
Bilibili Gaming,2024-06-13,9363.603296
Bilibili Gaming,2024-06-18,5281.352422
Bilibili Gaming,2024-06-18,9910.705341
Bilibili Gaming,2024-06-22,4723.331683
Bilibili Gaming,2024-06-22,2707.592804
Bilibili Gaming,2024-06-27,-5641.793443
Bilibili Gaming,2024-06-27,8009.625334
Bilibili Gaming,2024-06-27,872.5741664
Bilibili Gaming,2024-07-04,-4291.713011
Bilibili Gaming,2024-07-04,7134.335883
Bilibili Gaming,2024-07-04,-5394.287303
Bilibili Gaming,2024-07-12,2167.569235
Bilibili Gaming,2024-07-12,7645.596761
Bilibili Gaming,2024-07-12,12271.50872
Bilibili Gaming,2024-07-15,9372.347771
Bilibili Gaming,2024-07-15,6311.426475
Bilibili Gaming,2024-07-18,-2991.619684
Bilibili Gaming,2024-07-18,6299.307944
Bilibili Gaming,2024-07-18,-3729.870162
Bilibili Gaming,2024-07-20,-378.3115023
Bilibili Gaming,2024-07-20,2642.011941
Bilibili Gaming,2024-07-20,4202.930915
Bilibili Gaming,2024-07-23,-5401.736394
Bilibili Gaming,2024-07-23,11178.5647
Bilibili Gaming,2024-07-23,5703.798183
Bilibili Gaming,2024-07-26,-5040.122071
Bilibili Gaming,2024-07-26,4957.343864
Bilibili Gaming,2024-07-26,5245.530759
Bilibili Gaming,2024-07-30,8820.339585
Bilibili Gaming,2024-07-30,950.1182375
Bilibili Gaming,2024-07-30,7091.123001
Bilibili Gaming,2024-07-31,4230.293915
Bilibili Gaming,2024-07-31,10010.64556
Bilibili Gaming,2024-08-17,6421.789604
Bilibili Gaming,2024-08-17,8671.066988
Bilibili Gaming,2024-08-17,9627.164141
Bilibili Gaming,2024-08-21,-2220.554664
Bilibili Gaming,2024-08-21,10003.00833
Bilibili Gaming,2024-08-21,7636.666891
Bilibili Gaming,2024-08-21,6488.149549
Bilibili Gaming,2024-08-30,865.2461343
Bilibili Gaming,2024-08-30,15655.51
Bilibili Gaming,2024-08-30,-2207.55384
