Team,Date,Score
Dplus KIA,2024-01-18,7982.675077
Dplus KIA,2024-01-18,3131.677122
Dplus KIA,2024-01-21,5596.168404
Dplus KIA,2024-01-21,2887.960668
Dplus KIA,2024-01-21,-3287.235999
Dplus KIA,2024-01-25,7365.927396
Dplus KIA,2024-01-25,10295.26957
Dplus KIA,2024-01-27,7315.605115
Dplus KIA,2024-01-27,-3065.545089
Dplus KIA,2024-01-27,-6264.159805
Dplus KIA,2024-01-31,-5567.644863
Dplus KIA,2024-01-31,-4774.126101
Dplus KIA,2024-02-02,-6432.788966
Dplus KIA,2024-02-02,-1713.80925
Dplus KIA,2024-02-15,-5796.87882
Dplus KIA,2024-02-15,-3272.030361
Dplus KIA,2024-02-17,9023.507418
Dplus KIA,2024-02-17,8006.020885
Dplus KIA,2024-02-22,9400.506658
Dplus KIA,2024-02-22,10608.7821
Dplus KIA,2024-02-25,12086.45327
Dplus KIA,2024-02-25,-6623.674966
Dplus KIA,2024-02-25,8902.521817
Dplus KIA,2024-02-29,8222.373901
Dplus KIA,2024-02-29,5684.009324
Dplus KIA,2024-03-03,-1889.438791
Dplus KIA,2024-03-03,-5345.885394
Dplus KIA,2024-03-03,4082.201194
Dplus KIA,2024-03-08,753.3043624
Dplus KIA,2024-03-08,2742.920717
Dplus KIA,2024-03-10,-3727.642487
Dplus KIA,2024-03-10,8826.28015
Dplus KIA,2024-03-10,2616.897215
Dplus KIA,2024-03-13,-4703.342706
Dplus KIA,2024-03-13,-1124.738483
Dplus KIA,2024-03-17,7775.861264
Dplus KIA,2024-03-17,-4171.212797
Dplus KIA,2024-03-17,-845.8398301
Dplus KIA,2024-03-21,-1254.545857
Dplus KIA,2024-03-21,-4259.920983
Dplus KIA,2024-03-23,-5474.89695
Dplus KIA,2024-03-23,-5938.630775
Dplus KIA,2024-03-31,2437.466059
Dplus KIA,2024-03-31,-5324.282822
Dplus KIA,2024-03-31,-6123.054481
Dplus KIA,2024-03-31,8878.769113
Dplus KIA,2024-03-31,9284.47259
Dplus KIA,2024-04-03,-2413.0323
Dplus KIA,2024-04-03,6950.908449
Dplus KIA,2024-04-03,-3299.97596
Dplus KIA,2024-04-03,-717.7625654
Dplus KIA,2024-04-03,-3348.355474
Dplus KIA,2024-04-07,-2047.724786
Dplus KIA,2024-04-07,-3217.532553
Dplus KIA,2024-04-07,-1499.984865
Dplus KIA,2024-06-12,12423.80095
Dplus KIA,2024-06-12,-3713.644211
Dplus KIA,2024-06-12,5958.283263
Dplus KIA,2024-06-15,5989.397911
Dplus KIA,2024-06-15,-5536.237315
Dplus KIA,2024-06-15,9074.726067
Dplus KIA,2024-06-19,-3073.135448
Dplus KIA,2024-06-19,-5405.017932
Dplus KIA,2024-06-22,6097.373131
Dplus KIA,2024-06-22,14813.55051
Dplus KIA,2024-06-27,7662.789477
Dplus KIA,2024-06-27,6217.36739
Dplus KIA,2024-06-30,-182.527061
Dplus KIA,2024-06-30,8365.36656
Dplus KIA,2024-06-30,10645.82044
Dplus KIA,2024-07-11,7738.982975
Dplus KIA,2024-07-11,11462.2148
Dplus KIA,2024-07-13,-5776.866879
Dplus KIA,2024-07-13,-3204.184341
Dplus KIA,2024-07-17,4465.343961
Dplus KIA,2024-07-17,10187.80324
Dplus KIA,2024-07-20,10797.73535
Dplus KIA,2024-07-20,-6304.363675
Dplus KIA,2024-07-20,-4241.674373
Dplus KIA,2024-07-25,5483.530051
Dplus KIA,2024-07-25,6796.498222
Dplus KIA,2024-07-27,-4741.688543
Dplus KIA,2024-07-27,7003.792933
Dplus KIA,2024-07-27,3006.634939
Dplus KIA,2024-07-31,2026.389409
Dplus KIA,2024-07-31,-6811.517352
Dplus KIA,2024-07-31,-3637.027601
Dplus KIA,2024-08-02,2440.570564
Dplus KIA,2024-08-02,-4797.444134
Dplus KIA,2024-08-02,10914.49425
Dplus KIA,2024-08-08,-2476.38496
Dplus KIA,2024-08-08,5038.608648
Dplus KIA,2024-08-08,5731.350106
Dplus KIA,2024-08-11,955.9865061
Dplus KIA,2024-08-11,535.7150651
Dplus KIA,2024-08-11,6825.077219
Dplus KIA,2024-08-15,3981.303415
Dplus KIA,2024-08-15,11020.12386
Dplus KIA,2024-08-17,8108.915051
Dplus KIA,2024-08-17,11387.84372
Dplus KIA,2024-08-23,6499.813821
Dplus KIA,2024-08-23,9036.493417
Dplus KIA,2024-08-23,3767.890125
Dplus KIA,2024-08-23,9818.125277
Dplus KIA,2024-08-28,-4901.789649
Dplus KIA,2024-08-28,-2178.200572
Dplus KIA,2024-08-28,-4415.954297
Dplus KIA,2024-09-01,4549.437402
Dplus KIA,2024-09-01,-3104.270971
Dplus KIA,2024-09-01,-8349.437567
Dplus KIA,2024-09-01,-4003.69914
