Team,Date,Score
FlyQuest,2024-01-20,2630.960604
FlyQuest,2024-01-21,5228.714983
FlyQuest,2024-01-27,4037.258061
FlyQuest,2024-01-28,-5945.507148
FlyQuest,2024-02-02,7120.417455
FlyQuest,2024-02-03,4185.439989
FlyQuest,2024-02-04,5568.475014
FlyQuest,2024-02-10,-5389.627937
FlyQuest,2024-02-11,5137.120068
FlyQuest,2024-03-02,-4357.299805
FlyQuest,2024-03-03,9431.643821
FlyQuest,2024-03-08,-4537.015861
FlyQuest,2024-03-09,4252.910685
FlyQuest,2024-03-10,4751.421982
FlyQuest,2024-03-15,8857.149832
FlyQuest,2024-03-15,-495.1146918
FlyQuest,2024-03-15,4820.706485
FlyQuest,2024-03-15,-2523.630522
FlyQuest,2024-03-15,6632.873561
FlyQuest,2024-03-23,5438.129078
FlyQuest,2024-03-23,3587.20063
FlyQuest,2024-03-23,4837.304484
FlyQuest,2024-03-31,-6652.618888
FlyQuest,2024-03-31,4968.177741
FlyQuest,2024-03-31,-3314.848402
FlyQuest,2024-03-31,-5222.421852
FlyQuest,2024-05-01,1098.086139
FlyQuest,2024-05-01,8337.418162
FlyQuest,2024-05-01,10068.76686
FlyQuest,2024-05-03,-5133.364963
FlyQuest,2024-05-03,-5166.517654
FlyQuest,2024-05-05,-4280.093263
FlyQuest,2024-05-05,-8484.876771
FlyQuest,2024-06-15,1478.372246
FlyQuest,2024-06-15,6404.320518
FlyQuest,2024-06-15,-5720.030009
FlyQuest,2024-06-23,4660.607453
FlyQuest,2024-06-23,-3226.320631
FlyQuest,2024-06-23,4777.953924
FlyQuest,2024-06-28,7125.768674
FlyQuest,2024-06-28,4596.733276
FlyQuest,2024-07-05,4041.986805
FlyQuest,2024-07-05,-4833.692533
FlyQuest,2024-07-05,-2874.781421
FlyQuest,2024-07-20,240.1683018
FlyQuest,2024-07-20,10881.49396
FlyQuest,2024-07-28,-2835.308059
FlyQuest,2024-07-28,7249.721943
FlyQuest,2024-07-28,8508.223519
FlyQuest,2024-08-04,1374.593686
FlyQuest,2024-08-04,-3285.689919
FlyQuest,2024-08-05,5625.522705
FlyQuest,2024-08-11,-3424.931183
FlyQuest,2024-08-11,654.2521265
FlyQuest,2024-08-18,9929.597665
FlyQuest,2024-08-18,-3568.040366
FlyQuest,2024-08-18,4499.167483
FlyQuest,2024-08-18,7056.433007
FlyQuest,2024-08-25,-222.3724375
FlyQuest,2024-08-25,3109.555172
FlyQuest,2024-08-25,3440.667591
FlyQuest,2024-08-25,7808.293402
FlyQuest,2024-08-31,-1015.963412
FlyQuest,2024-08-31,7544.154747
FlyQuest,2024-08-31,-3834.12405
FlyQuest,2024-08-31,11034.50378
FlyQuest,2024-08-31,-3664.246672
FlyQuest,2024-09-06,3476.181267
FlyQuest,2024-09-06,4949.107293
FlyQuest,2024-09-06,9598.733908
FlyQuest,2024-09-07,5824.483512
FlyQuest,2024-09-07,-5477.06881
FlyQuest,2024-09-07,9742.370472
FlyQuest,2024-09-07,-1044.329295
