Team,Date,Score
Fukuoka SoftBank HAWKS gaming,2024-01-20,603.4094179
Fukuoka SoftBank HAWKS gaming,2024-01-20,-1518.515803
Fukuoka SoftBank HAWKS gaming,2024-01-21,3585.511853
Fukuoka SoftBank HAWKS gaming,2024-01-21,4922.534345
Fukuoka SoftBank HAWKS gaming,2024-01-27,4037.803187
Fukuoka SoftBank HAWKS gaming,2024-01-27,3545.619614
Fukuoka SoftBank HAWKS gaming,2024-01-28,3221.851249
Fukuoka SoftBank HAWKS gaming,2024-01-28,2925.892865
Fukuoka SoftBank HAWKS gaming,2024-02-03,-3797.767881
Fukuoka SoftBank HAWKS gaming,2024-02-03,1164.275731
Fukuoka SoftBank HAWKS gaming,2024-02-04,-4005.280163
Fukuoka SoftBank HAWKS gaming,2024-02-04,1504.540547
Fukuoka SoftBank HAWKS gaming,2024-02-10,7349.769972
Fukuoka SoftBank HAWKS gaming,2024-02-10,3120.082743
Fukuoka SoftBank HAWKS gaming,2024-02-11,3968.509502
Fukuoka SoftBank HAWKS gaming,2024-02-11,992.7455718
Fukuoka SoftBank HAWKS gaming,2024-02-17,4128.731087
Fukuoka SoftBank HAWKS gaming,2024-02-17,4170.895289
Fukuoka SoftBank HAWKS gaming,2024-02-18,3137.42092
Fukuoka SoftBank HAWKS gaming,2024-02-18,5401.56342
Fukuoka SoftBank HAWKS gaming,2024-02-25,4217.620981
Fukuoka SoftBank HAWKS gaming,2024-02-25,5810.191263
Fukuoka SoftBank HAWKS gaming,2024-02-25,4369.547383
Fukuoka SoftBank HAWKS gaming,2024-03-03,2647.06288
Fukuoka SoftBank HAWKS gaming,2024-03-03,2011.470744
Fukuoka SoftBank HAWKS gaming,2024-03-03,3797.006907
Fukuoka SoftBank HAWKS gaming,2024-03-24,-3200.90536
Fukuoka SoftBank HAWKS gaming,2024-03-24,2867.317599
Fukuoka SoftBank HAWKS gaming,2024-03-24,-2135.713528
Fukuoka SoftBank HAWKS gaming,2024-03-24,4743.82572
Fukuoka SoftBank HAWKS gaming,2024-03-24,-735.0984193
Fukuoka SoftBank HAWKS gaming,2024-03-28,4951.694384
Fukuoka SoftBank HAWKS gaming,2024-03-28,-3128.461879
Fukuoka SoftBank HAWKS gaming,2024-03-28,4020.965188
Fukuoka SoftBank HAWKS gaming,2024-03-28,-3566.343818
Fukuoka SoftBank HAWKS gaming,2024-03-28,7057.108651
Fukuoka SoftBank HAWKS gaming,2024-03-31,4227.007808
Fukuoka SoftBank HAWKS gaming,2024-03-31,-1838.006317
Fukuoka SoftBank HAWKS gaming,2024-03-31,-408.1566118
Fukuoka SoftBank HAWKS gaming,2024-03-31,4331.420362
Fukuoka SoftBank HAWKS gaming,2024-03-31,3991.218285
Fukuoka SoftBank HAWKS gaming,2024-04-06,2952.573856
Fukuoka SoftBank HAWKS gaming,2024-04-06,4000.004546
Fukuoka SoftBank HAWKS gaming,2024-04-06,4024.942983
Fukuoka SoftBank HAWKS gaming,2024-04-07,-3103.17131
Fukuoka SoftBank HAWKS gaming,2024-04-07,-6133.343439
Fukuoka SoftBank HAWKS gaming,2024-04-07,-4366.818544
Fukuoka SoftBank HAWKS gaming,2024-06-07,2764.947841
Fukuoka SoftBank HAWKS gaming,2024-06-07,4629.161288
Fukuoka SoftBank HAWKS gaming,2024-06-08,2870.281203
Fukuoka SoftBank HAWKS gaming,2024-06-08,4386.102333
Fukuoka SoftBank HAWKS gaming,2024-06-15,4595.451572
Fukuoka SoftBank HAWKS gaming,2024-06-15,2013.244943
