Team,Date,Score
G2 Esports,2024-01-13,2982.072362
G2 Esports,2024-01-14,1491.200539
G2 Esports,2024-01-15,-5596.659139
G2 Esports,2024-01-20,3038.286729
G2 Esports,2024-01-21,7029.690155
G2 Esports,2024-01-22,-6042.062946
G2 Esports,2024-01-27,2257.19853
G2 Esports,2024-01-28,6474.271115
G2 Esports,2024-01-29,7758.064607
G2 Esports,2024-02-03,8711.187527
G2 Esports,2024-02-03,9304.302817
G2 Esports,2024-02-05,10483.65339
G2 Esports,2024-02-05,-4849.777426
G2 Esports,2024-02-05,7922.904878
G2 Esports,2024-02-11,2365.334029
G2 Esports,2024-02-11,4847.557464
G2 Esports,2024-02-11,11040.77415
G2 Esports,2024-02-18,-3868.37895
G2 Esports,2024-02-18,11663.61263
G2 Esports,2024-02-18,13559.37381
G2 Esports,2024-02-18,7976.026302
G2 Esports,2024-03-09,7215.682492
G2 Esports,2024-03-10,5339.618654
G2 Esports,2024-03-11,3799.057937
G2 Esports,2024-03-16,5935.392108
G2 Esports,2024-03-17,-8001.62624
G2 Esports,2024-03-18,6949.703784
G2 Esports,2024-03-22,6998.416731
G2 Esports,2024-03-23,-3041.810767
G2 Esports,2024-03-25,-4608.23007
G2 Esports,2024-03-31,5905.448911
G2 Esports,2024-03-31,3968.847063
G2 Esports,2024-04-01,9247.549902
G2 Esports,2024-04-01,4264.018224
G2 Esports,2024-04-07,4645.214302
G2 Esports,2024-04-07,-2256.694304
G2 Esports,2024-04-07,10140.45847
G2 Esports,2024-04-07,2098.484035
G2 Esports,2024-04-14,-6377.140708
G2 Esports,2024-04-14,2187.259246
G2 Esports,2024-04-14,4604.935967
G2 Esports,2024-04-14,7653.965707
G2 Esports,2024-05-10,-3592.447942
G2 Esports,2024-05-10,8137.730063
G2 Esports,2024-05-10,10044.02569
G2 Esports,2024-05-10,-5907.192381
G2 Esports,2024-05-10,-4733.423397
G2 Esports,2024-05-12,7363.557657
G2 Esports,2024-05-12,10312.05473
G2 Esports,2024-05-12,5896.800553
G2 Esports,2024-05-14,11554.65995
G2 Esports,2024-05-14,7224.952267
G2 Esports,2024-05-14,4924.123843
G2 Esports,2024-05-17,-5278.570187
G2 Esports,2024-05-17,1293.08469
G2 Esports,2024-05-17,-2826.298223
G2 Esports,2024-06-08,4676.896918
G2 Esports,2024-06-09,-1685.736479
G2 Esports,2024-06-10,-4099.102972
G2 Esports,2024-06-15,-95.4534339
G2 Esports,2024-06-16,2648.652447
G2 Esports,2024-06-22,6415.434718
G2 Esports,2024-06-23,6474.36553
G2 Esports,2024-06-29,6920.030165
G2 Esports,2024-06-30,3588.268301
G2 Esports,2024-07-05,-72.79996995
G2 Esports,2024-07-05,5790.806528
G2 Esports,2024-07-05,3119.31714
G2 Esports,2024-07-06,-2557.314979
G2 Esports,2024-07-06,-4324.546409
G2 Esports,2024-07-13,4579.691083
G2 Esports,2024-07-13,5419.2917
G2 Esports,2024-07-14,3781.802555
G2 Esports,2024-07-14,3711.955748
G2 Esports,2024-07-22,8271.49479
G2 Esports,2024-07-22,-3167.056003
G2 Esports,2024-07-22,-4218.165224
G2 Esports,2024-07-22,3196.793381
G2 Esports,2024-07-22,-3444.644674
G2 Esports,2024-07-27,-3444.364455
G2 Esports,2024-07-27,3618.500647
G2 Esports,2024-07-27,4977.01561
G2 Esports,2024-07-27,-787.8992039
G2 Esports,2024-07-28,1594.093913
G2 Esports,2024-07-28,4017.022482
G2 Esports,2024-07-28,844.011293
G2 Esports,2024-08-11,5660.957767
G2 Esports,2024-08-11,152.1931829
G2 Esports,2024-08-11,6332.857817
G2 Esports,2024-08-11,-5877.409469
G2 Esports,2024-08-11,-1137.960904
G2 Esports,2024-08-18,10023.83862
G2 Esports,2024-08-18,1192.478085
G2 Esports,2024-08-18,5140.839819
G2 Esports,2024-08-23,-3916.736834
G2 Esports,2024-08-23,-4781.795988
G2 Esports,2024-08-23,6465.258894
G2 Esports,2024-08-23,4100.988457
G2 Esports,2024-08-23,6256.93499
G2 Esports,2024-08-31,-3129.17936
G2 Esports,2024-08-31,6727.316409
G2 Esports,2024-08-31,5888.154512
G2 Esports,2024-08-31,6142.198773
G2 Esports,2024-09-01,397.5178595
G2 Esports,2024-09-01,-3701.058814
G2 Esports,2024-09-01,6017.01851
G2 Esports,2024-09-01,3067.589317
