Team,Date,Score
GAM Esports,2024-01-21,4490.540292
GAM Esports,2024-01-21,3107.817943
GAM Esports,2024-01-26,3661.938124
GAM Esports,2024-01-26,4603.318187
GAM Esports,2024-01-28,2786.168077
GAM Esports,2024-01-28,2905.300196
GAM Esports,2024-02-01,4190.181783
GAM Esports,2024-02-01,2389.572199
GAM Esports,2024-02-03,2824.974874
GAM Esports,2024-02-03,5143.059204
GAM Esports,2024-02-17,4334.893161
GAM Esports,2024-02-17,4341.431592
GAM Esports,2024-02-23,757.2704751
GAM Esports,2024-02-23,-2761.838214
GAM Esports,2024-02-25,2044.127406
GAM Esports,2024-02-25,4555.751437
GAM Esports,2024-02-29,-4452.281875
GAM Esports,2024-02-29,3180.477953
GAM Esports,2024-02-29,-3867.953491
GAM Esports,2024-03-02,-811.2069419
GAM Esports,2024-03-02,-271.8615167
GAM Esports,2024-03-02,2795.1917
GAM Esports,2024-03-07,5980.078416
GAM Esports,2024-03-07,3459.086187
GAM Esports,2024-03-09,-1124.795378
GAM Esports,2024-03-09,2683.458744
GAM Esports,2024-03-09,-912.0998032
GAM Esports,2024-04-03,-2246.785086
GAM Esports,2024-04-03,-2803.087951
GAM Esports,2024-04-05,5338.547283
GAM Esports,2024-04-05,-371.1480214
GAM Esports,2024-04-05,5431.029264
GAM Esports,2024-04-05,3571.573252
GAM Esports,2024-04-06,3259.811875
GAM Esports,2024-04-06,2718.063777
GAM Esports,2024-04-06,7084.085466
GAM Esports,2024-04-07,2870.353163
GAM Esports,2024-04-07,-3260.26686
GAM Esports,2024-04-07,2228.879711
GAM Esports,2024-04-07,3948.253532
GAM Esports,2024-05-02,-3226.246369
GAM Esports,2024-05-02,-3820.685339
GAM Esports,2024-05-04,-1868.73892
GAM Esports,2024-05-04,3615.310618
GAM Esports,2024-05-04,5130.631222
GAM Esports,2024-05-05,-3739.786174
GAM Esports,2024-05-05,-90.07675387
GAM Esports,2024-06-22,3328.105284
GAM Esports,2024-06-22,-187.0924234
GAM Esports,2024-06-22,4507.67826
GAM Esports,2024-06-23,3978.95982
GAM Esports,2024-06-23,4742.796669
GAM Esports,2024-06-28,-973.0133847
GAM Esports,2024-06-28,1058.781678
GAM Esports,2024-06-28,1499.300646
GAM Esports,2024-06-30,3301.582698
GAM Esports,2024-06-30,-2440.243025
GAM Esports,2024-06-30,1027.474831
GAM Esports,2024-07-12,4748.309016
GAM Esports,2024-07-12,5430.388967
GAM Esports,2024-07-14,-3034.630615
GAM Esports,2024-07-14,-796.0169257
GAM Esports,2024-07-19,1404.724626
GAM Esports,2024-07-19,3748.889428
GAM Esports,2024-07-27,-71.93461685
GAM Esports,2024-07-27,-1323.150463
GAM Esports,2024-07-27,4446.127774
GAM Esports,2024-07-28,632.4114328
GAM Esports,2024-07-28,2723.110353
GAM Esports,2024-08-01,3867.987847
GAM Esports,2024-08-01,4063.990615
GAM Esports,2024-08-03,1447.710935
GAM Esports,2024-08-03,3403.73222
GAM Esports,2024-08-04,-2347.214954
GAM Esports,2024-08-04,-2527.219464
GAM Esports,2024-08-08,1615.657682
GAM Esports,2024-08-08,2594.401811
GAM Esports,2024-08-08,2193.914756
GAM Esports,2024-08-11,4902.205603
GAM Esports,2024-08-11,931.2294884
GAM Esports,2024-08-11,2083.746733
GAM Esports,2024-08-11,-1472.833682
GAM Esports,2024-08-11,3481.060679
GAM Esports,2024-08-18,3847.112421
GAM Esports,2024-08-18,6217.756771
GAM Esports,2024-08-18,6036.817291
