Team,Date,Score
Hanwha Life Esports,2024-01-19,3116.655668
Hanwha Life Esports,2024-01-19,4883.413325
Hanwha Life Esports,2024-01-21,4913.972293
Hanwha Life Esports,2024-01-21,6017.957242
Hanwha Life Esports,2024-01-24,6668.982966
Hanwha Life Esports,2024-01-24,10178.49384
Hanwha Life Esports,2024-01-28,-4524.713879
Hanwha Life Esports,2024-01-28,-5267.711267
Hanwha Life Esports,2024-02-02,9258.048535
Hanwha Life Esports,2024-02-02,2179.560529
Hanwha Life Esports,2024-02-04,5731.110388
Hanwha Life Esports,2024-02-04,-5443.233165
Hanwha Life Esports,2024-02-04,7182.908402
Hanwha Life Esports,2024-02-15,8087.26372
Hanwha Life Esports,2024-02-15,6379.935839
Hanwha Life Esports,2024-02-17,-6533.807188
Hanwha Life Esports,2024-02-17,-5042.106231
Hanwha Life Esports,2024-02-21,8621.053975
Hanwha Life Esports,2024-02-21,5771.542806
Hanwha Life Esports,2024-02-23,6778.910585
Hanwha Life Esports,2024-02-23,11323.06143
Hanwha Life Esports,2024-03-01,-5737.826669
Hanwha Life Esports,2024-03-01,2754.250129
Hanwha Life Esports,2024-03-01,5100.914167
Hanwha Life Esports,2024-03-03,6088.684108
Hanwha Life Esports,2024-03-03,8710.17546
Hanwha Life Esports,2024-03-06,-6347.940709
Hanwha Life Esports,2024-03-06,-4269.922827
Hanwha Life Esports,2024-03-08,10447.4713
Hanwha Life Esports,2024-03-08,8429.465725
Hanwha Life Esports,2024-03-13,6515.93327
Hanwha Life Esports,2024-03-13,-4778.94015
Hanwha Life Esports,2024-03-13,12720.13128
Hanwha Life Esports,2024-03-15,6855.914855
Hanwha Life Esports,2024-03-15,-6973.330207
Hanwha Life Esports,2024-03-15,9094.669653
Hanwha Life Esports,2024-03-21,-3222.432609
Hanwha Life Esports,2024-03-21,9589.795791
Hanwha Life Esports,2024-03-21,12980.48087
Hanwha Life Esports,2024-03-23,9780.361623
Hanwha Life Esports,2024-03-23,11366.11711
Hanwha Life Esports,2024-03-30,12636.08669
Hanwha Life Esports,2024-03-30,4055.136537
Hanwha Life Esports,2024-03-30,12136.76454
Hanwha Life Esports,2024-04-04,4101.357363
Hanwha Life Esports,2024-04-04,6567.516097
Hanwha Life Esports,2024-04-04,8609.635264
Hanwha Life Esports,2024-04-06,4420.251601
Hanwha Life Esports,2024-04-06,-3502.005004
Hanwha Life Esports,2024-04-06,4984.357286
Hanwha Life Esports,2024-04-06,-2811.732443
Hanwha Life Esports,2024-04-13,4071.348146
Hanwha Life Esports,2024-04-13,-3013.163083
Hanwha Life Esports,2024-04-13,-5503.083925
Hanwha Life Esports,2024-04-13,-4393.358568
Hanwha Life Esports,2024-06-12,-9079.727233
Hanwha Life Esports,2024-06-12,7178.040322
Hanwha Life Esports,2024-06-12,-3243.819686
Hanwha Life Esports,2024-06-16,13422.26487
Hanwha Life Esports,2024-06-16,-4010.911685
Hanwha Life Esports,2024-06-16,8675.224325
Hanwha Life Esports,2024-06-21,7385.962903
Hanwha Life Esports,2024-06-21,8493.9779
Hanwha Life Esports,2024-06-23,10629.37848
Hanwha Life Esports,2024-06-23,8378.923521
Hanwha Life Esports,2024-06-26,-3758.141837
Hanwha Life Esports,2024-06-26,-3179.768993
Hanwha Life Esports,2024-06-29,9447.633269
Hanwha Life Esports,2024-06-29,8309.532026
Hanwha Life Esports,2024-07-12,1670.340315
Hanwha Life Esports,2024-07-12,-4773.032352
Hanwha Life Esports,2024-07-12,1098.294227
Hanwha Life Esports,2024-07-14,7755.887098
Hanwha Life Esports,2024-07-14,7429.134862
Hanwha Life Esports,2024-07-17,6545.276744
Hanwha Life Esports,2024-07-17,3115.864166
Hanwha Life Esports,2024-07-20,4673.251047
Hanwha Life Esports,2024-07-20,5774.676164
Hanwha Life Esports,2024-07-25,8003.850443
Hanwha Life Esports,2024-07-25,4407.341934
Hanwha Life Esports,2024-07-27,5871.033031
Hanwha Life Esports,2024-07-27,-8135.070186
Hanwha Life Esports,2024-07-27,2263.969964
Hanwha Life Esports,2024-07-31,-8364.846831
Hanwha Life Esports,2024-07-31,2846.752276
Hanwha Life Esports,2024-07-31,-8027.139039
Hanwha Life Esports,2024-08-02,5333.607888
Hanwha Life Esports,2024-08-02,7065.05146
Hanwha Life Esports,2024-08-08,9567.192146
Hanwha Life Esports,2024-08-08,8342.201896
Hanwha Life Esports,2024-08-10,10538.06143
Hanwha Life Esports,2024-08-10,8366.51251
Hanwha Life Esports,2024-08-15,10956.17991
Hanwha Life Esports,2024-08-15,9602.148482
Hanwha Life Esports,2024-08-18,-4707.843429
Hanwha Life Esports,2024-08-18,-4401.549751
Hanwha Life Esports,2024-08-29,10984.33416
Hanwha Life Esports,2024-08-29,8457.902604
Hanwha Life Esports,2024-08-29,16503.75498
Hanwha Life Esports,2024-08-31,7571.207699
Hanwha Life Esports,2024-08-31,-6973.939106
Hanwha Life Esports,2024-08-31,-4277.711079
Hanwha Life Esports,2024-08-31,-6712.061307
Hanwha Life Esports,2024-09-07,6160.414363
Hanwha Life Esports,2024-09-07,-1766.38589
Hanwha Life Esports,2024-09-07,10153.1341
Hanwha Life Esports,2024-09-07,6652.539122
Hanwha Life Esports,2024-09-08,3829.497443
Hanwha Life Esports,2024-09-08,-6993.940719
Hanwha Life Esports,2024-09-08,-5330.135602
Hanwha Life Esports,2024-09-08,8626.150572
Hanwha Life Esports,2024-09-08,8591.295262
