Team,Date,Score
LNG Esports,2024-01-25,-3633.155002
LNG Esports,2024-01-25,3165.978511
LNG Esports,2024-01-25,1297.961226
LNG Esports,2024-01-28,8904.911398
LNG Esports,2024-01-28,7056.591812
LNG Esports,2024-02-01,-3846.978017
LNG Esports,2024-02-01,7284.634767
LNG Esports,2024-02-01,6403.439668
LNG Esports,2024-02-04,5673.445943
LNG Esports,2024-02-04,-5190.341178
LNG Esports,2024-02-04,-2418.643935
LNG Esports,2024-02-06,-6018.923661
LNG Esports,2024-02-06,-2262.158017
LNG Esports,2024-02-20,4515.120359
LNG Esports,2024-02-20,-5765.908574
LNG Esports,2024-02-20,-4887.242741
LNG Esports,2024-02-23,-6296.391064
LNG Esports,2024-02-23,-8215.875348
LNG Esports,2024-02-25,7081.057281
LNG Esports,2024-02-25,-477.9850568
LNG Esports,2024-02-25,-3521.283199
LNG Esports,2024-02-28,7348.300377
LNG Esports,2024-02-28,5593.051719
LNG Esports,2024-03-02,15457.32967
LNG Esports,2024-03-02,-4630.84875
LNG Esports,2024-03-02,10616.45527
LNG Esports,2024-03-08,-5279.568858
LNG Esports,2024-03-08,8798.060862
LNG Esports,2024-03-08,-6184.789043
LNG Esports,2024-03-12,12829.77643
LNG Esports,2024-03-12,-3168.139567
LNG Esports,2024-03-12,-2452.351227
LNG Esports,2024-03-16,6187.934577
LNG Esports,2024-03-16,10380.35534
LNG Esports,2024-03-20,6623.190489
LNG Esports,2024-03-20,7679.329835
LNG Esports,2024-03-23,11554.35581
LNG Esports,2024-03-23,7224.573679
LNG Esports,2024-03-27,-5499.161135
LNG Esports,2024-03-27,4735.799799
LNG Esports,2024-03-27,9624.315827
LNG Esports,2024-04-03,-6612.451019
LNG Esports,2024-04-03,-7410.875775
LNG Esports,2024-04-03,3127.785262
LNG Esports,2024-04-03,12032.22321
LNG Esports,2024-04-03,-4189.853419
LNG Esports,2024-06-03,7210.753376
LNG Esports,2024-06-03,10268.33931
LNG Esports,2024-06-07,-7459.417365
LNG Esports,2024-06-07,1050.774644
LNG Esports,2024-06-12,5327.953651
LNG Esports,2024-06-12,-1285.072567
LNG Esports,2024-06-12,-3213.751109
LNG Esports,2024-06-16,6021.110836
LNG Esports,2024-06-16,496.2317174
LNG Esports,2024-06-23,1276.563242
LNG Esports,2024-06-23,-4686.605082
LNG Esports,2024-06-23,-6294.637932
LNG Esports,2024-06-26,10661.81215
LNG Esports,2024-06-26,-1867.010103
LNG Esports,2024-06-26,5949.140062
LNG Esports,2024-07-07,7828.83435
LNG Esports,2024-07-07,8116.443876
LNG Esports,2024-07-10,6164.647014
LNG Esports,2024-07-10,-4343.099748
LNG Esports,2024-07-10,3458.373737
LNG Esports,2024-07-14,10233.08662
LNG Esports,2024-07-14,6735.434355
LNG Esports,2024-07-18,9611.127547
LNG Esports,2024-07-18,-5613.860509
LNG Esports,2024-07-18,5852.129133
LNG Esports,2024-07-21,-6561.729745
LNG Esports,2024-07-21,1626.163889
LNG Esports,2024-07-24,5202.434532
LNG Esports,2024-07-24,-6714.454323
LNG Esports,2024-07-24,6338.258955
LNG Esports,2024-07-27,-2322.142215
LNG Esports,2024-07-27,11390.88788
LNG Esports,2024-07-27,6709.17065
LNG Esports,2024-07-28,-1832.475752
LNG Esports,2024-07-28,6093.263039
LNG Esports,2024-07-28,4149.071673
LNG Esports,2024-08-18,-3553.757737
LNG Esports,2024-08-18,-2235.173892
LNG Esports,2024-08-18,-5221.035311
LNG Esports,2024-08-22,11171.68615
LNG Esports,2024-08-22,-5764.857499
LNG Esports,2024-08-22,10069.60444
LNG Esports,2024-08-22,-3350.074703
LNG Esports,2024-08-22,-5679.76584
