Team,Date,Score
MAD Lions KOI,2024-01-13,8070.552869
MAD Lions KOI,2024-01-14,-6137.36694
MAD Lions KOI,2024-01-15,4350.122117
MAD Lions KOI,2024-01-20,-3117.88354
MAD Lions KOI,2024-01-21,-7677.247228
MAD Lions KOI,2024-01-22,9115.313247
MAD Lions KOI,2024-01-27,6425.552145
MAD Lions KOI,2024-01-28,-3011.67473
MAD Lions KOI,2024-01-29,1403.705545
MAD Lions KOI,2024-02-04,-3027.729708
MAD Lions KOI,2024-02-04,-271.3539204
MAD Lions KOI,2024-02-10,8292.857217
MAD Lions KOI,2024-02-10,8216.015153
MAD Lions KOI,2024-02-12,8050.157066
MAD Lions KOI,2024-02-12,2459.292136
MAD Lions KOI,2024-02-16,4512.721733
MAD Lions KOI,2024-02-16,-5839.971813
MAD Lions KOI,2024-02-16,10705.42217
MAD Lions KOI,2024-02-16,-2870.757605
MAD Lions KOI,2024-02-16,457.0408213
MAD Lions KOI,2024-02-17,5202.329768
MAD Lions KOI,2024-02-17,6785.726572
MAD Lions KOI,2024-02-17,-1349.037261
MAD Lions KOI,2024-02-17,996.8055755
MAD Lions KOI,2024-02-17,4913.752405
MAD Lions KOI,2024-02-18,9974.749067
MAD Lions KOI,2024-02-18,-8068.164155
MAD Lions KOI,2024-02-18,-4938.675077
MAD Lions KOI,2024-02-18,-2240.076972
MAD Lions KOI,2024-03-09,10038.87526
MAD Lions KOI,2024-03-10,-3340.325933
MAD Lions KOI,2024-03-11,-4357.214161
MAD Lions KOI,2024-03-16,-1150.889676
MAD Lions KOI,2024-03-17,-4795.145632
MAD Lions KOI,2024-03-18,11382.2675
MAD Lions KOI,2024-03-22,-6370.110392
MAD Lions KOI,2024-03-23,5921.620604
MAD Lions KOI,2024-03-25,9599.848749
MAD Lions KOI,2024-03-31,-2161.88885
MAD Lions KOI,2024-03-31,-800.1757216
MAD Lions KOI,2024-04-02,-6072.988404
MAD Lions KOI,2024-04-02,6255.484142
MAD Lions KOI,2024-04-02,8834.605452
MAD Lions KOI,2024-04-06,1354.153775
MAD Lions KOI,2024-04-06,-3289.667447
MAD Lions KOI,2024-06-08,-3269.029848
MAD Lions KOI,2024-06-09,2430.262972
MAD Lions KOI,2024-06-10,2761.885535
MAD Lions KOI,2024-06-15,-4376.370875
MAD Lions KOI,2024-06-16,-7220.790503
MAD Lions KOI,2024-06-22,-6910.070072
MAD Lions KOI,2024-06-23,-2107.026774
MAD Lions KOI,2024-06-29,-4085.705006
MAD Lions KOI,2024-06-30,6505.843811
MAD Lions KOI,2024-06-30,7016.787022
MAD Lions KOI,2024-06-30,11835.05682
MAD Lions KOI,2024-07-12,5065.633087
MAD Lions KOI,2024-07-12,3319.462592
MAD Lions KOI,2024-07-12,5314.364251
MAD Lions KOI,2024-07-21,-5667.861016
MAD Lions KOI,2024-07-21,-4348.582481
MAD Lions KOI,2024-08-11,-4360.021984
MAD Lions KOI,2024-08-11,2753.818408
MAD Lions KOI,2024-08-11,4223.815541
MAD Lions KOI,2024-08-11,9279.02254
MAD Lions KOI,2024-08-11,5859.933839
MAD Lions KOI,2024-08-24,7207.739417
MAD Lions KOI,2024-08-24,-5958.123613
MAD Lions KOI,2024-08-24,1990.648246
MAD Lions KOI,2024-08-24,3727.717442
MAD Lions KOI,2024-08-24,-1509.242006
MAD Lions KOI,2024-08-31,7309.55475
MAD Lions KOI,2024-08-31,-4116.978175
MAD Lions KOI,2024-08-31,-4976.424268
MAD Lions KOI,2024-08-31,-4652.746223
