Team,Date,Score
Movistar R7,2024-01-16,-2143.895342
Movistar R7,2024-01-16,-2186.115534
Movistar R7,2024-01-17,2523.484426
Movistar R7,2024-01-18,2531.054365
Movistar R7,2024-01-23,1207.171169
Movistar R7,2024-01-23,1386.367754
Movistar R7,2024-01-26,2828.413002
Movistar R7,2024-01-26,2876.489319
Movistar R7,2024-01-31,2873.397321
Movistar R7,2024-02-01,4438.63482
Movistar R7,2024-02-01,1997.583271
Movistar R7,2024-02-08,-176.7540972
Movistar R7,2024-02-08,2177.1459
Movistar R7,2024-02-14,1168.041742
Movistar R7,2024-02-14,1542.413384
Movistar R7,2024-02-15,966.429264
Movistar R7,2024-02-15,3509.162892
Movistar R7,2024-02-20,2972.154042
Movistar R7,2024-02-20,3246.589091
Movistar R7,2024-02-21,3487.223165
Movistar R7,2024-02-22,2510.942935
Movistar R7,2024-02-27,1931.321614
Movistar R7,2024-02-28,3622.1874
Movistar R7,2024-03-06,2348.683624
Movistar R7,2024-03-06,1954.28271
Movistar R7,2024-03-06,1905.062873
Movistar R7,2024-03-19,2958.960464
Movistar R7,2024-03-19,2766.562321
Movistar R7,2024-03-19,-1313.964414
Movistar R7,2024-03-20,-2073.899458
Movistar R7,2024-03-20,-1727.209846
Movistar R7,2024-03-26,-2226.691215
Movistar R7,2024-03-26,4062.0811
Movistar R7,2024-03-27,-2714.841221
Movistar R7,2024-03-27,3310.41455
Movistar R7,2024-03-27,2366.904853
Movistar R7,2024-04-06,-2047.166558
Movistar R7,2024-04-06,-2256.756368
Movistar R7,2024-04-06,-1877.746899
Movistar R7,2024-06-11,2595.83746
Movistar R7,2024-06-11,-1351.243307
Movistar R7,2024-06-12,1878.526839
Movistar R7,2024-06-12,2512.061134
Movistar R7,2024-06-18,1487.163799
Movistar R7,2024-06-18,543.302139
Movistar R7,2024-06-20,-1970.681919
Movistar R7,2024-06-20,2480.129964
Movistar R7,2024-06-25,2684.827779
Movistar R7,2024-06-25,-2306.362872
Movistar R7,2024-07-10,2442.64987
Movistar R7,2024-07-10,-2036.59424
Movistar R7,2024-07-10,2292.739441
Movistar R7,2024-07-10,3268.897889
Movistar R7,2024-07-16,2118.297346
Movistar R7,2024-07-16,3331.027279
Movistar R7,2024-07-17,-1228.05064
Movistar R7,2024-07-17,2488.044202
Movistar R7,2024-07-24,2622.858522
Movistar R7,2024-07-24,-2601.12101
Movistar R7,2024-07-30,-757.5245981
Movistar R7,2024-07-30,-1228.050136
Movistar R7,2024-07-30,2198.68206
Movistar R7,2024-07-30,444.4480148
Movistar R7,2024-07-31,2460.652505
Movistar R7,2024-08-06,3194.015628
Movistar R7,2024-08-06,2626.838
Movistar R7,2024-08-06,-2877.017523
Movistar R7,2024-08-06,2157.537795
Movistar R7,2024-08-24,3116.819115
Movistar R7,2024-08-24,3080.513717
Movistar R7,2024-08-24,4132.113617
