Team,Date,Score
PSG Talon,2024-01-25,2756.811989
PSG Talon,2024-01-25,4677.566056
PSG Talon,2024-01-27,-3548.633427
PSG Talon,2024-01-27,2928.844386
PSG Talon,2024-01-27,-1805.361167
PSG Talon,2024-02-01,4460.156523
PSG Talon,2024-02-01,2070.454483
PSG Talon,2024-02-03,5045.603115
PSG Talon,2024-02-03,6707.737026
PSG Talon,2024-02-16,-3429.410663
PSG Talon,2024-02-16,-2388.597351
PSG Talon,2024-02-18,-3408.775343
PSG Talon,2024-02-18,1844.054787
PSG Talon,2024-02-18,44.57546294
PSG Talon,2024-02-24,4325.557778
PSG Talon,2024-02-24,3675.858483
PSG Talon,2024-03-01,5386.779492
PSG Talon,2024-03-01,-3492.857003
PSG Talon,2024-03-01,5384.765704
PSG Talon,2024-03-03,4367.333365
PSG Talon,2024-03-03,-1763.487218
PSG Talon,2024-03-03,2182.003689
PSG Talon,2024-03-20,-3181.830137
PSG Talon,2024-03-20,4655.05685
PSG Talon,2024-03-20,4495.996386
PSG Talon,2024-03-20,5804.390132
PSG Talon,2024-03-24,4661.116376
PSG Talon,2024-03-24,-1941.671926
PSG Talon,2024-03-24,2402.920261
PSG Talon,2024-03-24,-2991.722687
PSG Talon,2024-03-24,3685.370622
PSG Talon,2024-03-30,4558.884612
PSG Talon,2024-03-30,4871.143777
PSG Talon,2024-03-30,4360.211412
PSG Talon,2024-04-07,5122.725374
PSG Talon,2024-04-07,6416.447545
PSG Talon,2024-04-07,4563.663533
PSG Talon,2024-05-01,724.5009719
PSG Talon,2024-05-01,-2552.835723
PSG Talon,2024-05-01,-2892.843675
PSG Talon,2024-05-04,4464.800121
PSG Talon,2024-05-04,6585.900699
PSG Talon,2024-05-05,2662.624645
PSG Talon,2024-05-05,5767.467586
PSG Talon,2024-05-09,-3182.108636
PSG Talon,2024-05-09,2950.420971
PSG Talon,2024-05-09,-1813.067712
PSG Talon,2024-05-09,2847.198992
PSG Talon,2024-05-09,-4208.930789
PSG Talon,2024-05-12,-834.0334462
PSG Talon,2024-05-12,-3858.076137
PSG Talon,2024-05-12,-3941.257769
PSG Talon,2024-06-15,3773.809312
PSG Talon,2024-06-15,2520.15644
PSG Talon,2024-06-16,3904.687407
PSG Talon,2024-06-16,4529.125336
PSG Talon,2024-06-23,5593.96576
PSG Talon,2024-06-23,2870.440847
PSG Talon,2024-06-30,-3480.291731
PSG Talon,2024-06-30,4973.505575
PSG Talon,2024-06-30,2441.824075
PSG Talon,2024-07-12,2643.340366
PSG Talon,2024-07-12,3975.488221
PSG Talon,2024-07-14,5819.893364
PSG Talon,2024-07-14,2596.535114
PSG Talon,2024-07-19,-185.3407578
PSG Talon,2024-07-19,3915.979714
PSG Talon,2024-07-21,2971.66629
PSG Talon,2024-07-21,3514.994111
PSG Talon,2024-07-26,3344.084702
PSG Talon,2024-07-26,-1551.579658
PSG Talon,2024-07-26,-966.5082753
PSG Talon,2024-07-28,4294.7901
PSG Talon,2024-07-28,4328.791118
PSG Talon,2024-08-17,195.8110716
PSG Talon,2024-08-17,2589.702802
PSG Talon,2024-08-17,1668.245526
PSG Talon,2024-08-23,3332.844304
PSG Talon,2024-08-23,1336.785403
PSG Talon,2024-08-23,4273.251502
PSG Talon,2024-09-01,4488.522941
PSG Talon,2024-09-01,4903.913802
PSG Talon,2024-09-01,-2267.663459
PSG Talon,2024-09-01,4670.46162
