Team,Date,Score
T1,2024-01-17,1164.716571
T1,2024-01-17,-1784.735747
T1,2024-01-17,-4733.441153
T1,2024-01-19,8195.465449
T1,2024-01-19,5092.979239
T1,2024-01-26,-1963.302986
T1,2024-01-26,8047.161762
T1,2024-01-26,11197.94884
T1,2024-01-28,3752.956983
T1,2024-01-28,7985.578669
T1,2024-02-01,6978.54783
T1,2024-02-01,3920.732765
T1,2024-02-03,2083.348666
T1,2024-02-03,5844.76589
T1,2024-02-15,5512.423364
T1,2024-02-15,6120.171477
T1,2024-02-18,7012.836242
T1,2024-02-18,8323.089644
T1,2024-02-21,7415.910927
T1,2024-02-21,-8762.926895
T1,2024-02-21,7450.208134
T1,2024-02-24,7349.449145
T1,2024-02-24,7197.220755
T1,2024-02-28,3624.101267
T1,2024-02-28,6427.843446
T1,2024-03-02,8909.997569
T1,2024-03-02,9762.698037
T1,2024-03-07,6045.38258
T1,2024-03-07,12894.65571
T1,2024-03-09,-7595.575157
T1,2024-03-09,-5798.538972
T1,2024-03-13,5489.442689
T1,2024-03-13,6368.295656
T1,2024-03-15,-3771.046971
T1,2024-03-15,8630.894375
T1,2024-03-15,-3965.788652
T1,2024-03-20,10423.74953
T1,2024-03-20,6949.990109
T1,2024-03-23,7555.308794
T1,2024-03-23,4463.268998
T1,2024-04-04,1936.444265
T1,2024-04-04,-5475.189246
T1,2024-04-04,-4951.981186
T1,2024-04-07,6781.885963
T1,2024-04-07,3945.848218
T1,2024-04-07,6375.510697
T1,2024-04-13,477.65866
T1,2024-04-13,4809.582249
T1,2024-04-13,7737.316508
T1,2024-04-13,7668.542869
T1,2024-04-14,-8916.233839
T1,2024-04-14,3040.053575
T1,2024-04-14,9377.125636
T1,2024-04-14,-7788.827539
T1,2024-04-14,-10163.10641
T1,2024-05-01,2854.957296
T1,2024-05-01,3473.365061
T1,2024-05-03,6902.290229
T1,2024-05-03,9860.44097
T1,2024-05-10,9330.035425
T1,2024-05-10,-6617.426595
T1,2024-05-10,-8027.637125
T1,2024-05-10,8466.304816
T1,2024-05-10,7272.906406
T1,2024-05-12,-5587.596387
T1,2024-05-12,7837.062346
T1,2024-05-12,-7215.194334
T1,2024-05-12,-3761.302907
T1,2024-05-15,4142.402074
T1,2024-05-15,2287.854063
T1,2024-05-15,-4997.052123
T1,2024-05-15,7281.260102
T1,2024-05-17,10904.30662
T1,2024-05-17,2442.206703
T1,2024-05-17,7952.320039
T1,2024-05-18,-1916.494563
T1,2024-05-18,3353.895448
T1,2024-05-18,-6516.526573
T1,2024-05-18,9445.124298
T1,2024-05-18,-5980.49008
T1,2024-06-14,3927.303088
T1,2024-06-14,9202.922422
T1,2024-06-16,-6099.772733
T1,2024-06-16,-4862.144925
T1,2024-06-19,5852.073365
T1,2024-06-19,5249.352611
T1,2024-06-21,-4347.540101
T1,2024-06-21,8717.379286
T1,2024-06-21,11924.64402
T1,2024-06-26,2352.820521
T1,2024-06-26,3792.274721
T1,2024-06-29,2373.514625
T1,2024-06-29,-4952.391981
T1,2024-06-29,-3518.421844
T1,2024-07-04,6237.520318
T1,2024-07-04,-5496.702249
T1,2024-07-04,9810.794825
T1,2024-07-06,-9541.276599
T1,2024-07-06,2484.422778
T1,2024-07-06,3264.702712
T1,2024-07-07,8925.092067
T1,2024-07-07,13596.07579
T1,2024-07-10,3207.6068
T1,2024-07-10,-4475.464653
T1,2024-07-10,6086.885028
T1,2024-07-12,-2277.115443
T1,2024-07-12,3601.307553
T1,2024-07-12,813.6404006
T1,2024-07-18,-5401.094813
T1,2024-07-18,9722.065682
T1,2024-07-18,-5625.537251
T1,2024-07-20,-1067.459929
T1,2024-07-20,-7233.081237
T1,2024-07-26,9653.532527
T1,2024-07-26,-3044.228737
T1,2024-07-26,7622.816017
T1,2024-07-28,6078.638474
T1,2024-07-28,6130.506738
T1,2024-07-31,-1592.049272
T1,2024-07-31,6546.052893
T1,2024-07-31,7317.897229
T1,2024-08-03,1086.285098
T1,2024-08-03,-2123.790105
T1,2024-08-09,-6548.268059
T1,2024-08-09,-6401.900116
T1,2024-08-11,522.5290196
T1,2024-08-11,9759.010737
T1,2024-08-14,-7188.570337
T1,2024-08-14,8499.346329
T1,2024-08-14,6589.688468
T1,2024-08-17,6566.619072
T1,2024-08-17,11287.33843
T1,2024-08-24,-897.3433357
T1,2024-08-24,-1786.886765
T1,2024-08-24,3570.310411
T1,2024-08-24,-829.761148
T1,2024-08-29,-7958.711563
T1,2024-08-29,-6488.714851
T1,2024-08-29,-8577.698725
T1,2024-09-01,-4826.040647
T1,2024-09-01,6214.145658
T1,2024-09-01,8982.909097
T1,2024-09-01,6006.72736
T1,2024-09-07,-4716.128622
T1,2024-09-07,587.6124548
T1,2024-09-07,-7329.84785
T1,2024-09-07,-5878.828929
