Team,Date,Score
Team Liquid,2024-01-20,-1927.459605
Team Liquid,2024-01-21,4066.60532
Team Liquid,2024-01-27,-6077.723955
Team Liquid,2024-01-28,3929.80732
Team Liquid,2024-02-02,-5490.434573
Team Liquid,2024-02-03,257.7601778
Team Liquid,2024-02-04,2593.213926
Team Liquid,2024-02-10,310.9681806
Team Liquid,2024-02-11,6914.840227
Team Liquid,2024-03-02,-2785.067717
Team Liquid,2024-03-04,384.7934893
Team Liquid,2024-03-08,7187.796585
Team Liquid,2024-03-09,-4132.81029
Team Liquid,2024-03-10,1495.898116
Team Liquid,2024-03-15,-3295.257075
Team Liquid,2024-03-15,8201.418157
Team Liquid,2024-03-15,1048.312294
Team Liquid,2024-03-15,4299.453166
Team Liquid,2024-03-15,-709.1046985
Team Liquid,2024-03-17,2859.545707
Team Liquid,2024-03-17,7591.851893
Team Liquid,2024-03-17,9102.202044
Team Liquid,2024-03-22,9565.008968
Team Liquid,2024-03-22,-3934.294768
Team Liquid,2024-03-22,6185.184864
Team Liquid,2024-03-22,7914.180656
Team Liquid,2024-03-30,2066.40243
Team Liquid,2024-03-30,6533.37968
Team Liquid,2024-03-30,4137.294248
Team Liquid,2024-03-31,9928.725852
Team Liquid,2024-03-31,-1476.31557
Team Liquid,2024-03-31,3094.652404
Team Liquid,2024-03-31,8291.894951
Team Liquid,2024-05-07,-6298.334245
Team Liquid,2024-05-07,-7188.808912
Team Liquid,2024-05-07,-5504.347307
Team Liquid,2024-05-11,6972.325218
Team Liquid,2024-05-11,-3581.657646
Team Liquid,2024-05-11,7130.880932
Team Liquid,2024-05-11,4697.21207
Team Liquid,2024-05-15,-3193.630378
Team Liquid,2024-05-15,-0.745451512
Team Liquid,2024-05-15,5516.095428
Team Liquid,2024-05-15,-5364.952216
Team Liquid,2024-06-15,-166.7127097
Team Liquid,2024-06-15,-6742.425379
Team Liquid,2024-06-15,5835.599402
Team Liquid,2024-06-23,3889.250688
Team Liquid,2024-06-23,3115.193669
Team Liquid,2024-06-27,4400.682198
Team Liquid,2024-06-27,5775.829168
Team Liquid,2024-07-04,4409.733137
Team Liquid,2024-07-04,2849.804179
Team Liquid,2024-07-06,8535.872139
Team Liquid,2024-07-06,-652.6669917
Team Liquid,2024-07-06,-3136.774238
Team Liquid,2024-07-20,4525.802941
Team Liquid,2024-07-20,-4204.473813
Team Liquid,2024-07-20,4233.513423
Team Liquid,2024-07-28,7526.800385
Team Liquid,2024-07-28,7138.386221
Team Liquid,2024-08-04,1629.404219
Team Liquid,2024-08-04,3327.110163
Team Liquid,2024-08-04,4548.01378
Team Liquid,2024-08-10,8035.574524
Team Liquid,2024-08-10,10687.43189
Team Liquid,2024-08-24,7981.829521
Team Liquid,2024-08-24,9245.123718
Team Liquid,2024-08-24,5724.423703
Team Liquid,2024-08-31,2666.284961
Team Liquid,2024-08-31,-7111.185335
Team Liquid,2024-08-31,2625.568363
Team Liquid,2024-08-31,-4625.80594
Team Liquid,2024-08-31,4151.419255
Team Liquid,2024-09-07,-5384.212362
Team Liquid,2024-09-07,3565.206273
Team Liquid,2024-09-07,-7374.579813
Team Liquid,2024-09-07,1948.336767
