Team,Date,Score
Top Esports,2024-01-22,-7254.245841
Top Esports,2024-01-22,7055.289848
Top Esports,2024-01-22,-6939.363943
Top Esports,2024-01-27,7734.695555
Top Esports,2024-01-27,9340.058551
Top Esports,2024-02-03,9562.322417
Top Esports,2024-02-03,12679.18986
Top Esports,2024-02-07,12459.86434
Top Esports,2024-02-07,533.0975651
Top Esports,2024-02-21,5237.556727
Top Esports,2024-02-21,9053.799689
Top Esports,2024-02-23,4681.510264
Top Esports,2024-02-23,9540.415972
Top Esports,2024-02-26,7613.234449
Top Esports,2024-02-26,-5856.060488
Top Esports,2024-02-26,1496.020792
Top Esports,2024-03-01,6412.461419
Top Esports,2024-03-01,-6197.724796
Top Esports,2024-03-01,11353.06511
Top Esports,2024-03-04,8836.135997
Top Esports,2024-03-04,6510.838197
Top Esports,2024-03-08,5947.725607
Top Esports,2024-03-08,8040.216259
Top Esports,2024-03-10,9840.694403
Top Esports,2024-03-10,4713.361071
Top Esports,2024-03-14,3720.570416
Top Esports,2024-03-14,-2928.524462
Top Esports,2024-03-14,-6619.877368
Top Esports,2024-03-17,9083.561231
Top Esports,2024-03-17,6608.822603
Top Esports,2024-03-22,5422.445967
Top Esports,2024-03-22,2107.650908
Top Esports,2024-03-24,-4632.549428
Top Esports,2024-03-24,4174.587097
Top Esports,2024-03-24,3103.781121
Top Esports,2024-03-27,2458.506097
Top Esports,2024-03-27,62.492619
Top Esports,2024-04-07,6126.62911
Top Esports,2024-04-07,6136.044538
Top Esports,2024-04-07,10377.46585
Top Esports,2024-04-11,-6528.05796
Top Esports,2024-04-11,3207.44317
Top Esports,2024-04-11,-9409.401723
Top Esports,2024-04-11,9096.15494
Top Esports,2024-04-11,-2724.71646
Top Esports,2024-04-14,7996.910484
Top Esports,2024-04-14,-1125.049792
Top Esports,2024-04-14,6506.256626
Top Esports,2024-04-14,9414.559221
Top Esports,2024-04-20,-1024.357467
Top Esports,2024-04-20,-9397.883966
Top Esports,2024-04-20,5454.162905
Top Esports,2024-04-20,-6922.373181
Top Esports,2024-05-02,10043.37002
Top Esports,2024-05-02,8950.091552
Top Esports,2024-05-03,3532.237531
Top Esports,2024-05-03,-9042.521449
Top Esports,2024-05-03,4799.95655
Top Esports,2024-05-07,7329.549657
Top Esports,2024-05-07,7498.266222
Top Esports,2024-05-07,7708.158265
Top Esports,2024-05-11,-4987.541411
Top Esports,2024-05-11,-4581.479812
Top Esports,2024-05-11,10781.59537
Top Esports,2024-05-11,11277.88967
Top Esports,2024-05-11,-4531.223526
Top Esports,2024-05-14,-9375.065761
Top Esports,2024-05-14,-7091.153686
Top Esports,2024-05-14,-5239.799859
Top Esports,2024-06-02,11986.64311
Top Esports,2024-06-02,4945.991828
Top Esports,2024-06-07,7669.486714
Top Esports,2024-06-07,-403.9385018
Top Esports,2024-06-12,14386.92037
Top Esports,2024-06-12,5375.276493
Top Esports,2024-06-16,7275.080317
Top Esports,2024-06-16,8432.626023
Top Esports,2024-06-23,2512.715263
Top Esports,2024-06-23,6124.466942
Top Esports,2024-06-23,8784.50031
Top Esports,2024-06-26,5824.195098
Top Esports,2024-06-26,4188.665114
Top Esports,2024-07-05,6324.45278
Top Esports,2024-07-05,13835.44006
Top Esports,2024-07-06,4893.550569
Top Esports,2024-07-06,9500.617758
Top Esports,2024-07-07,-5873.333191
Top Esports,2024-07-07,-7869.308066
Top Esports,2024-07-12,1640.977369
Top Esports,2024-07-12,-5614.839294
Top Esports,2024-07-12,-8183.845494
Top Esports,2024-07-14,-4793.616228
Top Esports,2024-07-14,-4156.82153
Top Esports,2024-07-17,8346.892323
Top Esports,2024-07-17,7084.883611
Top Esports,2024-07-20,6975.36472
Top Esports,2024-07-20,4476.827523
Top Esports,2024-07-23,2268.7306
Top Esports,2024-07-23,9432.647304
Top Esports,2024-07-26,5081.384964
Top Esports,2024-07-26,5598.267888
Top Esports,2024-07-27,4983.512844
Top Esports,2024-07-27,7657.035498
Top Esports,2024-07-31,10024.36959
Top Esports,2024-07-31,6866.8889
Top Esports,2024-08-16,4101.329053
Top Esports,2024-08-16,-4695.863892
Top Esports,2024-08-16,7505.408178
Top Esports,2024-08-16,4253.232453
Top Esports,2024-08-18,8590.187896
Top Esports,2024-08-18,2235.234122
Top Esports,2024-08-18,3147.802447
Top Esports,2024-08-21,7012.517007
Top Esports,2024-08-21,-7492.005614
Top Esports,2024-08-21,-7122.672032
Top Esports,2024-08-21,432.1045975
Top Esports,2024-08-24,-7549.00646
Top Esports,2024-08-24,5674.737413
Top Esports,2024-08-24,-987.7886594
Top Esports,2024-08-24,4998.310243
Top Esports,2024-08-24,-4648.150669
