Team,Date,Score
Vikings Esports,2024-01-20,-98.92080794
Vikings Esports,2024-01-20,-1108.475253
Vikings Esports,2024-01-26,834.1084259
Vikings Esports,2024-01-26,2578.903669
Vikings Esports,2024-01-28,6205.479347
Vikings Esports,2024-01-28,4328.251681
Vikings Esports,2024-02-01,-1013.652955
Vikings Esports,2024-02-01,-3071.013733
Vikings Esports,2024-02-03,-1753.056059
Vikings Esports,2024-02-03,-3533.613977
Vikings Esports,2024-02-18,125.6564649
Vikings Esports,2024-02-18,2625.569843
Vikings Esports,2024-02-22,1321.222489
Vikings Esports,2024-02-22,3968.314896
Vikings Esports,2024-02-24,49.74172354
Vikings Esports,2024-02-24,265.0074301
Vikings Esports,2024-02-29,895.7995785
Vikings Esports,2024-02-29,3868.218982
Vikings Esports,2024-03-02,2255.180703
Vikings Esports,2024-03-02,1248.376423
Vikings Esports,2024-03-07,-3063.660615
Vikings Esports,2024-03-07,-2825.081864
Vikings Esports,2024-03-10,953.5312415
Vikings Esports,2024-03-10,-3298.765095
Vikings Esports,2024-03-10,6024.994292
Vikings Esports,2024-03-14,-1294.708015
Vikings Esports,2024-03-14,-1797.634537
Vikings Esports,2024-04-03,3413.387029
Vikings Esports,2024-04-03,2452.370452
Vikings Esports,2024-04-05,-2128.017516
Vikings Esports,2024-04-05,3303.729008
Vikings Esports,2024-04-05,3897.834706
Vikings Esports,2024-04-05,4421.62959
Vikings Esports,2024-04-07,-2572.642467
Vikings Esports,2024-04-07,3886.980259
Vikings Esports,2024-04-07,-625.8738114
Vikings Esports,2024-04-07,-2555.110798
Vikings Esports,2024-06-21,2770.540817
Vikings Esports,2024-06-21,3602.801174
Vikings Esports,2024-06-23,4098.153205
Vikings Esports,2024-06-23,3116.260389
Vikings Esports,2024-06-28,1187.784784
Vikings Esports,2024-06-28,69.06251873
Vikings Esports,2024-06-28,819.7527811
Vikings Esports,2024-06-30,1741.752552
Vikings Esports,2024-06-30,-3271.217185
Vikings Esports,2024-06-30,4560.903491
Vikings Esports,2024-07-12,4651.407516
Vikings Esports,2024-07-12,4366.930913
Vikings Esports,2024-07-13,4026.983362
Vikings Esports,2024-07-13,1986.290091
Vikings Esports,2024-07-19,-78.651923
Vikings Esports,2024-07-19,1489.476038
Vikings Esports,2024-07-27,4261.067568
Vikings Esports,2024-07-27,3439.009258
Vikings Esports,2024-07-31,3341.836726
Vikings Esports,2024-07-31,-1814.195754
Vikings Esports,2024-07-31,3151.374956
Vikings Esports,2024-08-02,1442.459988
Vikings Esports,2024-08-02,-1718.944667
Vikings Esports,2024-08-02,1849.165178
Vikings Esports,2024-08-03,3021.84617
Vikings Esports,2024-08-03,2398.28387
Vikings Esports,2024-08-04,3618.641086
Vikings Esports,2024-08-04,2209.042198
Vikings Esports,2024-08-09,3304.762397
Vikings Esports,2024-08-09,2100.232993
Vikings Esports,2024-08-09,1404.183796
Vikings Esports,2024-08-11,-2875.92737
Vikings Esports,2024-08-11,2237.945006
Vikings Esports,2024-08-11,-1691.672356
Vikings Esports,2024-08-11,1700.181185
Vikings Esports,2024-08-11,-2181.148543
Vikings Esports,2024-08-17,2158.603335
Vikings Esports,2024-08-17,3842.593042
Vikings Esports,2024-08-17,2092.178034
Vikings Esports,2024-08-18,-3554.717663
Vikings Esports,2024-08-18,-4183.316522
Vikings Esports,2024-08-18,-4496.626531
