Team,Date,Score
Weibo Gaming,2024-01-25,-439.4399537
Weibo Gaming,2024-01-25,5804.156632
Weibo Gaming,2024-01-28,1236.182586
Weibo Gaming,2024-01-28,9024.94873
Weibo Gaming,2024-02-01,8318.23888
Weibo Gaming,2024-02-01,-4949.528694
Weibo Gaming,2024-02-01,-4781.961626
Weibo Gaming,2024-02-04,1418.340893
Weibo Gaming,2024-02-04,6731.591124
Weibo Gaming,2024-02-07,-7568.759285
Weibo Gaming,2024-02-07,2895.086483
Weibo Gaming,2024-02-21,6528.024637
Weibo Gaming,2024-02-21,9219.91076
Weibo Gaming,2024-02-25,4336.529454
Weibo Gaming,2024-02-25,-5339.089527
Weibo Gaming,2024-02-25,-9166.780144
Weibo Gaming,2024-02-29,647.4250525
Weibo Gaming,2024-02-29,-6170.055331
Weibo Gaming,2024-02-29,-3478.063596
Weibo Gaming,2024-03-03,-501.0226968
Weibo Gaming,2024-03-03,-4629.128018
Weibo Gaming,2024-03-07,7871.972943
Weibo Gaming,2024-03-07,8285.138382
Weibo Gaming,2024-03-10,-5256.883456
Weibo Gaming,2024-03-10,-3565.963309
Weibo Gaming,2024-03-13,-1541.53346
Weibo Gaming,2024-03-13,4741.509439
Weibo Gaming,2024-03-13,2924.923708
Weibo Gaming,2024-03-16,-7298.066651
Weibo Gaming,2024-03-16,-6968.849976
Weibo Gaming,2024-03-19,-6212.144382
Weibo Gaming,2024-03-19,5914.689796
Weibo Gaming,2024-03-19,-3761.880679
Weibo Gaming,2024-03-22,2409.577528
Weibo Gaming,2024-03-22,6276.259697
Weibo Gaming,2024-03-26,4099.05447
Weibo Gaming,2024-03-26,8307.125906
Weibo Gaming,2024-04-01,7456.355748
Weibo Gaming,2024-04-01,12286.77248
Weibo Gaming,2024-04-01,-5757.238859
Weibo Gaming,2024-04-01,-4265.549167
Weibo Gaming,2024-04-01,5167.287794
Weibo Gaming,2024-04-03,10744.23945
Weibo Gaming,2024-04-03,7061.351548
Weibo Gaming,2024-04-03,-3937.970893
Weibo Gaming,2024-04-03,-6796.356846
Weibo Gaming,2024-04-03,5549.696693
Weibo Gaming,2024-04-05,-6512.239699
Weibo Gaming,2024-04-05,-1889.060372
Weibo Gaming,2024-04-05,-1922.235446
Weibo Gaming,2024-06-01,1371.036448
Weibo Gaming,2024-06-01,-3132.136479
Weibo Gaming,2024-06-01,-2738.053941
Weibo Gaming,2024-06-03,8554.834378
Weibo Gaming,2024-06-03,-4858.617455
Weibo Gaming,2024-06-03,7833.741931
Weibo Gaming,2024-06-08,-5178.01209
Weibo Gaming,2024-06-08,2963.351152
Weibo Gaming,2024-06-08,-6154.988899
Weibo Gaming,2024-06-13,5953.753457
Weibo Gaming,2024-06-13,11258.5056
Weibo Gaming,2024-06-17,-5585.92257
Weibo Gaming,2024-06-17,-8412.295597
Weibo Gaming,2024-06-21,-3435.165363
Weibo Gaming,2024-06-21,-7617.032794
Weibo Gaming,2024-06-25,-1908.095493
Weibo Gaming,2024-06-25,-6391.282069
Weibo Gaming,2024-06-29,7379.028964
Weibo Gaming,2024-06-29,7646.147236
Weibo Gaming,2024-07-06,6103.920331
Weibo Gaming,2024-07-06,7362.799937
Weibo Gaming,2024-07-10,-7206.375231
Weibo Gaming,2024-07-10,6612.664702
Weibo Gaming,2024-07-10,-3683.974763
Weibo Gaming,2024-07-13,8739.181983
Weibo Gaming,2024-07-13,3396.89232
Weibo Gaming,2024-07-17,-5042.527278
Weibo Gaming,2024-07-17,-4749.20253
Weibo Gaming,2024-07-18,10574.46884
Weibo Gaming,2024-07-18,5649.084408
Weibo Gaming,2024-07-23,6043.666474
Weibo Gaming,2024-07-23,-7296.46183
Weibo Gaming,2024-07-23,-5955.940382
Weibo Gaming,2024-07-25,7940.526452
Weibo Gaming,2024-07-25,7223.961623
Weibo Gaming,2024-07-28,6664.979568
Weibo Gaming,2024-07-28,5292.392904
Weibo Gaming,2024-08-15,7476.044276
Weibo Gaming,2024-08-15,-9040.237283
Weibo Gaming,2024-08-15,5058.476947
Weibo Gaming,2024-08-15,9143.939245
Weibo Gaming,2024-08-17,-6789.87238
Weibo Gaming,2024-08-17,-7597.864129
Weibo Gaming,2024-08-17,-6279.717037
Weibo Gaming,2024-08-22,-7392.18611
Weibo Gaming,2024-08-22,4999.113955
Weibo Gaming,2024-08-22,-3822.413411
Weibo Gaming,2024-08-22,5624.922362
Weibo Gaming,2024-08-22,6067.74189
Weibo Gaming,2024-08-24,6385.959386
Weibo Gaming,2024-08-24,-3584.636382
Weibo Gaming,2024-08-24,2265.902028
Weibo Gaming,2024-08-24,-5078.048878
Weibo Gaming,2024-08-24,5153.766257
Weibo Gaming,2024-08-30,-2067.79889
Weibo Gaming,2024-08-30,-11562.23106
Weibo Gaming,2024-08-30,4230.101199
