Team,Date,Score
paiN Gaming,2024-01-20,-1584.28705
paiN Gaming,2024-01-21,4277.136133
paiN Gaming,2024-01-27,2593.289679
paiN Gaming,2024-01-28,-275.4339232
paiN Gaming,2024-02-03,3199.415167
paiN Gaming,2024-02-04,2819.873982
paiN Gaming,2024-02-10,3796.04809
paiN Gaming,2024-02-11,5038.276866
paiN Gaming,2024-02-17,1423.92459
paiN Gaming,2024-02-18,3423.277963
paiN Gaming,2024-02-24,-478.8737402
paiN Gaming,2024-02-25,1233.7225
paiN Gaming,2024-03-02,-1493.140412
paiN Gaming,2024-03-03,3472.750806
paiN Gaming,2024-03-09,-2506.863944
paiN Gaming,2024-03-10,-1717.07969
paiN Gaming,2024-03-16,-2223.559724
paiN Gaming,2024-03-17,1229.178509
paiN Gaming,2024-03-22,1530.463351
paiN Gaming,2024-03-22,-1866.159394
paiN Gaming,2024-03-22,1048.077529
paiN Gaming,2024-03-23,-247.3474516
paiN Gaming,2024-03-30,1894.50474
paiN Gaming,2024-03-30,2550.760592
paiN Gaming,2024-03-30,-1707.834066
paiN Gaming,2024-03-30,-505.9565102
paiN Gaming,2024-03-30,3328.979048
paiN Gaming,2024-04-07,-1310.448329
paiN Gaming,2024-04-07,4928.385846
paiN Gaming,2024-04-07,-1910.803673
paiN Gaming,2024-04-07,-1992.781862
paiN Gaming,2024-04-14,2185.719808
paiN Gaming,2024-04-14,3527.872298
paiN Gaming,2024-04-14,-1651.272719
paiN Gaming,2024-04-14,1873.864267
paiN Gaming,2024-04-20,-932.0498191
paiN Gaming,2024-04-20,5817.548114
paiN Gaming,2024-04-20,-596.2255605
paiN Gaming,2024-04-20,218.9181929
paiN Gaming,2024-06-01,2627.259524
paiN Gaming,2024-06-02,-891.3195968
paiN Gaming,2024-06-08,4978.845202
paiN Gaming,2024-06-09,-2020.914517
paiN Gaming,2024-06-15,3198.477674
paiN Gaming,2024-06-16,2456.496226
paiN Gaming,2024-06-22,3883.387398
paiN Gaming,2024-06-23,3757.286779
paiN Gaming,2024-06-28,2847.780804
paiN Gaming,2024-06-29,2608.958659
paiN Gaming,2024-06-30,1955.676939
paiN Gaming,2024-07-12,739.5101416
paiN Gaming,2024-07-13,2708.816595
paiN Gaming,2024-07-14,615.9459165
paiN Gaming,2024-07-20,-1250.229067
paiN Gaming,2024-07-21,-2313.377824
paiN Gaming,2024-07-27,6533.656521
paiN Gaming,2024-07-28,3812.747466
paiN Gaming,2024-08-10,3721.681499
paiN Gaming,2024-08-10,2936.710985
paiN Gaming,2024-08-10,2689.938239
paiN Gaming,2024-08-18,3824.154655
paiN Gaming,2024-08-18,2811.403898
paiN Gaming,2024-08-18,-1609.20863
paiN Gaming,2024-08-18,3305.433722
paiN Gaming,2024-09-07,2449.754856
paiN Gaming,2024-09-07,2128.576151
paiN Gaming,2024-09-07,-1357.2941
paiN Gaming,2024-09-07,3314.439197
