Team, mean_squared_error,mean_absolute_error, data_range, r2, mean_absolute_percentage_error
100_Thieves, 27980820.3117, 4878.1320, 17242.162576, -0.0016, 0.6349
Bilibili_Gaming, 32032180.7446, 4723.5463, 24941.518948, 0.0036, 0.3980
Dplus_KIA, 37391304.6142, 5547.6368, 23162.988075, 0.0092, 0.4440
FlyQuest, 28791000.2389, 4802.2644, 19519.380551, -0.0171, 0.5499
Fnatic, 29829511.3107, 4849.5409, 21797.311985, -0.0023, 0.5505
Fukuoka_SoftBank_HAWKS_gaming, 9637669.1219, 2592.4221, 13483.113410, 0.0051, 411754526480488256.0000
G2_Esports, 25585455.3316, 4194.3352, 21561.000052, -0.0067, 0.4458
GAM_Esports, 8403594.8469, 2500.3112, 11536.367344, -0.0044, 0.4968
Gen.G, 32286176.6519, 4368.1441, 29793.745536, -0.0144, 0.4119
Hanwha_Life_Esports, 41637864.9960, 5623.3194, 25583.482209, -0.0028, 0.4966
LNG_Esports, 41076700.5820, 5864.3988, 23673.205028, 0.0054, 0.5184
MAD_Lions_KOI, 32044640.3208, 5040.0406, 19903.220967, 0.0001, 0.5881
Movistar_R7, 4172073.1034, 1740.3847, 7315.652343, 0.0271, 0.5373
paiN_Gaming, 5431698.0318, 2055.2199, 9040.520472, 0.0044, 0.4511
PSG_Talon, 10015406.4985, 2741.6668, 10916.667810, -0.0067, 0.5435
T1, 38439586.4699, 5325.0037, 23759.182204, -0.0060, 0.5406
Team_Liquid, 23983558.3180, 4111.2624, 18062.011703, 0.0157, 0.5041
Top_Esports, 37937974.8471, 5114.7027, 23796.322093, 0.0033, 0.5329
Vikings_Esports, 7386647.4301, 2264.9365, 10702.105881, -0.0064, 0.5134
Weibo_Gaming, 39100740.0419, 5780.4824, 23849.003539, -0.0013, 0.6455
