Team,Date,Score
100 Thieves,2024-01-20,12889.19295
100 Thieves,2024-01-21,5538.108416
100 Thieves,2024-01-27,8168.432306
100 Thieves,2024-01-28,15674.95115
100 Thieves,2024-02-02,4641.986467
100 Thieves,2024-02-03,17994.68537
100 Thieves,2024-02-04,17221.47864
100 Thieves,2024-02-10,13818.63903
100 Thieves,2024-02-11,10804.68775
100 Thieves,2024-03-03,15058.70243
100 Thieves,2024-03-03,5302.496872
100 Thieves,2024-03-08,16305.45785
100 Thieves,2024-03-09,15332.39168
100 Thieves,2024-03-10,15268.86016
100 Thieves,2024-03-14,4341.089718
100 Thieves,2024-03-14,5029.673844
100 Thieves,2024-03-14,5991.635482
100 Thieves,2024-03-16,6094.142568
100 Thieves,2024-03-16,15561.11028
100 Thieves,2024-03-16,17438.76757
100 Thieves,2024-03-16,11070.3501
100 Thieves,2024-03-16,18017.21996
100 Thieves,2024-03-22,3837.19784
100 Thieves,2024-03-22,20668.75762
100 Thieves,2024-03-22,9456.474638
100 Thieves,2024-03-22,6109.179731
100 Thieves,2024-06-16,14193.72811
100 Thieves,2024-06-16,16956.02313
100 Thieves,2024-06-22,6529.03066
100 Thieves,2024-06-22,5920.484702
100 Thieves,2024-06-27,7318.52387
100 Thieves,2024-06-27,4234.137699
100 Thieves,2024-07-21,5038.905899
100 Thieves,2024-07-21,4200.065502
100 Thieves,2024-07-28,14675.78695
100 Thieves,2024-07-28,4438.441359
100 Thieves,2024-07-28,3426.595044
100 Thieves,2024-08-03,11810.73289
100 Thieves,2024-08-03,17707.27139
100 Thieves,2024-08-10,16817.03503
100 Thieves,2024-08-10,5730.325327
100 Thieves,2024-08-10,10780.15063
100 Thieves,2024-08-17,14210.99748
100 Thieves,2024-08-17,13472.85732
100 Thieves,2024-08-17,17851.12345
100 Thieves,2024-08-24,4230.639346
100 Thieves,2024-08-24,5619.236523
100 Thieves,2024-08-24,6455.24152
100 Thieves,2024-08-30,8679.486504
100 Thieves,2024-08-30,14729.26841
100 Thieves,2024-08-30,4995.34791
100 Thieves,2024-08-30,13384.36751
100 Thieves,2024-08-30,17172.37883
100 Thieves,2024-09-01,15835.69166
100 Thieves,2024-09-01,5334.713903
100 Thieves,2024-09-01,14388.22675
100 Thieves,2024-09-01,18900.05416
100 Thieves,2024-09-06,6840.256721
100 Thieves,2024-09-06,9479.680396
100 Thieves,2024-09-06,3928.683287
