Team,Date,Score
Bilibili Gaming,2024-01-22,22539.54419
Bilibili Gaming,2024-01-22,7162.890538
Bilibili Gaming,2024-01-22,21966.48416
Bilibili Gaming,2024-01-26,21376.61631
Bilibili Gaming,2024-01-26,18424.02236
Bilibili Gaming,2024-01-29,20936.89608
Bilibili Gaming,2024-01-29,18938.20244
Bilibili Gaming,2024-02-03,17805.53761
Bilibili Gaming,2024-02-03,19476.65544
Bilibili Gaming,2024-02-06,20210.81004
Bilibili Gaming,2024-02-06,17596.41114
Bilibili Gaming,2024-02-20,7922.361861
Bilibili Gaming,2024-02-20,6570.928288
Bilibili Gaming,2024-02-24,19489.48702
Bilibili Gaming,2024-02-24,8573.387361
Bilibili Gaming,2024-02-24,12923.37804
Bilibili Gaming,2024-02-27,21020.35857
Bilibili Gaming,2024-02-27,19986.72817
Bilibili Gaming,2024-03-01,20560.55486
Bilibili Gaming,2024-03-01,17752.02497
Bilibili Gaming,2024-03-04,16797.13575
Bilibili Gaming,2024-03-04,17130.74154
Bilibili Gaming,2024-03-08,21510.74672
Bilibili Gaming,2024-03-08,23447.19565
Bilibili Gaming,2024-03-10,23599.0372
Bilibili Gaming,2024-03-10,20681.77577
Bilibili Gaming,2024-03-14,15222.58442
Bilibili Gaming,2024-03-14,20534.28503
Bilibili Gaming,2024-03-16,24317.51249
Bilibili Gaming,2024-03-16,17149.89416
Bilibili Gaming,2024-03-20,18576.88221
Bilibili Gaming,2024-03-20,5854.178858
Bilibili Gaming,2024-03-20,19588.57402
Bilibili Gaming,2024-03-23,22077.71693
Bilibili Gaming,2024-03-23,18095.25628
Bilibili Gaming,2024-04-06,21064.87391
Bilibili Gaming,2024-04-06,7821.147477
Bilibili Gaming,2024-04-06,21642.21008
Bilibili Gaming,2024-04-06,21073.1774
Bilibili Gaming,2024-04-11,21479.7376
Bilibili Gaming,2024-04-11,10252.17144
Bilibili Gaming,2024-04-11,21881.74769
Bilibili Gaming,2024-04-11,11133.44567
Bilibili Gaming,2024-04-11,16752.50101
Bilibili Gaming,2024-04-20,14683.81881
Bilibili Gaming,2024-04-20,26912.44871
Bilibili Gaming,2024-04-20,11910.15369
Bilibili Gaming,2024-04-20,20199.8887
Bilibili Gaming,2024-05-09,22452.04703
Bilibili Gaming,2024-05-09,10031.61133
Bilibili Gaming,2024-05-09,19698.04351
Bilibili Gaming,2024-05-09,7813.932823
Bilibili Gaming,2024-05-09,25640.25107
Bilibili Gaming,2024-05-12,20344.89021
Bilibili Gaming,2024-05-12,3691.378212
Bilibili Gaming,2024-05-12,23826.37676
Bilibili Gaming,2024-05-12,17678.33604
Bilibili Gaming,2024-05-16,25098.56511
Bilibili Gaming,2024-05-16,6929.231136
Bilibili Gaming,2024-05-16,7432.205567
Bilibili Gaming,2024-05-16,11086.63111
Bilibili Gaming,2024-05-18,17799.88357
Bilibili Gaming,2024-05-18,12179.40075
Bilibili Gaming,2024-05-18,26445.10283
Bilibili Gaming,2024-05-18,6986.065707
Bilibili Gaming,2024-05-18,20856.42739
Bilibili Gaming,2024-05-19,10651.7766
Bilibili Gaming,2024-05-19,5625.028096
Bilibili Gaming,2024-05-19,16337.11793
Bilibili Gaming,2024-05-19,6861.445476
Bilibili Gaming,2024-06-06,20917.14618
Bilibili Gaming,2024-06-06,23223.20733
Bilibili Gaming,2024-06-10,16491.3429
Bilibili Gaming,2024-06-10,18871.07948
Bilibili Gaming,2024-06-13,13182.72595
Bilibili Gaming,2024-06-13,17262.43027
Bilibili Gaming,2024-06-13,22340.99046
Bilibili Gaming,2024-06-18,18258.73958
Bilibili Gaming,2024-06-18,22888.0925
Bilibili Gaming,2024-06-22,17700.71884
Bilibili Gaming,2024-06-22,15684.97996
Bilibili Gaming,2024-06-27,7335.593717
Bilibili Gaming,2024-06-27,20987.01249
Bilibili Gaming,2024-06-27,13849.96133
Bilibili Gaming,2024-07-04,8685.67415
Bilibili Gaming,2024-07-04,20111.72304
Bilibili Gaming,2024-07-04,7583.099856
Bilibili Gaming,2024-07-12,15144.9564
Bilibili Gaming,2024-07-12,20622.98392
Bilibili Gaming,2024-07-12,25248.89588
Bilibili Gaming,2024-07-15,22349.73493
Bilibili Gaming,2024-07-15,19288.81364
Bilibili Gaming,2024-07-18,9985.767476
Bilibili Gaming,2024-07-18,19276.6951
Bilibili Gaming,2024-07-18,9247.517
Bilibili Gaming,2024-07-20,12599.07566
Bilibili Gaming,2024-07-20,15619.3991
Bilibili Gaming,2024-07-20,17180.31807
Bilibili Gaming,2024-07-23,7575.650766
Bilibili Gaming,2024-07-23,24155.95186
Bilibili Gaming,2024-07-23,18681.18534
Bilibili Gaming,2024-07-26,7937.26509
Bilibili Gaming,2024-07-26,17934.73102
Bilibili Gaming,2024-07-26,18222.91792
Bilibili Gaming,2024-07-30,21797.72675
Bilibili Gaming,2024-07-30,13927.5054
Bilibili Gaming,2024-07-30,20068.51016
Bilibili Gaming,2024-07-31,17207.68108
Bilibili Gaming,2024-07-31,22988.03272
Bilibili Gaming,2024-08-17,19399.17676
Bilibili Gaming,2024-08-17,21648.45415
Bilibili Gaming,2024-08-17,22604.5513
Bilibili Gaming,2024-08-21,10756.8325
Bilibili Gaming,2024-08-21,22980.39549
Bilibili Gaming,2024-08-21,20614.05405
Bilibili Gaming,2024-08-21,19465.53671
Bilibili Gaming,2024-08-30,13842.63329
Bilibili Gaming,2024-08-30,28632.89716
Bilibili Gaming,2024-08-30,10769.83332
