Team,Date,Score
Dplus KIA,2024-01-18,21294.09137
Dplus KIA,2024-01-18,16443.09341
Dplus KIA,2024-01-21,18907.5847
Dplus KIA,2024-01-21,16199.37696
Dplus KIA,2024-01-21,10024.18029
Dplus KIA,2024-01-25,20677.34369
Dplus KIA,2024-01-25,23606.68586
Dplus KIA,2024-01-27,20627.02141
Dplus KIA,2024-01-27,10245.87121
Dplus KIA,2024-01-27,7047.256489
Dplus KIA,2024-01-31,7743.77143
Dplus KIA,2024-01-31,8537.290191
Dplus KIA,2024-02-02,6878.627327
Dplus KIA,2024-02-02,11597.60704
Dplus KIA,2024-02-15,7514.537472
Dplus KIA,2024-02-15,10039.38593
Dplus KIA,2024-02-17,22334.92371
Dplus KIA,2024-02-17,21317.43718
Dplus KIA,2024-02-22,22711.92295
Dplus KIA,2024-02-22,23920.19839
Dplus KIA,2024-02-25,25397.86956
Dplus KIA,2024-02-25,6687.741328
Dplus KIA,2024-02-25,22213.93811
Dplus KIA,2024-02-29,21533.7902
Dplus KIA,2024-02-29,18995.42562
Dplus KIA,2024-03-03,11421.9775
Dplus KIA,2024-03-03,7965.530899
Dplus KIA,2024-03-03,17393.61749
Dplus KIA,2024-03-08,14064.72066
Dplus KIA,2024-03-08,16054.33701
Dplus KIA,2024-03-10,9583.773806
Dplus KIA,2024-03-10,22137.69644
Dplus KIA,2024-03-10,15928.31351
Dplus KIA,2024-03-13,8608.073587
Dplus KIA,2024-03-13,12186.67781
Dplus KIA,2024-03-17,21087.27756
Dplus KIA,2024-03-17,9140.203495
Dplus KIA,2024-03-17,12465.57646
Dplus KIA,2024-03-21,12056.87044
Dplus KIA,2024-03-21,9051.49531
Dplus KIA,2024-03-23,7836.519343
Dplus KIA,2024-03-23,7372.785519
Dplus KIA,2024-03-31,15748.88235
Dplus KIA,2024-03-31,7987.133471
Dplus KIA,2024-03-31,7188.361812
Dplus KIA,2024-03-31,22190.18541
Dplus KIA,2024-03-31,22595.88888
Dplus KIA,2024-04-03,10898.38399
Dplus KIA,2024-04-03,20262.32474
Dplus KIA,2024-04-03,10011.44033
Dplus KIA,2024-04-03,12593.65373
Dplus KIA,2024-04-03,9963.06082
Dplus KIA,2024-04-07,11263.69151
Dplus KIA,2024-04-07,10093.88374
Dplus KIA,2024-04-07,11811.43143
Dplus KIA,2024-06-12,25735.21725
Dplus KIA,2024-06-12,9597.772082
Dplus KIA,2024-06-12,19269.69956
Dplus KIA,2024-06-15,19300.8142
Dplus KIA,2024-06-15,7775.178979
Dplus KIA,2024-06-15,22386.14236
Dplus KIA,2024-06-19,10238.28084
Dplus KIA,2024-06-19,7906.398362
Dplus KIA,2024-06-22,19408.78942
Dplus KIA,2024-06-22,28124.9668
Dplus KIA,2024-06-27,20974.20577
Dplus KIA,2024-06-27,19528.78368
Dplus KIA,2024-06-30,13128.88923
Dplus KIA,2024-06-30,21676.78285
Dplus KIA,2024-06-30,23957.23673
Dplus KIA,2024-07-11,21050.39927
Dplus KIA,2024-07-11,24773.63109
Dplus KIA,2024-07-13,7534.549413
Dplus KIA,2024-07-13,10107.23195
Dplus KIA,2024-07-17,17776.76025
Dplus KIA,2024-07-17,23499.21953
Dplus KIA,2024-07-20,24109.15164
Dplus KIA,2024-07-20,7007.052619
Dplus KIA,2024-07-20,9069.741921
Dplus KIA,2024-07-25,18794.94634
Dplus KIA,2024-07-25,20107.91451
Dplus KIA,2024-07-27,8569.727749
Dplus KIA,2024-07-27,20315.20923
Dplus KIA,2024-07-27,16318.05123
Dplus KIA,2024-07-31,15337.8057
Dplus KIA,2024-07-31,6499.898941
Dplus KIA,2024-07-31,9674.388692
Dplus KIA,2024-08-02,15751.98686
Dplus KIA,2024-08-02,8513.97216
Dplus KIA,2024-08-02,24225.91054
Dplus KIA,2024-08-08,10835.03133
Dplus KIA,2024-08-08,18350.02494
Dplus KIA,2024-08-08,19042.7664
Dplus KIA,2024-08-11,14267.4028
Dplus KIA,2024-08-11,13847.13136
Dplus KIA,2024-08-11,20136.49351
Dplus KIA,2024-08-15,17292.71971
Dplus KIA,2024-08-15,24331.54016
Dplus KIA,2024-08-17,21420.33134
Dplus KIA,2024-08-17,24699.26001
Dplus KIA,2024-08-23,19811.23011
Dplus KIA,2024-08-23,22347.90971
Dplus KIA,2024-08-23,17079.30642
Dplus KIA,2024-08-23,23129.54157
Dplus KIA,2024-08-28,8409.626644
Dplus KIA,2024-08-28,11133.21572
Dplus KIA,2024-08-28,8895.461996
Dplus KIA,2024-09-01,17860.8537
Dplus KIA,2024-09-01,10207.14532
Dplus KIA,2024-09-01,4961.978725
Dplus KIA,2024-09-01,9307.717153
