Team,Date,Score
FlyQuest,2024-01-20,13191.9668
FlyQuest,2024-01-21,15789.72118
FlyQuest,2024-01-27,14598.26426
FlyQuest,2024-01-28,4615.499051
FlyQuest,2024-02-02,17681.42365
FlyQuest,2024-02-03,14746.44619
FlyQuest,2024-02-04,16129.48121
FlyQuest,2024-02-10,5171.378263
FlyQuest,2024-02-11,15698.12627
FlyQuest,2024-03-02,6203.706394
FlyQuest,2024-03-03,19992.65002
FlyQuest,2024-03-08,6023.990338
FlyQuest,2024-03-09,14813.91688
FlyQuest,2024-03-10,15312.42818
FlyQuest,2024-03-15,19418.15603
FlyQuest,2024-03-15,10065.89151
FlyQuest,2024-03-15,15381.71268
FlyQuest,2024-03-15,8037.375678
FlyQuest,2024-03-15,17193.87976
FlyQuest,2024-03-23,15999.13528
FlyQuest,2024-03-23,14148.20683
FlyQuest,2024-03-23,15398.31068
FlyQuest,2024-03-31,3908.387312
FlyQuest,2024-03-31,15529.18394
FlyQuest,2024-03-31,7246.157798
FlyQuest,2024-03-31,5338.584347
FlyQuest,2024-05-01,11659.09234
FlyQuest,2024-05-01,18898.42436
FlyQuest,2024-05-01,20629.77306
FlyQuest,2024-05-03,5427.641235
FlyQuest,2024-05-03,5394.488546
FlyQuest,2024-05-05,6280.912937
FlyQuest,2024-05-05,2076.129429
FlyQuest,2024-06-15,12039.37845
FlyQuest,2024-06-15,16965.32672
FlyQuest,2024-06-15,4840.976191
FlyQuest,2024-06-23,15221.61365
FlyQuest,2024-06-23,7334.685569
FlyQuest,2024-06-23,15338.96012
FlyQuest,2024-06-28,17686.77487
FlyQuest,2024-06-28,15157.73948
FlyQuest,2024-07-05,14602.993
FlyQuest,2024-07-05,5727.313667
FlyQuest,2024-07-05,7686.224779
FlyQuest,2024-07-20,10801.1745
FlyQuest,2024-07-20,21442.50016
FlyQuest,2024-07-28,7725.69814
FlyQuest,2024-07-28,17810.72814
FlyQuest,2024-07-28,19069.22972
FlyQuest,2024-08-04,11935.59989
FlyQuest,2024-08-04,7275.31628
FlyQuest,2024-08-05,16186.52891
FlyQuest,2024-08-11,7136.075016
FlyQuest,2024-08-11,11215.25833
FlyQuest,2024-08-18,20490.60386
FlyQuest,2024-08-18,6992.965834
FlyQuest,2024-08-18,15060.17368
FlyQuest,2024-08-18,17617.43921
FlyQuest,2024-08-25,10338.63376
FlyQuest,2024-08-25,13670.56137
FlyQuest,2024-08-25,14001.67379
FlyQuest,2024-08-25,18369.2996
FlyQuest,2024-08-31,9545.042788
FlyQuest,2024-08-31,18105.16095
FlyQuest,2024-08-31,6726.882149
FlyQuest,2024-08-31,21595.50998
FlyQuest,2024-08-31,6896.759528
FlyQuest,2024-09-06,14037.18747
FlyQuest,2024-09-06,15510.11349
FlyQuest,2024-09-06,20159.74011
FlyQuest,2024-09-07,16385.48971
FlyQuest,2024-09-07,5083.937388
FlyQuest,2024-09-07,20303.37667
FlyQuest,2024-09-07,9516.676904
