Team,Date,Score
Fnatic,2024-01-13,16909.65341
Fnatic,2024-01-14,15597.21713
Fnatic,2024-01-15,4557.78271
Fnatic,2024-01-20,6951.908073
Fnatic,2024-01-21,14245.74234
Fnatic,2024-01-22,14339.96699
Fnatic,2024-01-27,10746.60409
Fnatic,2024-01-28,8299.854603
Fnatic,2024-01-29,20622.71257
Fnatic,2024-02-04,16357.40872
Fnatic,2024-02-04,11677.78838
Fnatic,2024-02-05,3155.987325
Fnatic,2024-02-05,18028.77843
Fnatic,2024-02-05,7142.136392
Fnatic,2024-02-12,7164.361709
Fnatic,2024-02-12,14292.9424
Fnatic,2024-02-12,14390.74425
Fnatic,2024-02-16,11242.09344
Fnatic,2024-02-16,18120.64968
Fnatic,2024-02-16,6959.289938
Fnatic,2024-02-16,16231.03992
Fnatic,2024-02-16,11339.66031
Fnatic,2024-03-09,17100.1964
Fnatic,2024-03-10,18663.58792
Fnatic,2024-03-11,6188.882422
Fnatic,2024-03-16,17626.52132
Fnatic,2024-03-17,24953.29931
Fnatic,2024-03-18,15746.74249
Fnatic,2024-03-22,3858.059317
Fnatic,2024-03-23,14784.05464
Fnatic,2024-03-25,5766.134069
Fnatic,2024-03-30,17733.8748
Fnatic,2024-03-30,15003.95238
Fnatic,2024-04-01,3816.430504
Fnatic,2024-04-01,7600.808317
Fnatic,2024-04-06,8202.540773
Fnatic,2024-04-06,18817.18662
Fnatic,2024-04-06,16716.78115
Fnatic,2024-04-08,3650.607383
Fnatic,2024-04-08,16550.48127
Fnatic,2024-04-08,22940.39667
Fnatic,2024-04-08,18858.90893
Fnatic,2024-04-13,3767.560901
Fnatic,2024-04-13,7708.98545
Fnatic,2024-04-13,18592.65576
Fnatic,2024-04-13,16025.01446
Fnatic,2024-04-13,18302.89216
Fnatic,2024-04-14,21204.79383
Fnatic,2024-04-14,11167.08049
Fnatic,2024-04-14,8677.436635
Fnatic,2024-04-14,10287.42307
Fnatic,2024-05-02,19016.1232
Fnatic,2024-05-02,19889.72575
Fnatic,2024-05-03,7876.515997
Fnatic,2024-05-03,18375.67863
Fnatic,2024-05-03,6534.399875
Fnatic,2024-05-05,19686.38229
Fnatic,2024-05-05,16480.58855
Fnatic,2024-05-08,6545.728689
Fnatic,2024-05-08,8005.778372
Fnatic,2024-05-08,5184.128886
Fnatic,2024-05-11,4133.336147
Fnatic,2024-05-11,15198.54171
Fnatic,2024-05-11,5138.802485
Fnatic,2024-05-11,6118.351381
Fnatic,2024-06-08,15129.66425
Fnatic,2024-06-09,15684.00108
Fnatic,2024-06-10,16115.44131
Fnatic,2024-06-15,17295.17776
Fnatic,2024-06-16,17153.35314
Fnatic,2024-06-22,19207.7216
Fnatic,2024-06-23,5699.901287
Fnatic,2024-06-29,6479.539342
Fnatic,2024-06-30,8635.165418
Fnatic,2024-07-04,6527.600741
Fnatic,2024-07-04,10644.69754
Fnatic,2024-07-13,7785.539817
Fnatic,2024-07-13,14514.50418
Fnatic,2024-07-13,20444.16073
Fnatic,2024-07-14,16393.24294
Fnatic,2024-07-14,21885.21531
Fnatic,2024-07-22,5990.740505
Fnatic,2024-07-22,14743.79671
Fnatic,2024-07-22,20113.18872
Fnatic,2024-07-22,10205.95173
Fnatic,2024-07-22,17340.72007
Fnatic,2024-07-28,9216.566883
Fnatic,2024-07-28,11229.96891
Fnatic,2024-07-28,9740.451337
Fnatic,2024-08-10,19370.9072
Fnatic,2024-08-10,14417.2758
Fnatic,2024-08-10,13400.17012
Fnatic,2024-08-24,4494.279413
Fnatic,2024-08-24,18814.44334
Fnatic,2024-08-24,12658.99854
Fnatic,2024-08-24,10198.87599
Fnatic,2024-08-24,12547.58178
Fnatic,2024-09-01,12120.28749
Fnatic,2024-09-01,18020.65816
Fnatic,2024-09-01,8351.227431
Fnatic,2024-09-01,7570.551404
