Team,Date,Score
G2 Esports,2024-01-13,13941.07072
G2 Esports,2024-01-14,12450.1989
G2 Esports,2024-01-15,5362.339219
G2 Esports,2024-01-20,13997.28509
G2 Esports,2024-01-21,17988.68851
G2 Esports,2024-01-22,4916.935411
G2 Esports,2024-01-27,13216.19689
G2 Esports,2024-01-28,17433.26947
G2 Esports,2024-01-29,18717.06296
G2 Esports,2024-02-03,19670.18588
G2 Esports,2024-02-03,20263.30117
G2 Esports,2024-02-05,21442.65174
G2 Esports,2024-02-05,6109.220931
G2 Esports,2024-02-05,18881.90324
G2 Esports,2024-02-11,13324.33239
G2 Esports,2024-02-11,15806.55582
G2 Esports,2024-02-11,21999.77251
G2 Esports,2024-02-18,7090.619407
G2 Esports,2024-02-18,22622.61099
G2 Esports,2024-02-18,24518.37217
G2 Esports,2024-02-18,18935.02466
G2 Esports,2024-03-09,18174.68085
G2 Esports,2024-03-10,16298.61701
G2 Esports,2024-03-11,14758.0563
G2 Esports,2024-03-16,16894.39047
G2 Esports,2024-03-17,2957.372118
G2 Esports,2024-03-18,17908.70214
G2 Esports,2024-03-22,17957.41509
G2 Esports,2024-03-23,7917.18759
G2 Esports,2024-03-25,6350.768287
G2 Esports,2024-03-31,16864.44727
G2 Esports,2024-03-31,14927.84542
G2 Esports,2024-04-01,20206.54826
G2 Esports,2024-04-01,15223.01658
G2 Esports,2024-04-07,15604.21266
G2 Esports,2024-04-07,8702.304053
G2 Esports,2024-04-07,21099.45683
G2 Esports,2024-04-07,13057.48239
G2 Esports,2024-04-14,4581.85765
G2 Esports,2024-04-14,13146.2576
G2 Esports,2024-04-14,15563.93432
G2 Esports,2024-04-14,18612.96407
G2 Esports,2024-05-10,7366.550416
G2 Esports,2024-05-10,19096.72842
G2 Esports,2024-05-10,21003.02405
G2 Esports,2024-05-10,5051.805976
G2 Esports,2024-05-10,6225.57496
G2 Esports,2024-05-12,18322.55601
G2 Esports,2024-05-12,21271.05309
G2 Esports,2024-05-12,16855.79891
G2 Esports,2024-05-14,22513.65831
G2 Esports,2024-05-14,18183.95062
G2 Esports,2024-05-14,15883.1222
G2 Esports,2024-05-17,5680.42817
G2 Esports,2024-05-17,12252.08305
G2 Esports,2024-05-17,8132.700135
G2 Esports,2024-06-08,15635.89528
G2 Esports,2024-06-09,9273.261879
G2 Esports,2024-06-10,6859.895385
G2 Esports,2024-06-15,10863.54492
G2 Esports,2024-06-16,13607.6508
G2 Esports,2024-06-22,17374.43308
G2 Esports,2024-06-23,17433.36389
G2 Esports,2024-06-29,17879.02852
G2 Esports,2024-06-30,14547.26666
G2 Esports,2024-07-05,10886.19839
G2 Esports,2024-07-05,16749.80489
G2 Esports,2024-07-05,14078.3155
G2 Esports,2024-07-06,8401.683378
G2 Esports,2024-07-06,6634.451948
G2 Esports,2024-07-13,15538.68944
G2 Esports,2024-07-13,16378.29006
G2 Esports,2024-07-14,14740.80091
G2 Esports,2024-07-14,14670.95411
G2 Esports,2024-07-22,19230.49315
G2 Esports,2024-07-22,7791.942355
G2 Esports,2024-07-22,6740.833133
G2 Esports,2024-07-22,14155.79174
G2 Esports,2024-07-22,7514.353683
G2 Esports,2024-07-27,7514.633903
G2 Esports,2024-07-27,14577.49901
G2 Esports,2024-07-27,15936.01397
G2 Esports,2024-07-27,10171.09915
G2 Esports,2024-07-28,12553.09227
G2 Esports,2024-07-28,14976.02084
G2 Esports,2024-07-28,11803.00965
G2 Esports,2024-08-11,16619.95612
G2 Esports,2024-08-11,11111.19154
G2 Esports,2024-08-11,17291.85617
G2 Esports,2024-08-11,5081.588888
G2 Esports,2024-08-11,9821.037454
G2 Esports,2024-08-18,20982.83697
G2 Esports,2024-08-18,12151.47644
G2 Esports,2024-08-18,16099.83818
G2 Esports,2024-08-23,7042.261524
G2 Esports,2024-08-23,6177.202369
G2 Esports,2024-08-23,17424.25725
G2 Esports,2024-08-23,15059.98681
G2 Esports,2024-08-23,17215.93335
G2 Esports,2024-08-31,7829.818997
G2 Esports,2024-08-31,17686.31477
G2 Esports,2024-08-31,16847.15287
G2 Esports,2024-08-31,17101.19713
G2 Esports,2024-09-01,11356.51622
G2 Esports,2024-09-01,7257.939544
G2 Esports,2024-09-01,16976.01687
G2 Esports,2024-09-01,14026.58768
