Team,Date,Score
GAM Esports,2024-01-21,10453.31566
GAM Esports,2024-01-21,9070.593314
GAM Esports,2024-01-26,9624.713495
GAM Esports,2024-01-26,10566.09356
GAM Esports,2024-01-28,8748.943448
GAM Esports,2024-01-28,8868.075567
GAM Esports,2024-02-01,10152.95715
GAM Esports,2024-02-01,8352.347569
GAM Esports,2024-02-03,8787.750245
GAM Esports,2024-02-03,11105.83457
GAM Esports,2024-02-17,10297.66853
GAM Esports,2024-02-17,10304.20696
GAM Esports,2024-02-23,6720.045846
GAM Esports,2024-02-23,3200.937157
GAM Esports,2024-02-25,8006.902777
GAM Esports,2024-02-25,10518.52681
GAM Esports,2024-02-29,1510.493496
GAM Esports,2024-02-29,9143.253324
GAM Esports,2024-02-29,2094.82188
GAM Esports,2024-03-02,5151.568429
GAM Esports,2024-03-02,5690.913855
GAM Esports,2024-03-02,8757.967071
GAM Esports,2024-03-07,11942.85379
GAM Esports,2024-03-07,9421.861558
GAM Esports,2024-03-09,4837.979993
GAM Esports,2024-03-09,8646.234115
GAM Esports,2024-03-09,5050.675568
GAM Esports,2024-04-03,3715.990285
GAM Esports,2024-04-03,3159.687421
GAM Esports,2024-04-05,11301.32265
GAM Esports,2024-04-05,5591.62735
GAM Esports,2024-04-05,11393.80463
GAM Esports,2024-04-05,9534.348623
GAM Esports,2024-04-06,9222.587246
GAM Esports,2024-04-06,8680.839148
GAM Esports,2024-04-06,13046.86084
GAM Esports,2024-04-07,8833.128534
GAM Esports,2024-04-07,2702.508511
GAM Esports,2024-04-07,8191.655082
GAM Esports,2024-04-07,9911.028903
GAM Esports,2024-05-02,2736.529002
GAM Esports,2024-05-02,2142.090033
GAM Esports,2024-05-04,4094.036451
GAM Esports,2024-05-04,9578.08599
GAM Esports,2024-05-04,11093.40659
GAM Esports,2024-05-05,2222.989196
GAM Esports,2024-05-05,5872.698617
GAM Esports,2024-06-22,9290.880655
GAM Esports,2024-06-22,5775.682948
GAM Esports,2024-06-22,10470.45363
GAM Esports,2024-06-23,9941.735191
GAM Esports,2024-06-23,10705.57204
GAM Esports,2024-06-28,4989.761987
GAM Esports,2024-06-28,7021.557049
GAM Esports,2024-06-28,7462.076017
GAM Esports,2024-06-30,9264.358068
GAM Esports,2024-06-30,3522.532347
GAM Esports,2024-06-30,6990.250202
GAM Esports,2024-07-12,10711.08439
GAM Esports,2024-07-12,11393.16434
GAM Esports,2024-07-14,2928.144756
GAM Esports,2024-07-14,5166.758445
GAM Esports,2024-07-19,7367.499997
GAM Esports,2024-07-19,9711.664799
GAM Esports,2024-07-27,5890.840754
GAM Esports,2024-07-27,4639.624908
GAM Esports,2024-07-27,10408.90314
GAM Esports,2024-07-28,6595.186804
GAM Esports,2024-07-28,8685.885724
GAM Esports,2024-08-01,9830.763218
GAM Esports,2024-08-01,10026.76599
GAM Esports,2024-08-03,7410.486306
GAM Esports,2024-08-03,9366.507591
GAM Esports,2024-08-04,3615.560417
GAM Esports,2024-08-04,3435.555907
GAM Esports,2024-08-08,7578.433053
GAM Esports,2024-08-08,8557.177183
GAM Esports,2024-08-08,8156.690127
GAM Esports,2024-08-11,10864.98097
GAM Esports,2024-08-11,6894.00486
GAM Esports,2024-08-11,8046.522104
GAM Esports,2024-08-11,4489.941689
GAM Esports,2024-08-11,9443.83605
GAM Esports,2024-08-18,9809.887792
GAM Esports,2024-08-18,12180.53214
GAM Esports,2024-08-18,11999.59266
