Team,Date,Score
Hanwha Life Esports,2024-01-19,16428.07196
Hanwha Life Esports,2024-01-19,18194.82962
Hanwha Life Esports,2024-01-21,18225.38859
Hanwha Life Esports,2024-01-21,19329.37353
Hanwha Life Esports,2024-01-24,19980.39926
Hanwha Life Esports,2024-01-24,23489.91013
Hanwha Life Esports,2024-01-28,8786.702415
Hanwha Life Esports,2024-01-28,8043.705027
Hanwha Life Esports,2024-02-02,22569.46483
Hanwha Life Esports,2024-02-02,15490.97682
Hanwha Life Esports,2024-02-04,19042.52668
Hanwha Life Esports,2024-02-04,7868.183127
Hanwha Life Esports,2024-02-04,20494.32469
Hanwha Life Esports,2024-02-15,21398.68001
Hanwha Life Esports,2024-02-15,19691.35213
Hanwha Life Esports,2024-02-17,6777.609106
Hanwha Life Esports,2024-02-17,8269.310063
Hanwha Life Esports,2024-02-21,21932.47027
Hanwha Life Esports,2024-02-21,19082.9591
Hanwha Life Esports,2024-02-23,20090.32688
Hanwha Life Esports,2024-02-23,24634.47772
Hanwha Life Esports,2024-03-01,7573.589624
Hanwha Life Esports,2024-03-01,16065.66642
Hanwha Life Esports,2024-03-01,18412.33046
Hanwha Life Esports,2024-03-03,19400.1004
Hanwha Life Esports,2024-03-03,22021.59175
Hanwha Life Esports,2024-03-06,6963.475584
Hanwha Life Esports,2024-03-06,9041.493466
Hanwha Life Esports,2024-03-08,23758.88759
Hanwha Life Esports,2024-03-08,21740.88202
Hanwha Life Esports,2024-03-13,19827.34956
Hanwha Life Esports,2024-03-13,8532.476143
Hanwha Life Esports,2024-03-13,26031.54757
Hanwha Life Esports,2024-03-15,20167.33115
Hanwha Life Esports,2024-03-15,6338.086086
Hanwha Life Esports,2024-03-15,22406.08595
Hanwha Life Esports,2024-03-21,10088.98368
Hanwha Life Esports,2024-03-21,22901.21208
Hanwha Life Esports,2024-03-21,26291.89716
Hanwha Life Esports,2024-03-23,23091.77792
Hanwha Life Esports,2024-03-23,24677.53341
Hanwha Life Esports,2024-03-30,25947.50298
Hanwha Life Esports,2024-03-30,17366.55283
Hanwha Life Esports,2024-03-30,25448.18084
Hanwha Life Esports,2024-04-04,17412.77366
Hanwha Life Esports,2024-04-04,19878.93239
Hanwha Life Esports,2024-04-04,21921.05156
Hanwha Life Esports,2024-04-06,17731.66789
Hanwha Life Esports,2024-04-06,9809.411289
Hanwha Life Esports,2024-04-06,18295.77358
Hanwha Life Esports,2024-04-06,10499.68385
Hanwha Life Esports,2024-04-13,17382.76444
Hanwha Life Esports,2024-04-13,10298.25321
Hanwha Life Esports,2024-04-13,7808.332369
Hanwha Life Esports,2024-04-13,8918.057726
Hanwha Life Esports,2024-06-12,4231.689061
Hanwha Life Esports,2024-06-12,20489.45661
Hanwha Life Esports,2024-06-12,10067.59661
Hanwha Life Esports,2024-06-16,26733.68116
Hanwha Life Esports,2024-06-16,9300.504609
Hanwha Life Esports,2024-06-16,21986.64062
Hanwha Life Esports,2024-06-21,20697.3792
Hanwha Life Esports,2024-06-21,21805.39419
Hanwha Life Esports,2024-06-23,23940.79477
Hanwha Life Esports,2024-06-23,21690.33981
Hanwha Life Esports,2024-06-26,9553.274456
Hanwha Life Esports,2024-06-26,10131.6473
Hanwha Life Esports,2024-06-29,22759.04956
Hanwha Life Esports,2024-06-29,21620.94832
Hanwha Life Esports,2024-07-12,14981.75661
Hanwha Life Esports,2024-07-12,8538.383941
Hanwha Life Esports,2024-07-12,14409.71052
Hanwha Life Esports,2024-07-14,21067.30339
Hanwha Life Esports,2024-07-14,20740.55116
Hanwha Life Esports,2024-07-17,19856.69304
Hanwha Life Esports,2024-07-17,16427.28046
Hanwha Life Esports,2024-07-20,17984.66734
Hanwha Life Esports,2024-07-20,19086.09246
Hanwha Life Esports,2024-07-25,21315.26674
Hanwha Life Esports,2024-07-25,17718.75823
Hanwha Life Esports,2024-07-27,19182.44932
Hanwha Life Esports,2024-07-27,5176.346107
Hanwha Life Esports,2024-07-27,15575.38626
Hanwha Life Esports,2024-07-31,4946.569462
Hanwha Life Esports,2024-07-31,16158.16857
Hanwha Life Esports,2024-07-31,5284.277254
Hanwha Life Esports,2024-08-02,18645.02418
Hanwha Life Esports,2024-08-02,20376.46775
Hanwha Life Esports,2024-08-08,22878.60844
Hanwha Life Esports,2024-08-08,21653.61819
Hanwha Life Esports,2024-08-10,23849.47772
Hanwha Life Esports,2024-08-10,21677.9288
Hanwha Life Esports,2024-08-15,24267.59621
Hanwha Life Esports,2024-08-15,22913.56478
Hanwha Life Esports,2024-08-18,8603.572865
Hanwha Life Esports,2024-08-18,8909.866542
Hanwha Life Esports,2024-08-29,24295.75045
Hanwha Life Esports,2024-08-29,21769.3189
Hanwha Life Esports,2024-08-29,29815.17127
Hanwha Life Esports,2024-08-31,20882.62399
Hanwha Life Esports,2024-08-31,6337.477187
Hanwha Life Esports,2024-08-31,9033.705213
Hanwha Life Esports,2024-08-31,6599.354986
Hanwha Life Esports,2024-09-07,19471.83066
Hanwha Life Esports,2024-09-07,11545.0304
Hanwha Life Esports,2024-09-07,23464.55039
Hanwha Life Esports,2024-09-07,19963.95542
Hanwha Life Esports,2024-09-08,17140.91374
Hanwha Life Esports,2024-09-08,6317.475575
Hanwha Life Esports,2024-09-08,7981.280692
Hanwha Life Esports,2024-09-08,21937.56687
Hanwha Life Esports,2024-09-08,21902.71156
