Team,Date,Score
LNG Esports,2024-01-25,9344.23216
LNG Esports,2024-01-25,16143.36567
LNG Esports,2024-01-25,14275.34839
LNG Esports,2024-01-28,21882.29856
LNG Esports,2024-01-28,20033.97897
LNG Esports,2024-02-01,9130.409143
LNG Esports,2024-02-01,20262.02193
LNG Esports,2024-02-01,19380.82683
LNG Esports,2024-02-04,18650.8331
LNG Esports,2024-02-04,7787.045983
LNG Esports,2024-02-04,10558.74323
LNG Esports,2024-02-06,6958.4635
LNG Esports,2024-02-06,10715.22914
LNG Esports,2024-02-20,17492.50752
LNG Esports,2024-02-20,7211.478587
LNG Esports,2024-02-20,8090.144418
LNG Esports,2024-02-23,6680.996097
LNG Esports,2024-02-23,4761.511812
LNG Esports,2024-02-25,20058.44444
LNG Esports,2024-02-25,12499.4021
LNG Esports,2024-02-25,9456.103961
LNG Esports,2024-02-28,20325.68754
LNG Esports,2024-02-28,18570.43888
LNG Esports,2024-03-02,28434.71684
LNG Esports,2024-03-02,8346.53841
LNG Esports,2024-03-02,23593.84243
LNG Esports,2024-03-08,7697.818303
LNG Esports,2024-03-08,21775.44802
LNG Esports,2024-03-08,6792.598118
LNG Esports,2024-03-12,25807.16359
LNG Esports,2024-03-12,9809.247594
LNG Esports,2024-03-12,10525.03593
LNG Esports,2024-03-16,19165.32174
LNG Esports,2024-03-16,23357.7425
LNG Esports,2024-03-20,19600.57765
LNG Esports,2024-03-20,20656.717
LNG Esports,2024-03-23,24531.74296
LNG Esports,2024-03-23,20201.96084
LNG Esports,2024-03-27,7478.226024
LNG Esports,2024-03-27,17713.18696
LNG Esports,2024-03-27,22601.70299
LNG Esports,2024-04-03,6364.936142
LNG Esports,2024-04-03,5566.511386
LNG Esports,2024-04-03,16105.17242
LNG Esports,2024-04-03,25009.61037
LNG Esports,2024-04-03,8787.533742
LNG Esports,2024-06-03,20188.14054
LNG Esports,2024-06-03,23245.72647
LNG Esports,2024-06-07,5517.969796
LNG Esports,2024-06-07,14028.1618
LNG Esports,2024-06-12,18305.34081
LNG Esports,2024-06-12,11692.31459
LNG Esports,2024-06-12,9763.636051
LNG Esports,2024-06-16,18998.498
LNG Esports,2024-06-16,13473.61888
LNG Esports,2024-06-23,14253.9504
LNG Esports,2024-06-23,8290.782079
LNG Esports,2024-06-23,6682.749229
LNG Esports,2024-06-26,23639.19931
LNG Esports,2024-06-26,11110.37706
LNG Esports,2024-06-26,18926.52722
LNG Esports,2024-07-07,20806.22151
LNG Esports,2024-07-07,21093.83104
LNG Esports,2024-07-10,19142.03417
LNG Esports,2024-07-10,8634.287411
LNG Esports,2024-07-10,16435.7609
LNG Esports,2024-07-14,23210.47378
LNG Esports,2024-07-14,19712.82152
LNG Esports,2024-07-18,22588.51471
LNG Esports,2024-07-18,7363.526652
LNG Esports,2024-07-18,18829.51629
LNG Esports,2024-07-21,6415.657415
LNG Esports,2024-07-21,14603.55105
LNG Esports,2024-07-24,18179.82169
LNG Esports,2024-07-24,6262.932838
LNG Esports,2024-07-24,19315.64612
LNG Esports,2024-07-27,10655.24494
LNG Esports,2024-07-27,24368.27504
LNG Esports,2024-07-27,19686.55781
LNG Esports,2024-07-28,11144.91141
LNG Esports,2024-07-28,19070.6502
LNG Esports,2024-07-28,17126.45883
LNG Esports,2024-08-18,9423.629424
LNG Esports,2024-08-18,10742.21327
LNG Esports,2024-08-18,7756.35185
LNG Esports,2024-08-22,24149.07331
LNG Esports,2024-08-22,7212.529662
LNG Esports,2024-08-22,23046.9916
LNG Esports,2024-08-22,9627.312457
LNG Esports,2024-08-22,7297.62132
