Team,Date,Score
MAD Lions KOI,2024-01-13,19029.55123
MAD Lions KOI,2024-01-14,4821.631417
MAD Lions KOI,2024-01-15,15309.12047
MAD Lions KOI,2024-01-20,7841.114818
MAD Lions KOI,2024-01-21,3281.75113
MAD Lions KOI,2024-01-22,20074.3116
MAD Lions KOI,2024-01-27,17384.5505
MAD Lions KOI,2024-01-28,7947.323627
MAD Lions KOI,2024-01-29,12362.7039
MAD Lions KOI,2024-02-04,7931.26865
MAD Lions KOI,2024-02-04,10687.64444
MAD Lions KOI,2024-02-10,19251.85557
MAD Lions KOI,2024-02-10,19175.01351
MAD Lions KOI,2024-02-12,19009.15542
MAD Lions KOI,2024-02-12,13418.29049
MAD Lions KOI,2024-02-16,15471.72009
MAD Lions KOI,2024-02-16,5119.026545
MAD Lions KOI,2024-02-16,21664.42053
MAD Lions KOI,2024-02-16,8088.240753
MAD Lions KOI,2024-02-16,11416.03918
MAD Lions KOI,2024-02-17,16161.32813
MAD Lions KOI,2024-02-17,17744.72493
MAD Lions KOI,2024-02-17,9609.961097
MAD Lions KOI,2024-02-17,11955.80393
MAD Lions KOI,2024-02-17,15872.75076
MAD Lions KOI,2024-02-18,20933.74742
MAD Lions KOI,2024-02-18,2890.834203
MAD Lions KOI,2024-02-18,6020.323281
MAD Lions KOI,2024-02-18,8718.921385
MAD Lions KOI,2024-03-09,20997.87362
MAD Lions KOI,2024-03-10,7618.672426
MAD Lions KOI,2024-03-11,6601.784196
MAD Lions KOI,2024-03-16,9808.108681
MAD Lions KOI,2024-03-17,6163.852726
MAD Lions KOI,2024-03-18,22341.26586
MAD Lions KOI,2024-03-22,4588.887966
MAD Lions KOI,2024-03-23,16880.61896
MAD Lions KOI,2024-03-25,20558.84711
MAD Lions KOI,2024-03-31,8797.109508
MAD Lions KOI,2024-03-31,10158.82264
MAD Lions KOI,2024-04-02,4886.009954
MAD Lions KOI,2024-04-02,17214.4825
MAD Lions KOI,2024-04-02,19793.60381
MAD Lions KOI,2024-04-06,12313.15213
MAD Lions KOI,2024-04-06,7669.330911
MAD Lions KOI,2024-06-08,7689.96851
MAD Lions KOI,2024-06-09,13389.26133
MAD Lions KOI,2024-06-10,13720.88389
MAD Lions KOI,2024-06-15,6582.627483
MAD Lions KOI,2024-06-16,3738.207854
MAD Lions KOI,2024-06-22,4048.928285
MAD Lions KOI,2024-06-23,8851.971584
MAD Lions KOI,2024-06-29,6873.293352
MAD Lions KOI,2024-06-30,17464.84217
MAD Lions KOI,2024-06-30,17975.78538
MAD Lions KOI,2024-06-30,22794.05517
MAD Lions KOI,2024-07-12,16024.63144
MAD Lions KOI,2024-07-12,14278.46095
MAD Lions KOI,2024-07-12,16273.36261
MAD Lions KOI,2024-07-21,5291.137342
MAD Lions KOI,2024-07-21,6610.415877
MAD Lions KOI,2024-08-11,6598.976374
MAD Lions KOI,2024-08-11,13712.81677
MAD Lions KOI,2024-08-11,15182.8139
MAD Lions KOI,2024-08-11,20238.0209
MAD Lions KOI,2024-08-11,16818.9322
MAD Lions KOI,2024-08-24,18166.73777
MAD Lions KOI,2024-08-24,5000.874746
MAD Lions KOI,2024-08-24,12949.6466
MAD Lions KOI,2024-08-24,14686.7158
MAD Lions KOI,2024-08-24,9449.756351
MAD Lions KOI,2024-08-31,18268.55311
MAD Lions KOI,2024-08-31,6842.020183
MAD Lions KOI,2024-08-31,5982.57409
MAD Lions KOI,2024-08-31,6306.252135
