Team,Date,Score
Movistar R7,2024-01-16,1999.487306
Movistar R7,2024-01-16,1957.267114
Movistar R7,2024-01-17,6666.867074
Movistar R7,2024-01-18,6674.437013
Movistar R7,2024-01-23,5350.553817
Movistar R7,2024-01-23,5529.750402
Movistar R7,2024-01-26,6971.79565
Movistar R7,2024-01-26,7019.871966
Movistar R7,2024-01-31,7016.779969
Movistar R7,2024-02-01,8582.017467
Movistar R7,2024-02-01,6140.965919
Movistar R7,2024-02-08,3966.62855
Movistar R7,2024-02-08,6320.528548
Movistar R7,2024-02-14,5311.424389
Movistar R7,2024-02-14,5685.796031
Movistar R7,2024-02-15,5109.811912
Movistar R7,2024-02-15,7652.54554
Movistar R7,2024-02-20,7115.53669
Movistar R7,2024-02-20,7389.971739
Movistar R7,2024-02-21,7630.605812
Movistar R7,2024-02-22,6654.325582
Movistar R7,2024-02-27,6074.704261
Movistar R7,2024-02-28,7765.570048
Movistar R7,2024-03-06,6492.066272
Movistar R7,2024-03-06,6097.665358
Movistar R7,2024-03-06,6048.445521
Movistar R7,2024-03-19,7102.343111
Movistar R7,2024-03-19,6909.944968
Movistar R7,2024-03-19,2829.418233
Movistar R7,2024-03-20,2069.483189
Movistar R7,2024-03-20,2416.172802
Movistar R7,2024-03-26,1916.691433
Movistar R7,2024-03-26,8205.463747
Movistar R7,2024-03-27,1428.541426
Movistar R7,2024-03-27,7453.797197
Movistar R7,2024-03-27,6510.287501
Movistar R7,2024-04-06,2096.21609
Movistar R7,2024-04-06,1886.626279
Movistar R7,2024-04-06,2265.635749
Movistar R7,2024-06-11,6739.220108
Movistar R7,2024-06-11,2792.139341
Movistar R7,2024-06-12,6021.909486
Movistar R7,2024-06-12,6655.443782
Movistar R7,2024-06-18,5630.546446
Movistar R7,2024-06-18,4686.684787
Movistar R7,2024-06-20,2172.700728
Movistar R7,2024-06-20,6623.512612
Movistar R7,2024-06-25,6828.210426
Movistar R7,2024-06-25,1837.019775
Movistar R7,2024-07-10,6586.032517
Movistar R7,2024-07-10,2106.788408
Movistar R7,2024-07-10,6436.122088
Movistar R7,2024-07-10,7412.280536
Movistar R7,2024-07-16,6261.679994
Movistar R7,2024-07-16,7474.409927
Movistar R7,2024-07-17,2915.332008
Movistar R7,2024-07-17,6631.42685
Movistar R7,2024-07-24,6766.241169
Movistar R7,2024-07-24,1542.261638
Movistar R7,2024-07-30,3385.858049
Movistar R7,2024-07-30,2915.332512
Movistar R7,2024-07-30,6342.064707
Movistar R7,2024-07-30,4587.830662
Movistar R7,2024-07-31,6604.035152
Movistar R7,2024-08-06,7337.398276
Movistar R7,2024-08-06,6770.220647
Movistar R7,2024-08-06,1266.365124
Movistar R7,2024-08-06,6300.920443
Movistar R7,2024-08-24,7260.201762
Movistar R7,2024-08-24,7223.896364
Movistar R7,2024-08-24,8275.496265
