Team,Date,Score
PSG Talon,2024-01-25,8890.155428
PSG Talon,2024-01-25,10810.90949
PSG Talon,2024-01-27,2584.710012
PSG Talon,2024-01-27,9062.187825
PSG Talon,2024-01-27,4327.982272
PSG Talon,2024-02-01,10593.49996
PSG Talon,2024-02-01,8203.797922
PSG Talon,2024-02-03,11178.94655
PSG Talon,2024-02-03,12841.08046
PSG Talon,2024-02-16,2703.932775
PSG Talon,2024-02-16,3744.746088
PSG Talon,2024-02-18,2724.568095
PSG Talon,2024-02-18,7977.398226
PSG Talon,2024-02-18,6177.918902
PSG Talon,2024-02-24,10458.90122
PSG Talon,2024-02-24,9809.201922
PSG Talon,2024-03-01,11520.12293
PSG Talon,2024-03-01,2640.486436
PSG Talon,2024-03-01,11518.10914
PSG Talon,2024-03-03,10500.6768
PSG Talon,2024-03-03,4369.856221
PSG Talon,2024-03-03,8315.347128
PSG Talon,2024-03-20,2951.513302
PSG Talon,2024-03-20,10788.40029
PSG Talon,2024-03-20,10629.33982
PSG Talon,2024-03-20,11937.73357
PSG Talon,2024-03-24,10794.45982
PSG Talon,2024-03-24,4191.671514
PSG Talon,2024-03-24,8536.2637
PSG Talon,2024-03-24,3141.620752
PSG Talon,2024-03-24,9818.714061
PSG Talon,2024-03-30,10692.22805
PSG Talon,2024-03-30,11004.48722
PSG Talon,2024-03-30,10493.55485
PSG Talon,2024-04-07,11256.06881
PSG Talon,2024-04-07,12549.79098
PSG Talon,2024-04-07,10697.00697
PSG Talon,2024-05-01,6857.844411
PSG Talon,2024-05-01,3580.507716
PSG Talon,2024-05-01,3240.499764
PSG Talon,2024-05-04,10598.14356
PSG Talon,2024-05-04,12719.24414
PSG Talon,2024-05-05,8795.968084
PSG Talon,2024-05-05,11900.81103
PSG Talon,2024-05-09,2951.234803
PSG Talon,2024-05-09,9083.764409
PSG Talon,2024-05-09,4320.275727
PSG Talon,2024-05-09,8980.542431
PSG Talon,2024-05-09,1924.41265
PSG Talon,2024-05-12,5299.309992
PSG Talon,2024-05-12,2275.267302
PSG Talon,2024-05-12,2192.08567
PSG Talon,2024-06-15,9907.152751
PSG Talon,2024-06-15,8653.499879
PSG Talon,2024-06-16,10038.03085
PSG Talon,2024-06-16,10662.46877
PSG Talon,2024-06-23,11727.3092
PSG Talon,2024-06-23,9003.784285
PSG Talon,2024-06-30,2653.051707
PSG Talon,2024-06-30,11106.84901
PSG Talon,2024-06-30,8575.167514
PSG Talon,2024-07-12,8776.683804
PSG Talon,2024-07-12,10108.83166
PSG Talon,2024-07-14,11953.2368
PSG Talon,2024-07-14,8729.878552
PSG Talon,2024-07-19,5948.002681
PSG Talon,2024-07-19,10049.32315
PSG Talon,2024-07-21,9105.009729
PSG Talon,2024-07-21,9648.33755
PSG Talon,2024-07-26,9477.428141
PSG Talon,2024-07-26,4581.763781
PSG Talon,2024-07-26,5166.835164
PSG Talon,2024-07-28,10428.13354
PSG Talon,2024-07-28,10462.13456
PSG Talon,2024-08-17,6329.154511
PSG Talon,2024-08-17,8723.04624
PSG Talon,2024-08-17,7801.588965
PSG Talon,2024-08-23,9466.187742
PSG Talon,2024-08-23,7470.128842
PSG Talon,2024-08-23,10406.59494
PSG Talon,2024-09-01,10621.86638
PSG Talon,2024-09-01,11037.25724
PSG Talon,2024-09-01,3865.679979
PSG Talon,2024-09-01,10803.80506
