Team,Date,Score
T1,2024-01-17,14476.13286
T1,2024-01-17,11526.68055
T1,2024-01-17,8577.97514
T1,2024-01-19,21506.88174
T1,2024-01-19,18404.39553
T1,2024-01-26,11348.11331
T1,2024-01-26,21358.57806
T1,2024-01-26,24509.36513
T1,2024-01-28,17064.37328
T1,2024-01-28,21296.99496
T1,2024-02-01,20289.96412
T1,2024-02-01,17232.14906
T1,2024-02-03,15394.76496
T1,2024-02-03,19156.18218
T1,2024-02-15,18823.83966
T1,2024-02-15,19431.58777
T1,2024-02-18,20324.25254
T1,2024-02-18,21634.50594
T1,2024-02-21,20727.32722
T1,2024-02-21,4548.489397
T1,2024-02-21,20761.62443
T1,2024-02-24,20660.86544
T1,2024-02-24,20508.63705
T1,2024-02-28,16935.51756
T1,2024-02-28,19739.25974
T1,2024-03-02,22221.41386
T1,2024-03-02,23074.11433
T1,2024-03-07,19356.79887
T1,2024-03-07,26206.072
T1,2024-03-09,5715.841135
T1,2024-03-09,7512.877321
T1,2024-03-13,18800.85898
T1,2024-03-13,19679.71195
T1,2024-03-15,9540.369322
T1,2024-03-15,21942.31067
T1,2024-03-15,9345.627642
T1,2024-03-20,23735.16582
T1,2024-03-20,20261.4064
T1,2024-03-23,20866.72509
T1,2024-03-23,17774.68529
T1,2024-04-04,15247.86056
T1,2024-04-04,7836.227048
T1,2024-04-04,8359.435107
T1,2024-04-07,20093.30226
T1,2024-04-07,17257.26451
T1,2024-04-07,19686.92699
T1,2024-04-13,13789.07495
T1,2024-04-13,18120.99854
T1,2024-04-13,21048.7328
T1,2024-04-13,20979.95916
T1,2024-04-14,4395.182454
T1,2024-04-14,16351.46987
T1,2024-04-14,22688.54193
T1,2024-04-14,5522.588754
T1,2024-04-14,3148.309886
T1,2024-05-01,16166.37359
T1,2024-05-01,16784.78135
T1,2024-05-03,20213.70652
T1,2024-05-03,23171.85726
T1,2024-05-10,22641.45172
T1,2024-05-10,6693.989699
T1,2024-05-10,5283.779168
T1,2024-05-10,21777.72111
T1,2024-05-10,20584.3227
T1,2024-05-12,7723.819906
T1,2024-05-12,21148.47864
T1,2024-05-12,6096.221958
T1,2024-05-12,9550.113387
T1,2024-05-15,17453.81837
T1,2024-05-15,15599.27036
T1,2024-05-15,8314.364171
T1,2024-05-15,20592.67639
T1,2024-05-17,24215.72292
T1,2024-05-17,15753.623
T1,2024-05-17,21263.73633
T1,2024-05-18,11394.92173
T1,2024-05-18,16665.31174
T1,2024-05-18,6794.88972
T1,2024-05-18,22756.54059
T1,2024-05-18,7330.926212
T1,2024-06-14,17238.71938
T1,2024-06-14,22514.33871
T1,2024-06-16,7211.643559
T1,2024-06-16,8449.271368
T1,2024-06-19,19163.48966
T1,2024-06-19,18560.7689
T1,2024-06-21,8963.876192
T1,2024-06-21,22028.79558
T1,2024-06-21,25236.06031
T1,2024-06-26,15664.23681
T1,2024-06-26,17103.69102
T1,2024-06-29,15684.93092
T1,2024-06-29,8359.024313
T1,2024-06-29,9792.994448
T1,2024-07-04,19548.93661
T1,2024-07-04,7814.714043
T1,2024-07-04,23122.21112
T1,2024-07-06,3770.139694
T1,2024-07-06,15795.83907
T1,2024-07-06,16576.11901
T1,2024-07-07,22236.50836
T1,2024-07-07,26907.49209
T1,2024-07-10,16519.02309
T1,2024-07-10,8835.951641
T1,2024-07-10,19398.30132
T1,2024-07-12,11034.30085
T1,2024-07-12,16912.72385
T1,2024-07-12,14125.05669
T1,2024-07-18,7910.32148
T1,2024-07-18,23033.48198
T1,2024-07-18,7685.879042
T1,2024-07-20,12243.95636
T1,2024-07-20,6078.335056
T1,2024-07-26,22964.94882
T1,2024-07-26,10267.18756
T1,2024-07-26,20934.23231
T1,2024-07-28,19390.05477
T1,2024-07-28,19441.92303
T1,2024-07-31,11719.36702
T1,2024-07-31,19857.46919
T1,2024-07-31,20629.31352
T1,2024-08-03,14397.70139
T1,2024-08-03,11187.62619
T1,2024-08-09,6763.148235
T1,2024-08-09,6909.516176
T1,2024-08-11,13833.94531
T1,2024-08-11,23070.42703
T1,2024-08-14,6122.845955
T1,2024-08-14,21810.76262
T1,2024-08-14,19901.10476
T1,2024-08-17,19878.03537
T1,2024-08-17,24598.75472
T1,2024-08-24,12414.07296
T1,2024-08-24,11524.52953
T1,2024-08-24,16881.7267
T1,2024-08-24,12481.65514
T1,2024-08-29,5352.70473
T1,2024-08-29,6822.701442
T1,2024-08-29,4733.717569
T1,2024-09-01,8485.375645
T1,2024-09-01,19525.56195
T1,2024-09-01,22294.32539
T1,2024-09-01,19318.14365
T1,2024-09-07,8595.287672
T1,2024-09-07,13899.02875
T1,2024-09-07,5981.568444
T1,2024-09-07,7432.587365
