Team,Date,Score
Team Liquid,2024-01-20,8633.546594
Team Liquid,2024-01-21,14627.61152
Team Liquid,2024-01-27,4483.282245
Team Liquid,2024-01-28,14490.81352
Team Liquid,2024-02-02,5070.571627
Team Liquid,2024-02-03,10818.76638
Team Liquid,2024-02-04,13154.22013
Team Liquid,2024-02-10,10871.97438
Team Liquid,2024-02-11,17475.84643
Team Liquid,2024-03-02,7775.938483
Team Liquid,2024-03-04,10945.79969
Team Liquid,2024-03-08,17748.80278
Team Liquid,2024-03-09,6428.19591
Team Liquid,2024-03-10,12056.90432
Team Liquid,2024-03-15,7265.749124
Team Liquid,2024-03-15,18762.42436
Team Liquid,2024-03-15,11609.31849
Team Liquid,2024-03-15,14860.45937
Team Liquid,2024-03-15,9851.901501
Team Liquid,2024-03-17,13420.55191
Team Liquid,2024-03-17,18152.85809
Team Liquid,2024-03-17,19663.20824
Team Liquid,2024-03-22,20126.01517
Team Liquid,2024-03-22,6626.711432
Team Liquid,2024-03-22,16746.19106
Team Liquid,2024-03-22,18475.18686
Team Liquid,2024-03-30,12627.40863
Team Liquid,2024-03-30,17094.38588
Team Liquid,2024-03-30,14698.30045
Team Liquid,2024-03-31,20489.73205
Team Liquid,2024-03-31,9084.690629
Team Liquid,2024-03-31,13655.6586
Team Liquid,2024-03-31,18852.90115
Team Liquid,2024-05-07,4262.671954
Team Liquid,2024-05-07,3372.197287
Team Liquid,2024-05-07,5056.658892
Team Liquid,2024-05-11,17533.33142
Team Liquid,2024-05-11,6979.348553
Team Liquid,2024-05-11,17691.88713
Team Liquid,2024-05-11,15258.21827
Team Liquid,2024-05-15,7367.375821
Team Liquid,2024-05-15,10560.26075
Team Liquid,2024-05-15,16077.10163
Team Liquid,2024-05-15,5196.053984
Team Liquid,2024-06-15,10394.29349
Team Liquid,2024-06-15,3818.58082
Team Liquid,2024-06-15,16396.6056
Team Liquid,2024-06-23,14450.25689
Team Liquid,2024-06-23,13676.19987
Team Liquid,2024-06-27,14961.6884
Team Liquid,2024-06-27,16336.83537
Team Liquid,2024-07-04,14970.73934
Team Liquid,2024-07-04,13410.81038
Team Liquid,2024-07-06,19096.87834
Team Liquid,2024-07-06,9908.339208
Team Liquid,2024-07-06,7424.23196
Team Liquid,2024-07-20,15086.80914
Team Liquid,2024-07-20,6356.532386
Team Liquid,2024-07-20,14794.51962
Team Liquid,2024-07-28,18087.80658
Team Liquid,2024-07-28,17699.39242
Team Liquid,2024-08-04,12190.41042
Team Liquid,2024-08-04,13888.11636
Team Liquid,2024-08-04,15109.01998
Team Liquid,2024-08-10,18596.58072
Team Liquid,2024-08-10,21248.43809
Team Liquid,2024-08-24,18542.83572
Team Liquid,2024-08-24,19806.12992
Team Liquid,2024-08-24,16285.4299
Team Liquid,2024-08-31,13227.29116
Team Liquid,2024-08-31,3449.820864
Team Liquid,2024-08-31,13186.57456
Team Liquid,2024-08-31,5935.20026
Team Liquid,2024-08-31,14712.42545
Team Liquid,2024-09-07,5176.793837
Team Liquid,2024-09-07,14126.21247
Team Liquid,2024-09-07,3186.426387
Team Liquid,2024-09-07,12509.34297
