Team,Date,Score
Top Esports,2024-01-22,5723.14132
Top Esports,2024-01-22,20032.67701
Top Esports,2024-01-22,6038.023217
Top Esports,2024-01-27,20712.08272
Top Esports,2024-01-27,22317.44571
Top Esports,2024-02-03,22539.70958
Top Esports,2024-02-03,25656.57702
Top Esports,2024-02-07,25437.2515
Top Esports,2024-02-07,13510.48473
Top Esports,2024-02-21,18214.94389
Top Esports,2024-02-21,22031.18685
Top Esports,2024-02-23,17658.89742
Top Esports,2024-02-23,22517.80313
Top Esports,2024-02-26,20590.62161
Top Esports,2024-02-26,7121.326673
Top Esports,2024-02-26,14473.40795
Top Esports,2024-03-01,19389.84858
Top Esports,2024-03-01,6779.662365
Top Esports,2024-03-01,24330.45227
Top Esports,2024-03-04,21813.52316
Top Esports,2024-03-04,19488.22536
Top Esports,2024-03-08,18925.11277
Top Esports,2024-03-08,21017.60342
Top Esports,2024-03-10,22818.08156
Top Esports,2024-03-10,17690.74823
Top Esports,2024-03-14,16697.95758
Top Esports,2024-03-14,10048.8627
Top Esports,2024-03-14,6357.509792
Top Esports,2024-03-17,22060.94839
Top Esports,2024-03-17,19586.20976
Top Esports,2024-03-22,18399.83313
Top Esports,2024-03-22,15085.03807
Top Esports,2024-03-24,8344.837732
Top Esports,2024-03-24,17151.97426
Top Esports,2024-03-24,16081.16828
Top Esports,2024-03-27,15435.89326
Top Esports,2024-03-27,13039.87978
Top Esports,2024-04-07,19104.01627
Top Esports,2024-04-07,19113.4317
Top Esports,2024-04-07,23354.85301
Top Esports,2024-04-11,6449.3292
Top Esports,2024-04-11,16184.83033
Top Esports,2024-04-11,3567.985437
Top Esports,2024-04-11,22073.5421
Top Esports,2024-04-11,10252.6707
Top Esports,2024-04-14,20974.29764
Top Esports,2024-04-14,11852.33737
Top Esports,2024-04-14,19483.64379
Top Esports,2024-04-14,22391.94638
Top Esports,2024-04-20,11953.02969
Top Esports,2024-04-20,3579.503195
Top Esports,2024-04-20,18431.55007
Top Esports,2024-04-20,6055.013979
Top Esports,2024-05-02,23020.75718
Top Esports,2024-05-02,21927.47871
Top Esports,2024-05-03,16509.62469
Top Esports,2024-05-03,3934.865711
Top Esports,2024-05-03,17777.34371
Top Esports,2024-05-07,20306.93682
Top Esports,2024-05-07,20475.65338
Top Esports,2024-05-07,20685.54543
Top Esports,2024-05-11,7989.84575
Top Esports,2024-05-11,8395.907348
Top Esports,2024-05-11,23758.98253
Top Esports,2024-05-11,24255.27683
Top Esports,2024-05-11,8446.163635
Top Esports,2024-05-14,3602.3214
Top Esports,2024-05-14,5886.233475
Top Esports,2024-05-14,7737.587301
Top Esports,2024-06-02,24964.03027
Top Esports,2024-06-02,17923.37899
Top Esports,2024-06-07,20646.87388
Top Esports,2024-06-07,12573.44866
Top Esports,2024-06-12,27364.30753
Top Esports,2024-06-12,18352.66365
Top Esports,2024-06-16,20252.46748
Top Esports,2024-06-16,21410.01318
Top Esports,2024-06-23,15490.10242
Top Esports,2024-06-23,19101.8541
Top Esports,2024-06-23,21761.88747
Top Esports,2024-06-26,18801.58226
Top Esports,2024-06-26,17166.05227
Top Esports,2024-07-05,19301.83994
Top Esports,2024-07-05,26812.82722
Top Esports,2024-07-06,17870.93773
Top Esports,2024-07-06,22478.00492
Top Esports,2024-07-07,7104.05397
Top Esports,2024-07-07,5108.079094
Top Esports,2024-07-12,14618.36453
Top Esports,2024-07-12,7362.547867
Top Esports,2024-07-12,4793.541665
Top Esports,2024-07-14,8183.770932
Top Esports,2024-07-14,8820.565631
Top Esports,2024-07-17,21324.27948
Top Esports,2024-07-17,20062.27077
Top Esports,2024-07-20,19952.75188
Top Esports,2024-07-20,17454.21468
Top Esports,2024-07-23,15246.11776
Top Esports,2024-07-23,22410.03446
Top Esports,2024-07-26,18058.77212
Top Esports,2024-07-26,18575.65505
Top Esports,2024-07-27,17960.9
Top Esports,2024-07-27,20634.42266
Top Esports,2024-07-31,23001.75675
Top Esports,2024-07-31,19844.27606
Top Esports,2024-08-16,17078.71621
Top Esports,2024-08-16,8281.523268
Top Esports,2024-08-16,20482.79534
Top Esports,2024-08-16,17230.61961
Top Esports,2024-08-18,21567.57506
Top Esports,2024-08-18,15212.62128
Top Esports,2024-08-18,16125.18961
Top Esports,2024-08-21,19989.90417
Top Esports,2024-08-21,5485.381547
Top Esports,2024-08-21,5854.715129
Top Esports,2024-08-21,13409.49176
Top Esports,2024-08-24,5428.3807
Top Esports,2024-08-24,18652.12457
Top Esports,2024-08-24,11989.5985
Top Esports,2024-08-24,17975.6974
Top Esports,2024-08-24,8329.236492
