Team,Date,Score
Vikings Esports,2024-01-20,5863.854563
Vikings Esports,2024-01-20,4854.300118
Vikings Esports,2024-01-26,6796.883797
Vikings Esports,2024-01-26,8541.67904
Vikings Esports,2024-01-28,12168.25472
Vikings Esports,2024-01-28,10291.02705
Vikings Esports,2024-02-01,4949.122416
Vikings Esports,2024-02-01,2891.761638
Vikings Esports,2024-02-03,4209.719312
Vikings Esports,2024-02-03,2429.161393
Vikings Esports,2024-02-18,6088.431836
Vikings Esports,2024-02-18,8588.345214
Vikings Esports,2024-02-22,7283.997861
Vikings Esports,2024-02-22,9931.090268
Vikings Esports,2024-02-24,6012.517094
Vikings Esports,2024-02-24,6227.782801
Vikings Esports,2024-02-29,6858.574949
Vikings Esports,2024-02-29,9830.994353
Vikings Esports,2024-03-02,8217.956075
Vikings Esports,2024-03-02,7211.151794
Vikings Esports,2024-03-07,2899.114756
Vikings Esports,2024-03-07,3137.693507
Vikings Esports,2024-03-10,6916.306612
Vikings Esports,2024-03-10,2664.010276
Vikings Esports,2024-03-10,11987.76966
Vikings Esports,2024-03-14,4668.067355
Vikings Esports,2024-03-14,4165.140834
Vikings Esports,2024-04-03,9376.1624
Vikings Esports,2024-04-03,8415.145823
Vikings Esports,2024-04-05,3834.757855
Vikings Esports,2024-04-05,9266.504379
Vikings Esports,2024-04-05,9860.610077
Vikings Esports,2024-04-05,10384.40496
Vikings Esports,2024-04-07,3390.132904
Vikings Esports,2024-04-07,9849.75563
Vikings Esports,2024-04-07,5336.90156
Vikings Esports,2024-04-07,3407.664574
Vikings Esports,2024-06-21,8733.316188
Vikings Esports,2024-06-21,9565.576545
Vikings Esports,2024-06-23,10060.92858
Vikings Esports,2024-06-23,9079.03576
Vikings Esports,2024-06-28,7150.560155
Vikings Esports,2024-06-28,6031.83789
Vikings Esports,2024-06-28,6782.528152
Vikings Esports,2024-06-30,7704.527923
Vikings Esports,2024-06-30,2691.558186
Vikings Esports,2024-06-30,10523.67886
Vikings Esports,2024-07-12,10614.18289
Vikings Esports,2024-07-12,10329.70628
Vikings Esports,2024-07-13,9989.758733
Vikings Esports,2024-07-13,7949.065462
Vikings Esports,2024-07-19,5884.123448
Vikings Esports,2024-07-19,7452.251409
Vikings Esports,2024-07-27,10223.84294
Vikings Esports,2024-07-27,9401.784629
Vikings Esports,2024-07-31,9304.612097
Vikings Esports,2024-07-31,4148.579617
Vikings Esports,2024-07-31,9114.150326
Vikings Esports,2024-08-02,7405.235359
Vikings Esports,2024-08-02,4243.830704
Vikings Esports,2024-08-02,7811.940549
Vikings Esports,2024-08-03,8984.621541
Vikings Esports,2024-08-03,8361.05924
Vikings Esports,2024-08-04,9581.416457
Vikings Esports,2024-08-04,8171.817569
Vikings Esports,2024-08-09,9267.537769
Vikings Esports,2024-08-09,8063.008364
Vikings Esports,2024-08-09,7366.959167
Vikings Esports,2024-08-11,3086.848001
Vikings Esports,2024-08-11,8200.720378
Vikings Esports,2024-08-11,4271.103015
Vikings Esports,2024-08-11,7662.956556
Vikings Esports,2024-08-11,3781.626829
Vikings Esports,2024-08-17,8121.378707
Vikings Esports,2024-08-17,9805.368413
Vikings Esports,2024-08-17,8054.953405
Vikings Esports,2024-08-18,2408.057708
Vikings Esports,2024-08-18,1779.45885
Vikings Esports,2024-08-18,1466.148839
