Team,Date,Score
Weibo Gaming,2024-01-25,12537.94721
Weibo Gaming,2024-01-25,18781.54379
Weibo Gaming,2024-01-28,14213.56975
Weibo Gaming,2024-01-28,22002.33589
Weibo Gaming,2024-02-01,21295.62604
Weibo Gaming,2024-02-01,8027.858466
Weibo Gaming,2024-02-01,8195.425534
Weibo Gaming,2024-02-04,14395.72805
Weibo Gaming,2024-02-04,19708.97828
Weibo Gaming,2024-02-07,5408.627875
Weibo Gaming,2024-02-07,15872.47364
Weibo Gaming,2024-02-21,19505.4118
Weibo Gaming,2024-02-21,22197.29792
Weibo Gaming,2024-02-25,17313.91661
Weibo Gaming,2024-02-25,7638.297632
Weibo Gaming,2024-02-25,3810.607016
Weibo Gaming,2024-02-29,13624.81221
Weibo Gaming,2024-02-29,6807.331829
Weibo Gaming,2024-02-29,9499.323565
Weibo Gaming,2024-03-03,12476.36446
Weibo Gaming,2024-03-03,8348.259143
Weibo Gaming,2024-03-07,20849.3601
Weibo Gaming,2024-03-07,21262.52554
Weibo Gaming,2024-03-10,7720.503703
Weibo Gaming,2024-03-10,9411.42385
Weibo Gaming,2024-03-13,11435.8537
Weibo Gaming,2024-03-13,17718.8966
Weibo Gaming,2024-03-13,15902.31087
Weibo Gaming,2024-03-16,5679.32051
Weibo Gaming,2024-03-16,6008.537184
Weibo Gaming,2024-03-19,6765.242779
Weibo Gaming,2024-03-19,18892.07696
Weibo Gaming,2024-03-19,9215.506482
Weibo Gaming,2024-03-22,15386.96469
Weibo Gaming,2024-03-22,19253.64686
Weibo Gaming,2024-03-26,17076.44163
Weibo Gaming,2024-03-26,21284.51307
Weibo Gaming,2024-04-01,20433.74291
Weibo Gaming,2024-04-01,25264.15964
Weibo Gaming,2024-04-01,7220.148301
Weibo Gaming,2024-04-01,8711.837993
Weibo Gaming,2024-04-01,18144.67495
Weibo Gaming,2024-04-03,23721.62661
Weibo Gaming,2024-04-03,20038.73871
Weibo Gaming,2024-04-03,9039.416267
Weibo Gaming,2024-04-03,6181.030314
Weibo Gaming,2024-04-03,18527.08385
Weibo Gaming,2024-04-05,6465.147462
Weibo Gaming,2024-04-05,11088.32679
Weibo Gaming,2024-04-05,11055.15171
Weibo Gaming,2024-06-01,14348.42361
Weibo Gaming,2024-06-01,9845.25068
Weibo Gaming,2024-06-01,10239.33322
Weibo Gaming,2024-06-03,21532.22154
Weibo Gaming,2024-06-03,8118.769706
Weibo Gaming,2024-06-03,20811.12909
Weibo Gaming,2024-06-08,7799.375071
Weibo Gaming,2024-06-08,15940.73831
Weibo Gaming,2024-06-08,6822.398261
Weibo Gaming,2024-06-13,18931.14062
Weibo Gaming,2024-06-13,24235.89276
Weibo Gaming,2024-06-17,7391.464591
Weibo Gaming,2024-06-17,4565.091563
Weibo Gaming,2024-06-21,9542.221797
Weibo Gaming,2024-06-21,5360.354366
Weibo Gaming,2024-06-25,11069.29167
Weibo Gaming,2024-06-25,6586.105091
Weibo Gaming,2024-06-29,20356.41612
Weibo Gaming,2024-06-29,20623.5344
Weibo Gaming,2024-07-06,19081.30749
Weibo Gaming,2024-07-06,20340.1871
Weibo Gaming,2024-07-10,5771.011929
Weibo Gaming,2024-07-10,19590.05186
Weibo Gaming,2024-07-10,9293.412397
Weibo Gaming,2024-07-13,21716.56914
Weibo Gaming,2024-07-13,16374.27948
Weibo Gaming,2024-07-17,7934.859883
Weibo Gaming,2024-07-17,8228.18463
Weibo Gaming,2024-07-18,23551.856
Weibo Gaming,2024-07-18,18626.47157
Weibo Gaming,2024-07-23,19021.05363
Weibo Gaming,2024-07-23,5680.92533
Weibo Gaming,2024-07-23,7021.446778
Weibo Gaming,2024-07-25,20917.91361
Weibo Gaming,2024-07-25,20201.34878
Weibo Gaming,2024-07-28,19642.36673
Weibo Gaming,2024-07-28,18269.78006
Weibo Gaming,2024-08-15,20453.43144
Weibo Gaming,2024-08-15,3937.149878
Weibo Gaming,2024-08-15,18035.86411
Weibo Gaming,2024-08-15,22121.32641
Weibo Gaming,2024-08-17,6187.51478
Weibo Gaming,2024-08-17,5379.523031
Weibo Gaming,2024-08-17,6697.670123
Weibo Gaming,2024-08-22,5585.201051
Weibo Gaming,2024-08-22,17976.50111
Weibo Gaming,2024-08-22,9154.973749
Weibo Gaming,2024-08-22,18602.30952
Weibo Gaming,2024-08-22,19045.12905
Weibo Gaming,2024-08-24,19363.34655
Weibo Gaming,2024-08-24,9392.750778
Weibo Gaming,2024-08-24,15243.28919
Weibo Gaming,2024-08-24,7899.338283
Weibo Gaming,2024-08-24,18131.15342
Weibo Gaming,2024-08-30,10909.58827
Weibo Gaming,2024-08-30,1415.156101
Weibo Gaming,2024-08-30,17207.48836
