Team,Date,Score
paiN Gaming,2024-01-20,2921.552742
paiN Gaming,2024-01-21,8782.975925
paiN Gaming,2024-01-27,7099.12947
paiN Gaming,2024-01-28,4230.405868
paiN Gaming,2024-02-03,7705.254959
paiN Gaming,2024-02-04,7325.713774
paiN Gaming,2024-02-10,8301.887882
paiN Gaming,2024-02-11,9544.116657
paiN Gaming,2024-02-17,5929.764381
paiN Gaming,2024-02-18,7929.117754
paiN Gaming,2024-02-24,4026.966051
paiN Gaming,2024-02-25,5739.562291
paiN Gaming,2024-03-02,3012.69938
paiN Gaming,2024-03-03,7978.590598
paiN Gaming,2024-03-09,1998.975848
paiN Gaming,2024-03-10,2788.760102
paiN Gaming,2024-03-16,2282.280067
paiN Gaming,2024-03-17,5735.018301
paiN Gaming,2024-03-22,6036.303142
paiN Gaming,2024-03-22,2639.680398
paiN Gaming,2024-03-22,5553.91732
paiN Gaming,2024-03-23,4258.49234
paiN Gaming,2024-03-30,6400.344531
paiN Gaming,2024-03-30,7056.600384
paiN Gaming,2024-03-30,2798.005726
paiN Gaming,2024-03-30,3999.883281
paiN Gaming,2024-03-30,7834.81884
paiN Gaming,2024-04-07,3195.391462
paiN Gaming,2024-04-07,9434.225637
paiN Gaming,2024-04-07,2595.036119
paiN Gaming,2024-04-07,2513.05793
paiN Gaming,2024-04-14,6691.5596
paiN Gaming,2024-04-14,8033.712089
paiN Gaming,2024-04-14,2854.567073
paiN Gaming,2024-04-14,6379.704059
paiN Gaming,2024-04-20,3573.789972
paiN Gaming,2024-04-20,10323.38791
paiN Gaming,2024-04-20,3909.614231
paiN Gaming,2024-04-20,4724.757984
paiN Gaming,2024-06-01,7133.099316
paiN Gaming,2024-06-02,3614.520195
paiN Gaming,2024-06-08,9484.684993
paiN Gaming,2024-06-09,2484.925274
paiN Gaming,2024-06-15,7704.317466
paiN Gaming,2024-06-16,6962.336018
paiN Gaming,2024-06-22,8389.22719
paiN Gaming,2024-06-23,8263.126571
paiN Gaming,2024-06-28,7353.620596
paiN Gaming,2024-06-29,7114.798451
paiN Gaming,2024-06-30,6461.516731
paiN Gaming,2024-07-12,5245.349933
paiN Gaming,2024-07-13,7214.656387
paiN Gaming,2024-07-14,5121.785708
paiN Gaming,2024-07-20,3255.610724
paiN Gaming,2024-07-21,2192.461968
paiN Gaming,2024-07-27,11039.49632
paiN Gaming,2024-07-28,8318.587258
paiN Gaming,2024-08-10,8227.521291
paiN Gaming,2024-08-10,7442.550776
paiN Gaming,2024-08-10,7195.77803
paiN Gaming,2024-08-18,8329.994447
paiN Gaming,2024-08-18,7317.243689
paiN Gaming,2024-08-18,2896.631162
paiN Gaming,2024-08-18,7811.273513
paiN Gaming,2024-09-07,6955.594648
paiN Gaming,2024-09-07,6634.415943
paiN Gaming,2024-09-07,3148.545692
paiN Gaming,2024-09-07,7820.278989
