Team,Date,Result,Laner,Top score,Laner,Jng score,Laner,Mid score,Laner,Bot score,Laner,Sup score,Sum Score
G2 Esports,1/13/2024 16:10,1,BrokenBlade,0.669521516,Yike,2.472688024,Caps,4.270120965,Hans Sama,1.097017849,Mikyx,-1.119802619,7.389545734
Fnatic,1/13/2024 18:15,1,Oscarinin,7.950987536,Razork,2.742719296,Humanoid,0.134331858,Noah,2.422296067,Jun,7.105390932,20.35572569
MAD Lions KOI,1/13/2024 20:28,1,Myrwn,2.758109877,Elyoya,7.290069404,Fresskowy,4.539957437,Supa,3.47489949,Alvaro,7.314428879,25.37746509
MAD Lions KOI,1/14/2024 17:39,0,Myrwn,-1.881210707,Elyoya,-6.528731537,Fresskowy,-2.935001973,Supa,-3.681749999,Alvaro,-0.769607499,-15.79630172
G2 Esports,1/14/2024 18:59,1,BrokenBlade,1.986700629,Yike,1.504092921,Caps,0.254242274,Hans Sama,-2.102562093,Mikyx,1.030654968,2.673128699
Fnatic,1/14/2024 19:55,1,Oscarinin,3.590207906,Razork,4.108091724,Humanoid,2.894897299,Noah,-0.18515945,Jun,0.27367495,10.68171243
G2 Esports,1/15/2024 17:07,0,BrokenBlade,-1.959340396,Yike,-4.409456877,Caps,-5.382214386,Hans Sama,-1.532956456,Mikyx,-4.091805744,-17.37577386
MAD Lions KOI,1/15/2024 19:11,1,Myrwn,-3.155711532,Elyoya,6.275818818,Fresskowy,2.145112439,Supa,3.821644998,Alvaro,5.37078326,14.45764798
Fnatic,1/15/2024 20:13,0,Oscarinin,-4.710918183,Razork,-4.622421052,Humanoid,-3.943890572,Noah,-2.854604026,Jun,-2.189872733,-18.32170657
Movistar R7,1/16/2024 22:04,0,Summit,-1.782250206,Oddie,-4.473129522,Lava,-4.904907171,Ceo,-3.318788014,Lyonz,-3.49990305,-17.97897796
Movistar R7,1/16/2024 22:53,0,Summit,-1.065679349,Oddie,-4.440189342,Lava,-6.267635687,Ceo,-3.91779328,Lyonz,-2.840181643,-18.5314793
Gen.G,1/17/2024 11:06,0,Kiin,-1.04621944,Canyon,-0.65729671,Chovy,-0.367076262,Peyz,-1.75930795,Lehends,-0.395445947,-4.225346308
T1,1/17/2024 11:06,1,Zeus,0.58790719,Oner,1.285279278,Faker,-1.051163836,Gumayusi,0.261734149,Keria,1.94815047,3.031907251
T1,1/17/2024 11:57,0,Zeus,3.554487513,Oner,-2.896082093,Faker,-3.408469063,Gumayusi,-0.326515981,Keria,-1.07946746,-4.156047084
Gen.G,1/17/2024 11:57,1,Kiin,-0.203356903,Canyon,3.17811351,Chovy,4.452623146,Peyz,2.934867733,Lehends,4.75428086,15.11652835
T1,1/17/2024 12:49,0,Zeus,-1.053789744,Oner,-4.539437395,Faker,-0.277320147,Gumayusi,-2.728059177,Keria,-2.259767373,-10.85837384
Gen.G,1/17/2024 12:49,1,Kiin,3.386616713,Canyon,3.067306712,Chovy,5.938093169,Peyz,5.700997765,Lehends,3.10473909,21.19775345
Movistar R7,1/17/2024 23:57,1,Summit,2.005590758,Oddie,6.755237615,Lava,4.023774671,Ceo,3.324923264,Lyonz,1.767922909,17.87744922
Movistar R7,1/18/2024 0:43,1,Summit,8.120339854,Oddie,2.589144682,Lava,2.550625258,Ceo,3.40101028,Lyonz,6.460526891,23.12164696
Dplus KIA,1/18/2024 8:11,1,Kingen,5.92270923,Lucid,3.489212034,ShowMaker,2.553823552,Aiming,5.73738317,Kellin,4.631629078,22.33475706
Dplus KIA,1/18/2024 9:08,1,Kingen,1.583778074,Lucid,1.140420143,ShowMaker,2.797319543,Aiming,2.361898262,Kellin,0.937894127,8.821310148
