Team,Date,Score
G2 Esports,1/13/2024 16:10,13941.07072
Fnatic,1/13/2024 18:15,16909.65341
MAD Lions KOI,1/13/2024 20:28,19029.55123
MAD Lions KOI,1/14/2024 17:39,4821.631417
G2 Esports,1/14/2024 18:59,12450.1989
Fnatic,1/14/2024 19:55,15597.21713
G2 Esports,1/15/2024 17:07,5362.339219
MAD Lions KOI,1/15/2024 19:11,15309.12047
Fnatic,1/15/2024 20:13,4557.78271
Movistar R7,1/16/2024 22:04,1999.487306
Movistar R7,1/16/2024 22:53,1957.267114
Gen.G,1/17/2024 11:06,11803.31723
T1,1/17/2024 11:06,14476.13286
T1,1/17/2024 11:57,11526.68055
Gen.G,1/17/2024 11:57,18267.03947
T1,1/17/2024 12:49,8577.97514
Gen.G,1/17/2024 12:49,20729.65591
Movistar R7,1/17/2024 23:57,6666.867074
Movistar R7,1/18/2024 0:43,6674.437013
Dplus KIA,1/18/2024 8:11,21294.09137
Dplus KIA,1/18/2024 9:08,16443.09341
Hanwha Life Esports,1/19/2024 8:09,16428.07196
Hanwha Life Esports,1/19/2024 9:02,18194.82962
T1,1/19/2024 10:50,21506.88174
T1,1/19/2024 11:37,18404.39553
Gen.G,1/20/2024 8:36,22295.77461
Gen.G,1/20/2024 9:22,21546.47888
Vikings Esports,1/20/2024 10:07,5863.854563
Fukuoka SoftBank HAWKS gaming,1/20/2024 10:56,6736.752857
Vikings Esports,1/20/2024 11:12,4854.300118
Fukuoka SoftBank HAWKS gaming,1/20/2024 12:00,4614.827636
G2 Esports,1/20/2024 18:05,13997.28509
MAD Lions KOI,1/20/2024 18:05,7841.114818
Fnatic,1/20/2024 19:01,6951.908073
Team Liquid,1/20/2024 20:15,8633.546594
100 Thieves,1/20/2024 20:15,12889.19295
paiN Gaming,1/20/2024 20:46,2921.552742
FlyQuest,1/20/2024 22:30,13191.9668
Hanwha Life Esports,1/21/2024 6:09,18225.38859
Hanwha Life Esports,1/21/2024 7:08,19329.37353
Dplus KIA,1/21/2024 8:48,18907.5847
Dplus KIA,1/21/2024 9:35,16199.37696
Dplus KIA,1/21/2024 10:46,10024.18029
GAM Esports,1/21/2024 12:20,10453.31566
GAM Esports,1/21/2024 13:16,9070.593314
Fukuoka SoftBank HAWKS gaming,1/21/2024 13:22,9718.855292
Fukuoka SoftBank HAWKS gaming,1/21/2024 14:11,11055.87778
MAD Lions KOI,1/21/2024 16:06,3281.75113
Fnatic,1/21/2024 17:03,14245.74234
G2 Esports,1/21/2024 17:59,17988.68851
Team Liquid,1/21/2024 20:12,14627.61152
paiN Gaming,1/21/2024 20:19,8782.975925
100 Thieves,1/21/2024 21:06,5538.108416
FlyQuest,1/21/2024 21:58,15789.72118
Bilibili Gaming,1/22/2024 9:24,22539.54419
Top Esports,1/22/2024 9:24,5723.14132
Top Esports,1/22/2024 10:14,20032.67701
Bilibili Gaming,1/22/2024 10:14,7162.890538
Bilibili Gaming,1/22/2024 11:06,21966.48416
Top Esports,1/22/2024 11:06,6038.023217
Fnatic,1/22/2024 17:00,14339.96699
MAD Lions KOI,1/22/2024 17:53,20074.3116
G2 Esports,1/22/2024 18:45,4916.935411
Movistar R7,1/23/2024 22:07,5350.553817
Movistar R7,1/23/2024 23:00,5529.750402
Hanwha Life Esports,1/24/2024 8:06,19980.39926
Hanwha Life Esports,1/24/2024 9:00,23489.91013
Dplus KIA,1/25/2024 8:07,20677.34369
Dplus KIA,1/25/2024 8:53,23606.68586
PSG Talon,1/25/2024 9:13,8890.155428
Weibo Gaming,1/25/2024 9:18,12537.94721
PSG Talon,1/25/2024 10:08,10810.90949
Weibo Gaming,1/25/2024 10:17,18781.54379
Gen.G,1/25/2024 10:35,20611.87396
LNG Esports,1/25/2024 11:19,9344.23216
Gen.G,1/25/2024 11:26,23624.73914
LNG Esports,1/25/2024 12:14,16143.36567
LNG Esports,1/25/2024 13:15,14275.34839
Movistar R7,1/26/2024 0:11,6971.79565
Movistar R7,1/26/2024 0:55,7019.871966
T1,1/26/2024 8:07,11348.11331
T1,1/26/2024 9:05,21358.57806
T1,1/26/2024 9:48,24509.36513
GAM Esports,1/26/2024 10:05,9624.713495
GAM Esports,1/26/2024 10:56,10566.09356
