Team,Date,Score,Score adjusted,Score with region multiplier
G2 Esports,1/13/2024 16:10,7.389546036,37.43235647,57720.69367
Fnatic,1/13/2024 18:15,20.35572596,50.39853639,77714.54311
MAD Lions KOI,1/13/2024 20:28,25.3774652,55.42027563,85458.06502
MAD Lions KOI,1/14/2024 17:39,-15.79630142,14.24650901,21968.11689
G2 Esports,1/14/2024 18:59,2.673128908,32.71593934,50447.97846
Fnatic,1/14/2024 19:55,10.68171265,40.72452308,62797.21459
G2 Esports,1/15/2024 17:07,-17.37577362,12.66703681,19532.57076
MAD Lions KOI,1/15/2024 19:11,14.4576485,44.50045893,68619.70767
Fnatic,1/15/2024 20:13,-18.3217064,11.72110403,18073.94241
Movistar R7,1/16/2024 22:04,-17.97897771,12.06383272,7033.214476
Movistar R7,1/16/2024 22:53,-18.53147907,11.51133136,6711.106183
Gen.G,1/17/2024 11:06,-4.225346139,25.81746429,48356.11062
T1,1/17/2024 11:06,3.031907443,33.07471787,61948.94658
T1,1/17/2024 11:57,-4.156046835,25.8867636,48485.90821
Gen.G,1/17/2024 11:57,15.11652861,45.15933904,84583.44202
T1,1/17/2024 12:49,-10.85837368,19.18443675,35932.45003
Gen.G,1/17/2024 12:49,21.19775384,51.24056427,95973.57688
Movistar R7,1/17/2024 23:57,17.87744939,47.92025982,27937.51148
Movistar R7,1/18/2024 0:43,23.12164722,53.16445765,30994.87881
Dplus KIA,1/18/2024 8:11,22.33475736,52.37756779,98103.18447
Dplus KIA,1/18/2024 9:08,8.821310451,38.86412088,72792.49841
Hanwha Life Esports,1/19/2024 8:09,6.383121777,36.42593221,68225.77102
Hanwha Life Esports,1/19/2024 9:02,12.05596453,42.09877496,78851.0055
T1,1/19/2024 10:50,22.00007907,52.0428895,97476.33203
T1,1/19/2024 11:37,11.8563348,41.89914523,78477.09902
Gen.G,1/20/2024 8:36,22.16475777,52.2075682,97784.77524
Gen.G,1/20/2024 9:22,20.2206333,50.26344373,94143.43011
Vikings Esports,1/20/2024 10:07,3.031841183,33.07465161,27749.6327
Fukuoka SoftBank HAWKS gaming,1/20/2024 10:56,7.584059734,37.62687016,32471.98895
Vikings Esports,1/20/2024 11:12,-7.044607046,22.99820338,19295.49264
