league,date,game,position,playername,teamname,champion,gamelength,result,kills,deaths,assists,kda,killparticipation,firstbloodkill,firstbloodassist,firstbloodvictim,dpm,damageshare,damagetakenperminute,wpm,wcpm,vspm,earnedgoldshare,cspm
LEC,1/13/2024 16:10,1,bot,Hans Sama,G2 Esports,Aphelios,1749,1,4,2,5,4.5,0.642857143,0,0,0,724.9743,0.318383,295.3002,0.3774,0.3087,0.9262,0.250882,9.0909
LEC,1/13/2024 18:15,1,bot,Noah,Fnatic,Aphelios,2370,1,4,2,8,6,0.6,0,0,0,645.7975,0.271687,406.8354,0.3291,0.4051,1.2658,0.232576,8.9873
LEC,1/13/2024 20:28,1,bot,Supa,MAD Lions KOI,Aphelios,1657,1,2,0,6,8,0.470588235,0,0,0,271.7562,0.131243,114.8582,0.4345,0.2535,1.1225,0.195459,8.799
LEC,1/14/2024 17:39,1,bot,Supa,MAD Lions KOI,Lucian,1849,0,4,5,2,1.2,0.857142857,0,0,0,682.2931,0.329902,535.814,0.3245,0.292,0.8437,0.272077,8.4045
LEC,1/14/2024 18:59,1,bot,Hans Sama,G2 Esports,Aphelios,1925,1,2,6,8,1.666666667,0.666666667,0,0,1,479.1273,0.203288,396.2494,0.4675,0.2182,0.9974,0.212765,8.5714
LEC,1/14/2024 19:55,1,bot,Noah,Fnatic,Varus,1781,1,5,2,1,3,0.5,1,0,0,507.8608,0.237077,379.0343,0.3032,0.1684,0.8085,0.225824,9.4666
LEC,1/15/2024 17:07,1,bot,Hans Sama,G2 Esports,Aphelios,2260,0,3,2,1,2,0.666666667,0,0,0,535.6991,0.31827,531.292,0.2655,0.292,0.823,0.285449,10.6195
LEC,1/15/2024 19:11,1,bot,Supa,MAD Lions KOI,Aphelios,2042,1,11,2,5,8,0.8,0,0,0,1259.5886,0.461001,429.4025,0.2938,0.4407,0.9696,0.311829,9.8433
LEC,1/15/2024 20:13,1,bot,Noah,Fnatic,Kalista,1905,0,3,3,0,1,0.6,0,0,0,370.3307,0.228613,482.8346,0.378,0.5039,1.3543,0.256181,9.1339
LLA,1/16/2024 22:04,1,bot,Ceo,Movistar R7,Zeri,1825,0,1,3,1,0.666666667,0.333333333,0,0,0,577.5123,0.292952,409.3151,0.5589,0.3616,1.4795,0.249632,9.7315
LLA,1/16/2024 22:53,2,bot,Ceo,Movistar R7,Lucian,1763,0,3,4,0,0.75,0.375,0,0,0,524.0386,0.229407,597.924,0.5105,0.2382,0.987,0.266295,9.291
LCK,1/17/2024 11:06,1,bot,Peyz,Gen.G,Aphelios,1739,0,1,2,2,1.5,0.75,0,0,0,381.3916,0.24529,376.3542,0.345,0.3795,1.0696,0.26619,10.1783
LCK,1/17/2024 11:06,1,bot,Gumayusi,T1,Lucian,1739,1,0,0,4,4,0.666666667,0,0,0,445.5319,0.263402,382.8752,1.0006,0.483,2.4842,0.213933,8.4876
LCK,1/17/2024 11:57,2,bot,Gumayusi,T1,Nilah,1890,0,6,3,3,3,0.9,0,1,0,564.254,0.228499,534.7302,0.254,0.1905,0.7619,0.283195,9.3333
LCK,1/17/2024 11:57,2,bot,Peyz,Gen.G,Varus,1890,1,5,2,8,6.5,0.764705882,0,0,0,627.619,0.260866,347.9683,0.7619,0.1587,1.1429,0.255937,8.9841
LCK,1/17/2024 12:49,3,bot,Gumayusi,T1,Jhin,2571,0,3,4,2,1.25,0.5,0,0,0,330.8051,0.185146,469.2182,0.7235,0.21,1.2602,0.232081,9.1015
LCK,1/17/2024 12:49,3,bot,Peyz,Gen.G,Varus,2571,1,12,1,4,16,0.64,1,0,0,953.3022,0.431097,284.9708,0.8401,0.3967,1.9603,0.290699,9.3582
LLA,1/17/2024 23:57,1,bot,Ceo,Movistar R7,Caitlyn,1556,1,0,0,9,9,0.5625,0,1,0,409.4344,0.155909,297.1465,0.5398,0.3856,1.5424,0.200318,9.9871
LLA,1/18/2024 0:43,2,bot,Ceo,Movistar R7,Kalista,1489,1,5,0,4,9,0.45,0,0,0,599.2747,0.211921,310.3962,0.4835,0.3224,1.3298,0.248282,10.2754
LCK,1/18/2024 8:11,1,bot,Aiming,Dplus KIA,Xayah,1752,1,9,0,5,14,0.933333333,0,1,0,729.4178,0.37266,231.8493,0.4452,0.5137,1.4384,0.321907,11.5753
LCK,1/18/2024 9:08,2,bot,Aiming,Dplus KIA,Xayah,2348,1,6,1,3,9,0.692307692,1,0,0,728.356,0.330604,288.7053,0.3322,0.5366,1.201,0.31546,12.5213
CBLOL,1/20/2024 20:46,1,bot,TitaN,paiN Gaming,Xayah,1934,0,2,6,7,1.5,0.818181818,0,0,0,346.908,0.166179,474.5088,0.4964,0.4343,1.6443,0.253896,9.4312
CBLOL,1/21/2024 20:19,1,bot,TitaN,paiN Gaming,Caitlyn,1689,1,6,4,10,4,0.666666667,0,0,0,720.9947,0.245976,507.2824,0.6039,0.6039,1.6341,0.237711,9.1297
LCK,1/19/2024 10:50,1,bot,Gumayusi,T1,Lucian,1556,1,5,2,7,6,0.571428571,0,0,0,1134.9486,0.363173,633.2005,0.964,0.4242,2.6221,0.25112,8.4447
LCK,1/19/2024 11:37,2,bot,Gumayusi,T1,Lucian,1606,1,10,5,1,2.2,0.647058824,0,0,0,888.3064,0.350419,569.7758,0.7846,0.411,1.8306,0.300902,8.1071
LCK,1/20/2024 8:36,1,bot,Peyz,Gen.G,Aphelios,1567,1,7,3,6,4.333333333,0.8125,0,0,0,868.0664,0.317646,562.2846,0.9572,0.5743,2.5271,0.226844,7.7345
