league,date,game,position,playername,teamname,champion,gamelength,result,kills,deaths,assists,kda,killparticipation,firstbloodkill,firstbloodassist,firstbloodvictim,dragons,opp_dragons,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,dpm,damageshare,damagetakenperminute,wpm,wcpm,vspm,earnedgoldshare,cspm
LEC,1/13/2024 16:10,1,jng,Yike,G2 Esports,Vi,1749,1,4,1,5,9,0.642857143,0,0,0,2,2,1,0,0,6,1,1,0,179.4168,0.0787935,459.7942,0.3774,0.3431,1.1321,0.184347,5.8319
LEC,1/13/2024 18:15,1,jng,Razork,Fnatic,Xin Zhao,2370,1,5,3,11,5.333333333,0.8,1,0,0,4,2,1,0,3,3,0,2,1,476.6076,0.200509,1387.6962,0.1772,0.3291,1.3671,0.209026,7.3671
LEC,1/13/2024 20:28,1,jng,Elyoya,MAD Lions KOI,Xin Zhao,1657,1,6,0,7,13,0.764705882,1,0,0,3,0,1,0,3,3,1,2,0,374.4478,0.180837,854.0495,0.2173,0.3983,1.3036,0.202669,6.6264
LEC,1/14/2024 17:39,1,jng,Elyoya,MAD Lions KOI,Xin Zhao,1849,0,1,7,4,0.714285714,0.714285714,0,0,0,2,3,0,1,4,2,0,0,2,298.5073,0.144334,1165.1163,0.2596,0.5841,1.4927,0.185682,5.5814
LEC,1/14/2024 18:59,1,jng,Yike,G2 Esports,Viego,1925,1,7,2,4,5.5,0.733333333,0,0,0,2,3,1,0,6,0,1,1,1,511.1688,0.216882,830.3377,0.2805,0.4675,2.026,0.235338,6.9506
LEC,1/14/2024 19:55,1,jng,Razork,Fnatic,Poppy,1781,1,0,1,9,9,0.75,0,1,0,2,2,1,0,6,0,1,1,0,305.4913,0.142608,637.1589,0.2358,0.2695,1.1117,0.144032,5.3902
LEC,1/15/2024 17:07,1,jng,Yike,G2 Esports,Trundle,2260,0,1,4,3,1,0.666666667,0,0,0,0,5,0,1,6,0,0,1,1,179.7876,0.106816,1056.5044,0.2389,0.3186,1.1947,0.187894,5.8142
LEC,1/15/2024 19:11,1,jng,Elyoya,MAD Lions KOI,Sejuani,2042,1,0,0,13,13,0.65,0,0,0,3,2,1,0,6,0,1,1,0,201.9785,0.0739227,858.3643,1.2929,0.5877,2.38,0.151042,5.3477
LEC,1/15/2024 20:13,1,jng,Razork,Fnatic,Sejuani,1905,0,1,0,1,2,0.4,0,0,0,1,4,0,1,0,6,0,0,1,219.7165,0.135635,696.5984,0.3465,0.4094,1.4488,0.167879,6.3937
LLA,1/16/2024 22:04,1,jng,Oddie,Movistar R7,Nocturne,1825,0,1,3,3,1.333333333,0.666666667,0,0,0,0,4,1,0,3,3,0,0,1,294.1151,0.149194,957.9945,0.3945,0.2959,1.1836,0.179215,6.5425
LLA,1/16/2024 22:53,2,jng,Oddie,Movistar R7,Rell,1763,0,1,6,6,1.166666667,0.875,0,0,0,0,3,0,1,4,2,0,0,1,242.3483,0.106092,864.9121,0.3063,0.1702,0.8849,0.15073,4.2541
LCK,1/17/2024 11:06,1,jng,Canyon,Gen.G,Rell,1739,0,0,0,3,3,0.75,0,0,0,3,1,0,1,3,3,0,0,1,101.6101,0.06535,595.2041,0.6555,0.3105,1.5526,0.151128,5.6929
LCK,1/17/2024 11:06,1,jng,Oner,T1,Jarvan IV,1739,1,2,0,3,5,0.833333333,0,0,0,1,3,1,0,3,3,1,1,0,185.7619,0.109824,709.5457,0.3795,0.4485,1.6906,0.195069,7.1075
LCK,1/17/2024 11:57,2,jng,Oner,T1,Lee Sin,1890,0,1,4,4,1.25,0.5,0,0,0,2,3,1,0,6,0,0,0,1,286.5714,0.116049,990.6984,0.6349,0.2857,1.4921,0.156724,5.746
LCK,1/17/2024 11:57,2,jng,Canyon,Gen.G,Maokai,1890,1,1,1,12,13,0.764705882,0,0,0,3,2,0,1,0,6,1,1,0,321.7143,0.133719,1072.8254,0.4444,0.1587,1.2698,0.146098,5.4603
LCK,1/17/2024 12:49,3,jng,Oner,T1,Bel'Veth,2571,0,2,7,5,1,0.7,0,0,0,1,6,0,1,6,0,1,1,1,217.4096,0.121681,1035.846,0.2334,0.6068,1.6103,0.199969,6.7445
LCK,1/17/2024 12:49,3,jng,Canyon,Gen.G,Maokai,2571,1,3,1,10,13,0.52,0,0,0,6,1,1,0,0,6,0,1,1,416.5928,0.188389,679.4399,0.4434,0.4434,1.7736,0.160804,5.3676
LLA,1/17/2024 23:57,1,jng,Oddie,Movistar R7,Xin Zhao,1556,1,4,1,8,12,0.75,1,0,0,4,0,1,0,6,0,1,1,0,297.8021,0.1134,945.1542,0.4242,0.4242,1.581,0.189955,6.4781
LLA,1/18/2024 0:43,2,jng,Oddie,Movistar R7,Nocturne,1489,1,4,2,3,3.5,0.35,1,0,0,2,1,1,0,6,0,1,1,0,278.1598,0.0983656,1211.9275,0.4433,0.2821,1.3298,0.165897,6.4473
LCK,1/18/2024 8:11,1,jng,Lucid,Dplus KIA,Vi,1752,1,1,1,7,8,0.533333333,0,0,0,4,0,0,1,0,6,1,1,0,255.2055,0.130385,603.3219,0.3767,0.411,1.4384,0.156945,6.4384
LCK,1/18/2024 9:08,2,jng,Lucid,Dplus KIA,Vi,2348,1,1,3,6,2.333333333,0.538461538,0,1,0,3,3,1,0,0,3,1,2,0,178.5945,0.0810648,712.9472,0.4855,0.6388,1.8143,0.161315,6.0562
LCK,1/19/2024 8:09,1,jng,Peanut,Hanwha Life Esports,Rell,1940,1,0,1,7,7,0.875,0,0,0,2,3,1,0,6,0,1,1,0,117.9278,0.0679219,600.3711,0.2784,0.4639,1.701,0.144475,5.8144
LCK,1/19/2024 9:02,2,jng,Peanut,Hanwha Life Esports,Zac,1390,1,0,0,9,9,0.818181818,0,0,0,2,1,1,0,0,6,1,1,0,292.705,0.149263,990.0863,0.2158,0.259,1.1223,0.168997,6.7338
LCK,1/19/2024 10:50,1,jng,Oner,T1,Rell,1556,1,3,1,10,13,0.619047619,0,1,0,2,1,1,0,3,3,1,1,0,215.9383,0.0690983,749.7686,0.3856,0.347,1.8123,0.154308,5.0129
LCK,1/19/2024 11:37,2,jng,Oner,T1,Jarvan IV,1606,1,1,2,11,6,0.705882353,1,0,0,1,2,1,0,1,5,1,1,0,346.2142,0.136575,930.3362,0.3362,0.2615,1.2329,0.15997,5.604
LCK,1/20/2024 8:36,1,jng,Canyon,Gen.G,Sejuani,1567,1,2,0,9,11,0.6875,0,1,0,2,2,0,1,6,0,1,1,0,364.5565,0.1334,776.5539,0.5361,0.1532,1.4167,0.161495,5.552
LCK,1/20/2024 9:22,2,jng,Canyon,Gen.G,Rell,1387,1,2,2,14,8,0.941176471,1,0,0,2,1,1,0,6,0,1,1,0,254.7513,0.102298,632.9632,0.4758,0.1298,1.2978,0.154995,4.845
VCS,1/20/2024 10:07,1,jng,Gury,Vikings Esports,Jarvan IV,2711,0,4,6,10,2.333333333,0.7,0,0,1,3,4,0,1,3,3,0,1,2,397.4696,0.142929,809.325,0.5754,0.6418,1.8812,0.160093,4.8248
LJL,1/20/2024 10:56,1,jng,Forest,Fukuoka SoftBank HAWKS gaming,Rell,2393,0,0,6,11,1.833333333,0.785714286,0,0,1,2,4,1,0,0,6,1,2,1,198.2282,0.0825528,814.8015,0.351,0.351,1.6298,0.138682,4.2374
VCS,1/20/2024 11:12,2,jng,Gury,Vikings Esports,Jarvan IV,1787,0,0,4,9,2.25,0.6,0,0,0,0,4,0,1,3,3,1,1,0,254.6391,0.122615,820.6603,0.5036,0.2015,1.1752,0.157504,5.2378
LJL,1/20/2024 12:00,2,jng,Forest,Fukuoka SoftBank HAWKS gaming,Rell,2233,0,0,4,8,2,0.5,0,0,0,2,3,1,0,3,3,0,1,2,213.4796,0.092639,655.056,0.2687,0.5374,1.451,0.133169,4.8903
LEC,1/20/2024 18:05,1,jng,Yike,G2 Esports,Vi,1883,1,3,3,8,3.666666667,0.733333333,0,0,0,3,1,0,1,0,6,1,2,0,302.9634,0.117816,651.7472,0.3186,0.0956,1.402,0.192916,5.9586
LEC,1/20/2024 18:05,1,jng,Elyoya,MAD Lions KOI,Viego,1883,0,6,2,4,5,0.714285714,1,0,0,1,3,1,0,6,0,0,0,2,586.9039,0.260881,1058.1094,0.2868,0.3824,1.1152,0.22668,5.5762
LEC,1/20/2024 19:01,1,jng,Razork,Fnatic,Xin Zhao,1677,0,2,4,4,1.5,0.75,0,1,0,1,2,0,1,0,6,0,0,1,336.4937,0.198242,974.8479,0.322,0.4293,1.6816,0.232978,7.4419
LCS,1/20/2024 20:15,1,jng,UmTi,Team Liquid,Xin Zhao,2095,0,0,3,4,1.333333333,0.5,0,0,0,3,2,1,0,4,2,1,1,0,290.9212,0.126935,959.2554,0.4869,0.315,1.6325,0.176539,6.0716
LCS,1/20/2024 20:15,1,jng,River,100 Thieves,Vi,2095,1,4,2,10,7,0.875,0,0,0,2,3,0,1,2,4,0,0,1,362.0907,0.17926,1045.1742,0.4582,0.3723,1.432,0.195161,6.2721
CBLOL,1/20/2024 20:46,1,jng,CarioK,paiN Gaming,Xin Zhao,1934,0,2,3,4,2,0.545454545,0,0,0,1,4,0,1,3,3,0,0,1,307.1044,0.147112,977.6215,0.3102,0.3413,1.365,0.177061,5.4602
LCS,1/20/2024 22:30,1,jng,Inspired,FlyQuest,Poppy,1829,1,4,1,5,9,0.692307692,1,0,0,1,3,0,0,6,0,1,1,0,438.7644,0.149924,805.6862,0.328,0.1312,1.181,0.18936,6.2657
LCK,1/21/2024 6:09,1,jng,Peanut,Hanwha Life Esports,Maokai,2181,1,1,2,9,5,0.625,0,1,0,3,2,0,1,5,1,0,2,1,195.4883,0.0863364,980.1926,0.1926,0.2201,0.9904,0.127183,5.1994
LCK,1/21/2024 7:08,2,jng,Peanut,Hanwha Life Esports,Maokai,1869,1,0,0,11,11,0.785714286,0,1,0,3,2,1,0,0,6,1,1,0,267.0305,0.120293,681.7335,0.2889,0.3852,1.4767,0.149007,5.4896
