league,date,game,position,playername,teamname,champion,gamelength,result,kills,deaths,assists,kda,killparticipation,firstbloodkill,firstbloodassist,firstbloodvictim,dpm,damageshare,damagetakenperminute,wpm,wcpm,vspm,earnedgoldshare,cspm
LEC,1/13/2024 16:10,1,mid,Caps,G2 Esports,Neeko,1749,1,2,0,7,9,0.642857143,0,0,0,551.012,0.241985,337.3928,0.2744,0.2401,0.9262,0.23319,9.6398
LEC,1/13/2024 18:15,1,mid,Humanoid,Fnatic,Akali,2370,1,3,3,6,3,0.45,0,1,0,680.3544,0.286226,767.4177,0.7595,0.4557,1.8481,0.214261,8.2785
LEC,1/13/2024 20:28,1,mid,Fresskowy,MAD Lions KOI,LeBlanc,1657,1,5,0,6,11,0.647058824,0,1,0,788.8715,0.380981,481.376,0.4345,0.2897,1.1587,0.236642,10.1388
LEC,1/14/2024 17:39,1,mid,Fresskowy,MAD Lions KOI,Gragas,1849,0,0,3,2,0.666666667,0.285714286,0,0,0,439.8594,0.212681,624.954,0.3245,0.0649,0.8761,0.191293,8.0476
LEC,1/14/2024 18:59,1,mid,Caps,G2 Esports,LeBlanc,1925,1,3,2,3,3,0.4,0,0,0,556.8312,0.236256,741.5377,0.187,0.1558,0.7792,0.24173,10.0052
LEC,1/14/2024 19:55,1,mid,Humanoid,Fnatic,Azir,1781,1,6,0,2,8,0.666666667,0,0,0,877.9001,0.409816,367.3105,0.539,0.2695,1.3812,0.311187,11.1847
LEC,1/15/2024 17:07,1,mid,Caps,G2 Esports,Neeko,2260,0,0,6,3,0.5,0.5,0,0,1,385.1681,0.228836,695.5752,0.2389,0.3186,0.9558,0.216808,8.6814
LEC,1/15/2024 19:11,1,mid,Fresskowy,MAD Lions KOI,Neeko,2042,1,2,2,7,4.5,0.45,0,0,0,414.4466,0.151685,556.6014,0.2938,0.2351,0.8521,0.189483,7.6396
LEC,1/15/2024 20:13,1,mid,Humanoid,Fnatic,Azir,1905,0,0,4,2,0.5,0.4,0,0,0,450.2677,0.277959,646.7717,0.3465,0.189,0.8819,0.251738,10.3622
LLA,1/16/2024 22:04,1,mid,Lava,Movistar R7,Akali,1825,0,3,6,2,0.833333333,0.833333333,0,0,1,394.5863,0.20016,843.9452,0.2959,0.1973,0.9863,0.211171,7.0685
LLA,1/16/2024 22:53,2,mid,Lava,Movistar R7,Azir,1763,0,0,6,3,0.5,0.375,0,0,0,610.9926,0.267472,672.4901,0.2382,0.4424,1.2252,0.189318,8.0318
LCK,1/17/2024 11:06,1,mid,Chovy,Gen.G,Corki,1739,0,2,1,2,4,1,0,0,0,635.4342,0.408676,411.5124,0.552,0.483,1.7596,0.292072,9.2122
LCK,1/17/2024 11:06,1,mid,Faker,T1,Neeko,1739,1,1,3,5,2,1,1,0,0,409.6147,0.242167,456.8833,0.276,0.207,1.1386,0.207314,8.5911
LCK,1/17/2024 11:57,2,mid,Faker,T1,Azir,1890,0,0,5,5,1,0.5,0,0,0,341.4286,0.138264,588.9206,0.4762,0.2222,0.9841,0.189352,8
LCK,1/17/2024 11:57,2,mid,Chovy,Gen.G,Tristana,1890,1,8,2,7,7.5,0.882352941,0,0,0,824.4762,0.342689,671.746,0.5079,0.5714,1.9365,0.312407,10.5714
LCK,1/17/2024 12:49,3,mid,Faker,T1,Azir,2571,0,3,3,5,2.666666667,0.8,0,0,0,656.196,0.367263,412.8821,0.5134,0.3734,1.5636,0.257336,9.1715
