league,date,game,position,playername,teamname,champion,gamelength,result,kills,deaths,assists,kda,killparticipation,firstbloodkill,firstbloodassist,firstbloodvictim,dpm,damageshare,damagetakenperminute,wpm,wcpm,vspm,earnedgoldshare,cspm
LEC,1/13/2024 16:10,1,sup,Mikyx,G2 Esports,Renata Glasc,1749,1,0,4,7,1.75,0.5,0,0,0,255.0257,0.111998,458.0103,2.2298,0.6175,3.5334,0.0949858,1.3722
LEC,1/13/2024 18:15,1,sup,Jun,Fnatic,Milio,2370,1,1,1,16,17,0.85,0,0,0,170.5823,0.0717641,359.9747,1.6962,0.2785,3.1899,0.103987,0.6329
LEC,1/13/2024 20:28,1,sup,Alvaro,MAD Lions KOI,Renata Glasc,1657,1,1,0,15,16,0.941176471,0,1,0,118.0809,0.0570264,91.0682,1.4846,0.3259,2.9692,0.128906,0.869
LEC,1/14/2024 17:39,1,sup,Alvaro,MAD Lions KOI,Milio,1849,0,0,4,7,1.75,1,0,0,1,127.5933,0.0616939,345.5922,1.6225,0.3894,3.2125,0.118351,0.9735
LEC,1/14/2024 18:59,1,sup,Mikyx,G2 Esports,Nautilus,1925,1,1,3,9,3.333333333,0.666666667,0,0,0,217.9325,0.092466,363.4909,2.213,0.5922,4.1143,0.108274,1.1221
LEC,1/14/2024 19:55,1,sup,Jun,Fnatic,Renata Glasc,1781,1,0,2,5,2.5,0.416666667,0,0,0,100.8984,0.0471008,380.9882,1.5834,0.438,3.4363,0.094083,1.2802
LEC,1/15/2024 17:07,1,sup,Mikyx,G2 Esports,Rell,2260,0,2,6,3,0.833333333,0.833333333,0,0,0,203.3894,0.120838,499.885,2.1504,0.3717,3.531,0.101084,0.9292
LEC,1/15/2024 19:11,1,sup,Alvaro,MAD Lions KOI,Renata Glasc,2042,1,2,2,14,8,0.8,0,0,1,146.0333,0.0534472,357.5024,2.0274,0.5583,3.7316,0.124543,1.1166
LEC,1/15/2024 20:13,1,sup,Jun,Fnatic,Blitzcrank,1905,0,1,4,4,1.25,1,0,0,0,142.9291,0.088233,414.1417,1.6693,0.5984,3.5276,0.0974118,1.1969
LLA,1/16/2024 22:04,1,sup,Lyonz,Movistar R7,Lulu,1825,0,0,5,3,0.6,0.5,0,0,0,129.6,0.0657416,370.5205,1.6438,0.2301,2.6301,0.0743667,0.9863
LLA,1/16/2024 22:53,2,sup,Lyonz,Movistar R7,Milio,1763,0,0,6,5,0.833333333,0.625,0,0,1,76.6421,0.0335513,449.1322,1.2252,0.2382,2.4163,0.0880175,0.9189
LCK,1/17/2024 11:06,1,sup,Lehends,Gen.G,Lulu,1739,0,0,1,2,2,0.5,0,0,0,63.2432,0.0406746,321.3916,1.7251,0.276,3.1397,0.0880755,1.1386
LCK,1/17/2024 11:06,1,sup,Keria,T1,Milio,1739,1,0,0,5,5,0.833333333,0,0,0,79.494,0.0469974,268.8787,1.5526,0.345,3.1742,0.121816,3.0707
LCK,1/17/2024 11:57,2,sup,Keria,T1,Senna,1890,0,2,3,7,3,0.9,0,1,0,862.8571,0.34942,443.0476,1.5238,0.6349,3.2381,0.161186,1.2063
LCK,1/17/2024 11:57,2,sup,Lehends,Gen.G,Rakan,1890,1,0,1,12,12,0.705882353,0,0,0,134.9841,0.0561053,415.4921,2,0.5714,4.0635,0.103685,1.0794
LCK,1/17/2024 12:49,3,sup,Keria,T1,Bard,2571,0,0,6,8,1.333333333,0.8,0,0,1,125.5543,0.0702708,549.1482,3.6173,0.5368,4.8541,0.0847886,0.8635
LCK,1/17/2024 12:49,3,sup,Lehends,Gen.G,Rakan,2571,1,2,3,12,4.666666667,0.56,0,1,0,160.4434,0.0725548,384.2007,2.4037,1.3536,4.8308,0.113374,1.8203
