league,date,game,position,playername,teamname,champion,gamelength,result,kills,deaths,assists,kda,killparticipation,firstbloodkill,firstbloodassist,firstbloodvictim,dpm,damageshare,damagetakenperminute,wpm,wcpm,vspm,earnedgoldshare,cspm
LEC,1/13/2024 16:10,1,top,BrokenBlade,G2 Esports,Gwen,1749,1,4,3,2,2,0.428571429,0,0,1,566.6209,0.24884,577.7358,0.4803,0.1372,0.9605,0.236596,8.9194
LEC,1/13/2024 18:15,1,top,Oscarinin,Fnatic,K'Sante,2370,1,7,0,8,15,0.75,0,0,0,403.6456,0.169814,744.6582,0.4304,0.2025,1.2405,0.240149,8.6582
LEC,1/13/2024 20:28,1,top,Myrwn,MAD Lions KOI,Gwen,1657,1,3,1,3,6,0.352941176,0,0,0,517.4774,0.249913,483.44,0.3621,0.1086,0.7966,0.236324,8.8715
LEC,1/14/2024 17:39,1,top,Myrwn,MAD Lions KOI,Poppy,1849,0,2,3,2,1.333333333,0.571428571,0,0,0,519.9135,0.251389,994.4943,0.3894,0.1947,0.9735,0.232597,7.431
LEC,1/14/2024 18:59,1,top,BrokenBlade,G2 Esports,Kennen,1925,1,2,1,3,5,0.333333333,0,0,0,591.8338,0.251108,522.1714,0.561,0.1247,1.1844,0.201892,8.0727
LEC,1/14/2024 19:55,1,top,Oscarinin,Fnatic,K'Sante,1781,1,1,0,4,5,0.416666667,0,0,0,350.0281,0.163398,642.4818,0.4043,0.2021,1.1454,0.224875,9.9045
LEC,1/15/2024 17:07,1,top,BrokenBlade,G2 Esports,Jax,2260,0,0,3,2,0.666666667,0.333333333,0,0,0,379.115,0.22524,859.3805,0.531,0.1593,1.0619,0.208766,8.2566
LEC,1/15/2024 19:11,1,top,Myrwn,MAD Lions KOI,Akali,2042,1,5,6,2,1.166666667,0.35,0,0,0,710.2449,0.259945,735.6611,0.2057,0.2644,0.8815,0.223103,7.1401
LEC,1/15/2024 20:13,1,top,Oscarinin,Fnatic,Renekton,1905,0,0,5,1,0.2,0.2,0,0,1,436.6614,0.26956,1228.4724,0.2835,0.0945,0.5669,0.226789,7.3701
LLA,1/16/2024 22:04,1,top,Summit,Movistar R7,Jax,1825,0,1,3,1,0.666666667,0.333333333,0,0,0,575.5397,0.291952,771.8137,0.526,0.1973,1.1178,0.285615,10.0932
LLA,1/16/2024 22:53,2,top,Summit,Movistar R7,Jax,1763,0,4,3,3,2.333333333,0.875,0,0,0,830.3006,0.363478,1141.9058,0.5445,0.2382,1.3953,0.305639,8.1339
LCK,1/17/2024 11:06,1,top,Kiin,Gen.G,K'Sante,1739,0,1,2,0,0.5,0.25,0,0,1,373.18,0.240009,701.7826,0.3795,0.207,1.2076,0.202535,8.1426
LCK,1/17/2024 11:06,1,top,Zeus,T1,Gwen,1739,1,3,2,3,3,1,0,1,0,571.0523,0.33761,776.7568,0.3795,0.138,1.0351,0.261867,9.6952
LCK,1/17/2024 11:57,2,top,Zeus,T1,Udyr,1890,0,1,2,8,4.5,0.9,1,0,0,414.2857,0.167768,717.3016,0.3175,0.127,1.2063,0.209543,8
LCK,1/17/2024 11:57,2,top,Kiin,Gen.G,K'Sante,1890,1,3,4,4,1.75,0.411764706,0,0,1,497.1111,0.206621,898.254,0.4127,0.3492,1.4286,0.181873,7.7143
LCK,1/17/2024 12:49,3,top,Zeus,T1,Kennen,2571,0,2,5,5,1.4,0.7,0,0,0,456.7561,0.255639,535.2625,0.4434,0.1167,0.9568,0.225826,8.098
LCK,1/17/2024 12:49,3,top,Kiin,Gen.G,Udyr,2571,1,1,3,9,3.333333333,0.4,0,0,0,241.5403,0.109228,691.5519,0.3734,0.3734,1.4236,0.172628,7.6313
LLA,1/17/2024 23:57,1,top,Summit,Movistar R7,Aatrox,1556,1,5,2,4,4.5,0.5625,0,0,0,722.6607,0.275182,1103.4833,0.4242,0.3856,1.3111,0.250382,9.8329
LLA,1/18/2024 0:43,2,top,Summit,Movistar R7,Gnar,1489,1,4,1,12,16,0.8,0,1,0,1067.9919,0.377674,927.4815,0.3224,0.0806,1.0074,0.252093,9.8321
LCK,1/18/2024 8:11,1,top,Kingen,Dplus KIA,Gragas,1752,1,0,0,9,9,0.6,0,0,0,442.7397,0.226196,623.4247,0.411,0.2055,1.0959,0.17673,7.774
LCK,1/18/2024 9:08,2,top,Kingen,Dplus KIA,Poppy,2348,1,2,1,3,5,0.384615385,0,0,0,376.4566,0.170875,585.1789,0.6133,0.3322,1.5843,0.182413,6.9761
LCK,1/19/2024 8:09,1,top,Doran,Hanwha Life Esports,K'Sante,1940,1,2,2,5,3.5,0.875,0,0,0,273.6186,0.157594,727.1134,0.3093,0.1546,0.9897,0.221882,7.5155
LCK,1/19/2024 9:02,2,top,Doran,Hanwha Life Esports,Aatrox,1390,1,1,0,2,3,0.272727273,0,0,0,392.7194,0.200264,617.3094,0.4317,0.0863,0.777,0.177641,8.7626
LCK,1/19/2024 10:50,1,top,Zeus,T1,Yone,1556,1,7,1,0,7,0.333333333,0,0,0,786.7481,0.251752,914.8843,0.3085,0.1928,1.3111,0.215187,10.4499
LCK,1/19/2024 11:37,2,top,Zeus,T1,Ornn,1606,1,1,0,8,9,0.529411765,0,1,0,332.6526,0.131225,743.873,0.3736,0.0374,0.7846,0.179906,8.6301
LCK,1/20/2024 8:36,1,top,Kiin,Gen.G,Darius,1567,1,6,0,6,12,0.75,1,0,0,427.7728,0.156532,492.1378,0.3063,0.1532,0.8424,0.25773,8.8066
LCK,1/20/2024 9:22,2,top,Kiin,Gen.G,Olaf,1387,1,3,1,2,5,0.294117647,0,0,0,575.7751,0.231209,703.7779,0.3461,0.2163,0.9084,0.209145,10.2956
VCS,1/20/2024 10:07,1,top,Kratos,Vikings Esports,K'Sante,2711,0,4,4,8,3,0.6,0,0,0,757.0269,0.272224,1107.8421,0.3541,0.0885,0.8632,0.248952,7.8347
LJL,1/20/2024 10:56,1,top,Evi,Fukuoka SoftBank HAWKS gaming,K'Sante,2393,0,4,1,4,8,0.571428571,0,0,0,409.8705,0.170692,860.7856,0.5265,0.1504,1.1784,0.201105,7.3464
VCS,1/20/2024 11:12,2,top,Kratos,Vikings Esports,Aatrox,1787,0,5,5,2,1.4,0.466666667,0,0,0,415.1315,0.199897,962.8539,0.3358,0.0336,0.6044,0.223545,7.2188
LJL,1/20/2024 12:00,2,top,Evi,Fukuoka SoftBank HAWKS gaming,K'Sante,2233,0,2,5,4,1.2,0.375,0,0,0,446.8159,0.193895,1032.8437,0.5105,0.3224,1.0479,0.200366,7.5235
LEC,1/20/2024 18:05,1,top,BrokenBlade,G2 Esports,K'Sante,1883,1,4,2,5,4.5,0.6,0,0,0,608.5714,0.236661,912.4588,0.4461,0.1912,0.9878,0.209848,8.2847
LEC,1/20/2024 18:05,1,top,Myrwn,MAD Lions KOI,Gwen,1883,0,3,6,0,0.5,0.214285714,0,0,0,701.6782,0.311899,959.7132,0.3186,0,0.6373,0.221632,8.5077
LEC,1/20/2024 19:01,1,top,Oscarinin,Fnatic,Udyr,1677,0,0,4,3,0.75,0.375,0,0,0,294.025,0.173222,487.7281,0.3936,0.0358,0.644,0.175515,7.4776
LCS,1/20/2024 20:15,1,top,Impact,Team Liquid,Udyr,2095,0,2,3,2,1.333333333,0.5,0,0,0,401.8138,0.17532,713.1551,0.4582,0.0859,0.9451,0.185585,6.8449
LCS,1/20/2024 20:15,1,top,Sniper,100 Thieves,Riven,2095,1,2,3,5,2.333333333,0.4375,0,0,0,526.5967,0.260701,655.2458,0.2864,0.1146,0.5442,0.223043,8.6778
CBLOL,1/20/2024 20:46,1,top,Wizer,paiN Gaming,Kayle,1934,0,3,4,3,1.5,0.545454545,0,0,0,539.6277,0.258497,562.7715,0.4343,0.3413,1.5202,0.240073,8.5626
LCS,1/20/2024 22:30,1,top,Bwipo,FlyQuest,Udyr,1829,1,2,3,4,2,0.461538462,0,0,0,486.0689,0.166088,783.5101,0.4265,0.0984,0.8201,0.224978,8.3652
LCK,1/21/2024 6:09,1,top,Doran,Hanwha Life Esports,Aatrox,2181,1,4,1,6,10,0.625,0,0,0,645.7772,0.285204,924.0715,0.3026,0.3026,1.1829,0.234336,8.8308
LCK,1/21/2024 7:08,2,top,Doran,Hanwha Life Esports,K'Sante,1869,1,2,1,6,8,0.571428571,1,0,0,468.6356,0.211112,658.9406,0.4815,0.2247,1.2841,0.227152,9.1493
LCK,1/21/2024 8:48,1,top,Kingen,Dplus KIA,Aatrox,1544,1,0,1,6,6,0.545454545,0,0,0,701.114,0.349211,536.8912,0.4275,0.1166,1.0881,0.227792,10.3756
LCK,1/21/2024 9:35,2,top,Kingen,Dplus KIA,Rumble,2700,0,5,3,12,5.666666667,1,0,1,0,876.3111,0.426185,504.6667,0.6889,0.1556,1.5556,0.282199,8.8222
LCK,1/21/2024 10:46,3,top,Kingen,Dplus KIA,K'Sante,2350,0,0,3,2,0.666666667,0.4,0,0,0,179.9489,0.121129,777.0894,0.5362,0.2298,1.0723,0.209129,7.7617
VCS,1/21/2024 12:20,1,top,Kiaya,GAM Esports,Rumble,2016,1,9,3,8,5.666666667,0.739130435,0,0,0,1069.7024,0.37978,633.8988,0.506,0.2083,1.2798,0.282071,9.2857
VCS,1/21/2024 13:16,2,top,Kiaya,GAM Esports,Rumble,2232,1,6,4,5,2.75,0.647058824,0,0,1,677.7151,0.273355,488.6559,0.5376,0.1344,1.1559,0.198841,7.0161
LJL,1/21/2024 13:22,1,top,Evi,Fukuoka SoftBank HAWKS gaming,Rumble,1613,1,3,2,6,4.5,0.375,1,0,0,610.6758,0.200628,536.3918,0.4836,0.0372,0.9299,0.180086,7.2536
LJL,1/21/2024 14:11,2,top,Evi,Fukuoka SoftBank HAWKS gaming,K'Sante,1584,1,4,1,13,17,0.80952381,1,0,0,523.8636,0.21988,862.5758,0.3788,0.1515,1.3636,0.191648,7.4242
LEC,1/21/2024 16:06,1,top,Myrwn,MAD Lions KOI,Kennen,1974,0,1,3,1,0.666666667,0.4,0,0,0,660.6687,0.324888,466.9301,0.3343,0.2128,1.0942,0.234563,7.9027
LEC,1/21/2024 17:03,1,top,Oscarinin,Fnatic,Gwen,1854,1,0,2,2,1,0.133333333,0,0,0,544.3366,0.265224,866.0194,0.3236,0.0324,0.9061,0.236659,12.2977
LEC,1/21/2024 17:59,1,top,BrokenBlade,G2 Esports,K'Sante,1699,1,4,1,5,9,0.5625,0,0,0,405.2384,0.154116,713.1842,0.4238,0.1766,1.0594,0.218129,7.6633
LCS,1/21/2024 20:12,1,top,Impact,Team Liquid,Udyr,2023,1,1,1,5,6,0.4,0,0,0,480,0.192598,727.2071,0.3856,0.089,0.8304,0.200761,6.9105
CBLOL,1/21/2024 20:19,1,top,Wizer,paiN Gaming,Rumble,1689,1,8,1,13,21,0.875,0,1,0,965.4352,0.32937,448.952,0.675,0.071,1.3144,0.226801,7.9218
LCS,1/21/2024 21:06,1,top,Sniper,100 Thieves,Gwen,1811,0,1,2,2,1.5,0.6,0,0,1,485.3009,0.258401,658.8404,0.3976,0.0994,0.7951,0.243225,9.0779
LCS,1/21/2024 21:58,1,top,Bwipo,FlyQuest,Olaf,1852,1,1,0,5,6,0.5,0,0,0,407.8834,0.189426,691.6847,0.4212,0.1944,1.0691,0.23071,10.5292
LPL,1/22/2024 9:24,1,top,Bin,Bilibili Gaming,K'Sante,1623,1,1,0,6,7,0.411764706,0,0,0,376.9686,0.129578,542.5139,0.2588,0.1848,0.7763,0.187635,9.2791
LPL,1/22/2024 9:24,1,top,369,Top Esports,Udyr,1623,0,1,2,1,1,0.666666667,0,0,0,317.7449,0.208143,660,0.3327,0.037,0.8503,0.282338,9.7227
LPL,1/22/2024 10:14,2,top,369,Top Esports,Udyr,1834,1,2,2,6,4,0.533333333,0,,,495.3762,0.182514,812.1592,0.4253,0.1636,1.2105,0.182869,8.5714
LPL,1/22/2024 10:14,2,top,Bin,Bilibili Gaming,Aatrox,1834,0,0,2,2,1,0.333333333,0,,,587.241,0.251285,1061.3195,0.458,0.1636,1.145,0.254276,10.4362
LPL,1/22/2024 11:06,3,top,Bin,Bilibili Gaming,Kennen,1649,1,3,0,7,10,0.526315789,0,,,775.9248,0.235056,472.6137,0.2911,0.2547,1.0188,0.244711,9.715
LPL,1/22/2024 11:06,3,top,369,Top Esports,Sion,1649,0,1,4,1,0.5,0.333333333,0,,,396.0582,0.206298,1215.3548,0.5458,0.2911,1.419,0.189096,7.8593
LEC,1/22/2024 17:00,1,top,Oscarinin,Fnatic,K'Sante,1688,1,1,1,4,5,0.5,0,0,0,353.1754,0.165782,809.0758,0.3555,0.1422,0.782,0.202016,8.7441
LEC,1/22/2024 17:53,1,top,Myrwn,MAD Lions KOI,K'Sante,1564,1,3,0,11,14,0.7,0,0,0,526.5729,0.206496,829.9488,0.3453,0.1535,0.8056,0.190085,6.6368
LEC,1/22/2024 18:45,1,top,BrokenBlade,G2 Esports,Yone,1913,0,0,4,1,0.25,0.5,0,0,1,552.0125,0.348791,770.0261,0.4077,0.1255,0.9096,0.223734,9.2211
LLA,1/23/2024 22:07,1,top,Summit,Movistar R7,Gnar,1991,1,4,2,4,4,0.8,1,0,0,683.3551,0.436052,834.1537,0.4219,0.1808,1.2657,0.280406,8.5886
LLA,1/23/2024 23:00,2,top,Summit,Movistar R7,Aatrox,1775,1,3,1,2,5,0.454545455,0,1,0,844.7662,0.350205,1248.4056,0.338,0.2704,1.1155,0.249438,9.6
LCK,1/24/2024 8:06,1,top,Doran,Hanwha Life Esports,Udyr,1926,1,1,0,10,11,0.733333333,0,0,0,530.0935,0.205923,748.7539,0.405,0.405,1.4019,0.184249,7.8505
LCK,1/24/2024 9:00,2,top,Doran,Hanwha Life Esports,Rumble,1283,1,3,2,8,5.5,0.55,0,0,0,824.2401,0.281779,508.7607,0.4677,0.0935,0.9821,0.188769,8.8387
LCK,1/25/2024 8:07,1,top,Kingen,Dplus KIA,Aatrox,1558,1,5,1,1,6,0.4,0,0,1,468.5237,0.217052,560.6804,0.4621,0.077,0.9243,0.227261,10.0899
LCK,1/25/2024 8:53,2,top,Kingen,Dplus KIA,Aatrox,1561,1,2,0,7,9,0.529411765,0,0,0,524.0102,0.222962,674.0295,0.5381,0.1922,1.4606,0.219783,11.1851
PCS,1/25/2024 9:13,1,top,Azhi,PSG Talon,Udyr,1862,1,0,2,8,4,0.571428571,0,1,0,405.435,0.22158,618.6574,0.3545,0.1611,1.1278,0.20078,7.3469
LPL,1/25/2024 9:18,1,top,Zdz,Weibo Gaming,Udyr,2246,1,1,4,2,0.75,0.3,0,,1,246.8388,0.114201,844.3811,0.4541,0.3206,1.496,0.173341,5.9305
PCS,1/25/2024 10:08,2,top,Azhi,PSG Talon,Udyr,1558,1,3,1,9,12,0.545454545,0,1,0,418.6136,0.16409,422.2721,0.3081,0.3466,1.3479,0.22612,8.2413
LPL,1/25/2024 10:17,2,top,Zdz,Weibo Gaming,K'Sante,1870,1,1,0,6,7,0.538461538,0,,,316.3316,0.18846,534.3529,0.4813,0.1283,0.9947,0.196788,9.2086
LCK,1/25/2024 10:35,1,top,Kiin,Gen.G,K'Sante,1902,1,5,1,6,11,0.6875,0,0,0,397.8233,0.150743,630.347,0.4416,0.2524,1.3249,0.204251,9.4637
LPL,1/25/2024 11:19,1,top,Zika,LNG Esports,Jax,1876,0,1,1,2,3,1,0,,,478.2729,0.359261,705.7676,0.4797,0.2878,1.3433,0.281735,10.7463
LCK,1/25/2024 11:26,2,top,Kiin,Gen.G,Udyr,1657,1,3,2,7,5,0.416666667,1,0,0,551.0441,0.161833,759.65,0.4345,0.1811,1.2311,0.190007,7.9662
LPL,1/25/2024 12:14,2,top,Zika,LNG Esports,Gnar,2238,1,2,1,3,5,0.714285714,0,,1,480.5898,0.268415,428.0697,0.429,0.3753,1.7694,0.243795,9.866
LPL,1/25/2024 13:15,3,top,Zika,LNG Esports,Jax,2221,0,6,2,4,5,0.454545455,0,,,744.3134,0.280776,1026.9158,0.5133,0.3242,1.4318,0.265358,7.9154
LLA,1/26/2024 0:11,1,top,Summit,Movistar R7,Jayce,1465,1,5,2,4,4.5,0.473684211,0,0,0,887.6724,0.308549,450.1433,0.3686,0.2867,1.0648,0.225147,8.8874
LLA,1/26/2024 0:55,2,top,Summit,Movistar R7,K'Sante,1886,1,6,2,10,8,0.666666667,0,0,0,818.4624,0.239386,1031.4846,0.4772,0.2545,1.4316,0.221174,8.4305
LCK,1/26/2024 8:07,1,top,Zeus,T1,Rumble,2130,0,6,4,1,1.75,0.538461538,1,0,0,501.7465,0.322267,481.5775,0.5634,0.1408,1.2676,0.253324,7.4085
