rank,player,teamname,score,percentile,games_played,champion_pool,champion
1,Peyz,Gen.G,1674.85,100.0,121,16,"['Aphelios', 'Varus', 'Varus', 'Aphelios', 'Lucian', 'Aphelios', 'Aphelios', 'Varus', 'Aphelios', 'Lucian', 'Aphelios', 'Aphelios', 'Kalista', 'Kalista', 'Lucian', 'Lucian', 'Senna', 'Aphelios', 'Senna', 'Zeri', 'Smolder', 'Zeri', 'Varus', 'Varus', 'Kalista', 'Zeri', 'Lucian', 'Kalista', 'Aphelios', 'Kalista', 'Senna', 'Senna', 'Lucian', 'Varus', 'Lucian', 'Zeri', 'Lucian', 'Kalista', 'Varus', 'Senna', 'Draven', 'Varus', 'Zeri', 'Aphelios', 'Aphelios', 'Lucian', 'Zeri', ""Kai'Sa"", 'Kalista', 'Varus', 'Aphelios', 'Lucian', 'Zeri', 'Kalista', 'Draven', 'Lucian', 'Kalista', 'Aphelios', 'Kalista', 'Kalista', 'Kalista', 'Senna', 'Senna', 'Kalista', 'Lucian', 'Senna', 'Kalista', 'Kalista', 'Senna', 'Zeri', 'Senna', 'Ezreal', 'Ezreal', 'Zeri', 'Zeri', 'Senna', 'Senna', 'Ezreal', 'Ezreal', 'Senna', 'Zeri', 'Aphelios', 'Ezreal', 'Zeri', ""Kai'Sa"", 'Ziggs', 'Senna', 'Ezreal', 'Ashe', 'Ashe', 'Ashe', 'Senna', 'Ezreal', 'Ashe', 'Ezreal', 'Jhin', 'Zeri', 'Lucian', 'Senna', 'Zeri', 'Ziggs', 'Seraphine', 'Xayah', 'Ezreal', 'Lucian', 'Ziggs', 'Ashe', 'Miss Fortune', 'Ziggs', 'Ziggs', 'Ziggs', 'Ziggs', 'Ezreal', 'Kalista', 'Ashe', 'Jhin', 'Ezreal', 'Ashe', 'Ziggs', 'Miss Fortune', ""Kai'Sa""]"
2,Viper,Hanwha Life Esports,1629.87,95.2,112,16,"['Lucian', 'Kalista', 'Zeri', ""Kai'Sa"", 'Lucian', 'Lucian', 'Xayah', 'Aphelios', 'Lucian', 'Kalista', 'Aphelios', 'Aphelios', 'Kalista', 'Senna', 'Senna', 'Lucian', 'Lucian', 'Varus', 'Jhin', 'Smolder', ""Kai'Sa"", 'Varus', 'Xayah', 'Varus', 'Varus', 'Varus', 'Zeri', 'Xayah', 'Smolder', 'Zeri', 'Kalista', 'Varus', 'Varus', 'Varus', 'Varus', 'Smolder', 'Zeri', 'Senna', 'Zeri', 'Lucian', 'Zeri', 'Zeri', 'Zeri', 'Kalista', 'Senna', 'Zeri', 'Varus', 'Zeri', 'Zeri', 'Jinx', 'Zeri', 'Varus', 'Varus', 'Jinx', 'Zeri', 'Kalista', 'Ashe', 'Varus', 'Zeri', 'Vayne', 'Ashe', ""Kai'Sa"", 'Zeri', 'Zeri', 'Ashe', ""Kai'Sa"", 'Zeri', 'Ezreal', 'Ezreal', 'Ezreal', 'Ezreal', 'Ezreal', ""Kai'Sa"", ""Kai'Sa"", 'Ezreal', 'Ezreal', 'Zeri', 'Miss Fortune', 'Jhin', 'Miss Fortune', 'Ezreal', 'Zeri', 'Zeri', 'Zeri', 'Ziggs', 'Miss Fortune', 'Zeri', 'Jhin', 'Jhin', 'Xayah', 'Ashe', 'Ashe', 'Jhin', 'Smolder', 'Zeri', 'Ashe', 'Ziggs', 'Ziggs', ""Kai'Sa"", 'Miss Fortune', 'Miss Fortune', 'Senna', 'Ziggs', 'Jhin', 'Smolder', 'Jhin', 'Jhin', 'Ashe', 'Jhin', 'Jhin', 'Ezreal', 'Ziggs']"
3,Elk,Bilibili Gaming,1480.94,90.5,119,17,"['Varus', 'Xayah', 'Varus', 'Lucian', 'Senna', 'Lucian', 'Lucian', 'Senna', 'Senna', 'Lucian', 'Xayah', 'Varus', 'Lucian', 'Caitlyn', 'Caitlyn', 'Tristana', 'Kalista', 'Kalista', 'Smolder', 'Varus', 'Smolder', 'Smolder', 'Twisted Fate', 'Zeri', 'Twisted Fate', 'Smolder', 'Lucian', ""Kai'Sa"", 'Varus', 'Zeri', 'Lucian', 'Smolder', ""Kai'Sa"", 'Lucian', 'Zeri', 'Kalista', 'Zeri', 'Lucian', 'Zeri', 'Kalista', 'Caitlyn', 'Kalista', 'Jinx', 'Kalista', 'Lucian', 'Senna', 'Varus', 'Varus', 'Kalista', 'Kalista', 'Lucian', 'Xayah', 'Varus', 'Kalista', 'Kalista', 'Lucian', 'Senna', 'Kalista', 'Kalista', 'Senna', 'Kalista', 'Kalista', 'Varus', 'Senna', 'Varus', 'Senna', 'Lucian', 'Varus', 'Senna', 'Zeri', 'Ashe', 'Ziggs', 'Varus', 'Senna', 'Kalista', 'Jhin', 'Senna', 'Ezreal', ""Kai'Sa"", 'Ezreal', ""Kai'Sa"", 'Senna', 'Kalista', ""Kai'Sa"", 'Ezreal', 'Ziggs', 'Ashe', 'Ashe', 'Ezreal', 'Ezreal', ""Kai'Sa"", 'Miss Fortune', ""Kai'Sa"", 'Ezreal', 'Ezreal', 'Senna', 'Miss Fortune', 'Ezreal', 'Jhin', 'Zeri', 'Kalista', 'Ezreal', 'Senna', ""Kai'Sa"", 'Zeri', 'Ziggs', 'Miss Fortune', 'Ezreal', ""Kai'Sa"", 'Ziggs', 'Ziggs', 'Jhin', 'Ashe', 'Kalista', 'Miss Fortune', 'Ashe', ""Kai'Sa"", 'Ashe', 'Jhin']"
4,Gumayusi,T1,1217.74,85.7,147,22,"['Lucian', 'Nilah', 'Jhin', 'Lucian', 'Lucian', 'Draven', 'Jinx', 'Lucian', 'Kalista', 'Varus', 'Lucian', 'Senna', 'Caitlyn', 'Senna', 'Kalista', 'Varus', 'Varus', 'Varus', 'Senna', 'Twisted Fate', 'Senna', 'Senna', 'Smolder', 'Senna', 'Kalista', 'Senna', 'Lucian', 'Varus', 'Senna', 'Lucian', 'Lucian', 'Lucian', 'Caitlyn', 'Kalista', 'Kalista', 'Zeri', 'Senna', 'Varus', 'Lucian', 'Aphelios', 'Jinx', 'Senna', 'Kalista', 'Kalista', 'Senna', 'Ashe', 'Zeri', 'Senna', 'Senna', 'Varus', 'Draven', 'Kalista', 'Lucian', 'Aphelios', 'Lucian', 'Kalista', 'Kalista', 'Senna', 'Kalista', 'Varus', 'Varus', 'Kalista', 'Varus', 'Varus', 'Senna', 'Senna', 'Senna', 'Kalista', 'Senna', 'Varus', 'Varus', 'Senna', 'Kalista', 'Varus', 'Kalista', 'Senna', 'Draven', 'Kalista', 'Senna', 'Varus', 'Senna', 'Senna', 'Varus', 'Jhin', 'Ashe', 'Draven', 'Ezreal', 'Kalista', 'Zeri', 'Senna', 'Zeri', 'Zeri', 'Zeri', 'Zeri', ""Kai'Sa"", 'Senna', 'Jhin', 'Ezreal', 'Caitlyn', 'Sivir', 'Kalista', 'Xayah', 'Caitlyn', 'Kalista', 'Xayah', 'Zeri', 'Caitlyn', ""Kai'Sa"", 'Ezreal', 'Ezreal', 'Ezreal', ""Kai'Sa"", 'Jhin', 'Miss Fortune', 'Senna', 'Caitlyn', 'Senna', 'Draven', 'Jhin', 'Kalista', 'Jhin', 'Kalista', 'Xayah', 'Yasuo', 'Xayah', 'Miss Fortune', 'Miss Fortune', 'Miss Fortune', 'Varus', 'Caitlyn', 'Ashe', 'Ashe', 'Nilah', 'Senna', 'Varus', 'Caitlyn', 'Ashe', 'Seraphine', 'Ziggs', 'Nilah', 'Ziggs', 'Ziggs', 'Jhin', 'Ziggs', 'Ziggs', 'Ziggs', 'Ziggs']"
5,Aiming,Dplus KIA,1166.06,81.0,111,20,"['Xayah', 'Xayah', 'Xayah', 'Lucian', 'Zeri', 'Lucian', 'Lucian', 'Xayah', 'Lucian', 'Varus', 'Lucian', ""Kog'Maw"", 'Senna', 'Varus', 'Varus', 'Xayah', 'Lucian', 'Caitlyn', 'Senna', 'Varus', ""Kai'Sa"", 'Lucian', 'Senna', 'Kalista', 'Lucian', 'Lucian', 'Smolder', 'Zeri', 'Lucian', 'Kalista', 'Xayah', 'Senna', 'Caitlyn', 'Smolder', 'Lucian', 'Kalista', 'Jinx', 'Xayah', 'Kalista', 'Kalista', 'Aphelios', 'Jinx', 'Zeri', 'Lucian', 'Lucian', 'Senna', 'Varus', 'Kalista', 'Lucian', 'Zeri', 'Lucian', 'Zeri', 'Varus', 'Zeri', 'Kalista', 'Xayah', 'Corki', 'Zeri', 'Corki', 'Corki', 'Zeri', 'Zeri', 'Lucian', 'Zeri', 'Zeri', 'Zeri', 'Kalista', 'Zeri', 'Zeri', 'Kalista', 'Kalista', 'Aphelios', 'Zeri', 'Zeri', ""Kai'Sa"", 'Ezreal', 'Ezreal', 'Ezreal', 'Kalista', 'Ezreal', 'Ashe', 'Aphelios', ""Kai'Sa"", ""Kai'Sa"", 'Miss Fortune', 'Zeri', 'Ashe', 'Ezreal', 'Ashe', ""Kai'Sa"", ""Kai'Sa"", 'Ezreal', 'Miss Fortune', ""Kai'Sa"", 'Ezreal', 'Ezreal', 'Zeri', 'Samira', 'Miss Fortune', 'Miss Fortune', 'Smolder', 'Smolder', 'Smolder', 'Miss Fortune', 'Miss Fortune', 'Miss Fortune', 'Seraphine', 'Ziggs', 'Ezreal', 'Jhin', 'Miss Fortune']"
6,JackeyLove,Top Esports,1138.95,76.2,121,16,"['Kalista', 'Kalista', 'Kalista', 'Senna', 'Lucian', 'Lucian', 'Senna', 'Ezreal', 'Sivir', 'Varus', 'Kalista', 'Kalista', 'Lucian', 'Senna', 'Ezreal', 'Kalista', 'Lucian', 'Lucian', 'Varus', 'Varus', 'Smolder', 'Senna', 'Varus', 'Twisted Fate', 'Varus', 'Kalista', 'Smolder', 'Zeri', 'Smolder', 'Varus', 'Draven', 'Lucian', 'Kalista', 'Kalista', 'Lucian', 'Senna', 'Senna', 'Varus', 'Varus', 'Varus', 'Draven', 'Lucian', 'Lucian', 'Draven', 'Varus', 'Lucian', 'Kalista', 'Varus', 'Senna', 'Senna', 'Jinx', 'Draven', 'Kalista', 'Senna', 'Kalista', 'Lucian', 'Varus', 'Varus', 'Lucian', 'Senna', 'Lucian', 'Draven', 'Lucian', 'Varus', 'Draven', 'Lucian', 'Varus', 'Draven', 'Kalista', 'Senna', 'Ziggs', 'Senna', 'Varus', 'Jhin', 'Senna', 'Jhin', 'Senna', 'Ashe', 'Ezreal', ""Kai'Sa"", 'Ezreal', 'Varus', 'Ezreal', 'Ashe', 'Ezreal', ""Kai'Sa"", 'Ezreal', 'Ezreal', 'Senna', 'Senna', 'Senna', 'Ezreal', 'Miss Fortune', 'Miss Fortune', 'Ezreal', 'Ezreal', 'Ezreal', 'Ezreal', 'Ezreal', 'Miss Fortune', 'Ashe', 'Miss Fortune', 'Miss Fortune', 'Miss Fortune', 'Ezreal', 'Miss Fortune', 'Ezreal', 'Ezreal', 'Ezreal', 'Ashe', 'Ezreal', 'Ezreal', 'Miss Fortune', 'Miss Fortune', 'Ezreal', 'Miss Fortune', 'Ezreal', 'Miss Fortune', 'Ezreal', 'Ashe', 'Miss Fortune']"
7,Hans Sama,G2 Esports,1101.95,71.4,107,20,"['Aphelios', 'Aphelios', 'Aphelios', 'Varus', 'Varus', 'Seraphine', 'Kalista', 'Varus', 'Aphelios', 'Senna', 'Senna', 'Lucian', 'Aphelios', 'Kalista', 'Kalista', 'Kalista', 'Kalista', 'Senna', 'Varus', 'Varus', 'Senna', 'Smolder', ""Kog'Maw"", 'Smolder', 'Draven', 'Smolder', 'Draven', 'Draven', 'Smolder', 'Kalista', 'Lucian', 'Jinx', 'Lucian', 'Jinx', 'Jinx', 'Jinx', 'Jinx', 'Aphelios', 'Tristana', 'Jinx', 'Kalista', 'Jinx', 'Kalista', 'Kalista', 'Varus', ""Kog'Maw"", 'Jinx', 'Kalista', 'Kalista', 'Varus', 'Kalista', ""Kog'Maw"", 'Draven', 'Draven', 'Draven', 'Varus', 'Varus', 'Varus', 'Varus', 'Lucian', 'Ashe', ""Kai'Sa"", 'Ashe', 'Ashe', 'Caitlyn', 'Caitlyn', 'Varus', 'Ashe', 'Sivir', 'Varus', 'Varus', 'Xayah', 'Caitlyn', 'Ashe', 'Miss Fortune', ""Kai'Sa"", 'Jhin', 'Miss Fortune', 'Caitlyn', 'Varus', 'Miss Fortune', 'Miss Fortune', 'Miss Fortune', 'Ezreal', 'Jhin', ""Kai'Sa"", 'Kalista', ""Kai'Sa"", 'Draven', ""Kai'Sa"", 'Draven', 'Ashe', 'Ashe', 'Zeri', 'Ashe', 'Miss Fortune', 'Ashe', 'Ashe', 'Ashe', 'Ashe', 'Ashe', 'Ashe', 'Jhin', 'Kalista', 'Zeri', 'Kalista', 'Jhin']"
8,GALA,LNG Esports,1055.39,66.7,90,17,"['Aphelios', 'Lucian', 'Varus', 'Xayah', 'Xayah', 'Varus', 'Varus', 'Senna', 'Xayah', 'Lucian', 'Draven', 'Caitlyn', 'Varus', 'Senna', 'Varus', 'Lucian', 'Senna', 'Caitlyn', 'Lucian', 'Kalista', 'Senna', 'Kalista', 'Varus', 'Varus', 'Lucian', 'Senna', 'Smolder', ""Kai'Sa"", ""Kai'Sa"", 'Senna', 'Kalista', 'Smolder', 'Varus', ""Kai'Sa"", 'Lucian', 'Senna', 'Varus', 'Varus', 'Jinx', 'Varus', 'Jinx', 'Varus', 'Lucian', 'Lucian', 'Senna', 'Senna', 'Senna', 'Jhin', 'Ziggs', 'Kalista', 'Ziggs', 'Senna', 'Varus', 'Senna', 'Ziggs', 'Ziggs', 'Zeri', 'Xayah', 'Kalista', 'Senna', 'Ziggs', 'Ezreal', 'Senna', 'Ezreal', 'Ezreal', 'Ezreal', 'Miss Fortune', 'Ziggs', 'Jhin', 'Miss Fortune', ""Kai'Sa"", ""Kai'Sa"", 'Ezreal', 'Jhin', 'Zeri', 'Ziggs', 'Ezreal', 'Ezreal', 'Ashe', 'Ziggs', 'Xayah', 'Ezreal', 'Jhin', 'Xayah', 'Ashe', 'Ezreal', 'Miss Fortune', 'Ezreal', 'Ezreal', 'Ezreal']"
9,Noah,Fnatic,1002.87,61.9,101,16,"['Aphelios', 'Varus', 'Kalista', 'Varus', 'Kalista', 'Kalista', 'Aphelios', 'Lucian', 'Kalista', 'Varus', 'Varus', 'Senna', 'Varus', 'Varus', 'Senna', 'Ezreal', 'Ezreal', 'Jinx', 'Lucian', 'Ezreal', 'Varus', 'Ezreal', 'Zeri', ""Kai'Sa"", 'Zeri', 'Zeri', ""Kai'Sa"", 'Varus', 'Jinx', 'Zeri', ""Kai'Sa"", 'Lucian', 'Jinx', 'Ashe', 'Zeri', 'Jinx', 'Zeri', 'Jinx', 'Kalista', 'Xayah', 'Varus', 'Varus', 'Zeri', 'Zeri', 'Varus', 'Kalista', 'Ezreal', 'Varus', 'Kalista', 'Varus', 'Varus', 'Xayah', 'Xayah', 'Aphelios', 'Kalista', 'Xayah', 'Kalista', 'Lucian', 'Varus', 'Lucian', 'Varus', 'Kalista', 'Lucian', 'Kalista', 'Varus', 'Zeri', 'Corki', 'Aphelios', 'Corki', 'Varus', 'Zeri', 'Ezreal', 'Ezreal', 'Zeri', ""Kai'Sa"", 'Corki', 'Xayah', ""Kai'Sa"", ""Kai'Sa"", ""Kai'Sa"", ""Kai'Sa"", 'Jhin', 'Ezreal', 'Caitlyn', ""Kai'Sa"", 'Jhin', 'Jhin', 'Ezreal', 'Ezreal', 'Ezreal', 'Miss Fortune', ""Kai'Sa"", 'Jhin', 'Ezreal', 'Miss Fortune', 'Zeri', 'Zeri', 'Ezreal', 'Ezreal', 'Varus', 'Ziggs']"
10,Massu,FlyQuest,994.71,57.1,74,17,"['Senna', 'Jhin', 'Ezreal', 'Varus', 'Varus', 'Varus', 'Aphelios', 'Smolder', 'Kalista', 'Varus', 'Ezreal', 'Sivir', 'Kalista', 'Senna', 'Kalista', 'Senna', 'Kalista', 'Varus', 'Varus', 'Senna', 'Varus', ""Kai'Sa"", ""Kai'Sa"", 'Kalista', 'Senna', 'Kalista', 'Jinx', 'Lucian', 'Varus', 'Varus', 'Varus', 'Varus', 'Varus', 'Senna', 'Senna', 'Varus', 'Ziggs', 'Varus', 'Ezreal', 'Kalista', 'Ezreal', 'Ezreal', 'Senna', 'Ziggs', 'Ezreal', 'Ashe', 'Kalista', 'Kalista', 'Kalista', 'Lucian', 'Varus', 'Ashe', 'Ashe', 'Nilah', 'Ezreal', 'Miss Fortune', 'Ashe', 'Jhin', 'Ashe', ""Kai'Sa"", 'Jhin', 'Ashe', 'Ezreal', 'Ezreal', 'Ezreal', 'Ashe', 'Ashe', 'Ashe', ""Kai'Sa"", 'Ziggs', 'Ashe', 'Jhin', 'Seraphine', 'Zeri']"
