rank,player,teamname,score,percentile,games_played,champion_pool,champion
1,Guwon,T1,1938.68,100.0,2,2,"['Viego', 'Vi']"
2,Wei,Bilibili Gaming,618.02,96.3,23,7,"['Maokai', 'Brand', 'Zyra', 'Sejuani', 'Zyra', 'Karthus', 'Zyra', 'Sejuani', 'Sejuani', 'Sejuani', 'Lillia', 'Lillia', 'Lillia', 'Maokai', 'Maokai', 'Maokai', 'Diana', 'Sejuani', 'Sejuani', 'Brand', 'Lillia', 'Zyra', 'Maokai']"
3,Canyon,Gen.G,382.14,92.6,121,20,"['Rell', 'Maokai', 'Maokai', 'Sejuani', 'Rell', 'Brand', 'Maokai', 'Sejuani', 'Maokai', 'Sejuani', 'Rell', 'Sejuani', 'Rell', 'Rell', 'Xin Zhao', 'Jarvan IV', 'Lee Sin', 'Rell', 'Vi', 'Lee Sin', 'Lee Sin', 'Lee Sin', 'Fiddlesticks', 'Vi', 'Jax', 'Lee Sin', 'Sejuani', 'Lee Sin', 'Rell', 'Rell', 'Lee Sin', 'Lee Sin', 'Maokai', 'Sejuani', 'Sejuani', 'Jax', 'Rell', 'Jax', 'Rell', 'Vi', 'Jax', 'Sejuani', 'Maokai', 'Rell', 'Sejuani', 'Sejuani', 'Jax', 'Lee Sin', 'Viego', 'Rell', 'Sejuani', ""Kha'Zix"", 'Poppy', 'Sejuani', ""Kha'Zix"", 'Sejuani', 'Vi', 'Lee Sin', 'Jarvan IV', 'Vi', 'Nidalee', 'Viego', 'Nidalee', 'Nidalee', 'Maokai', 'Karthus', 'Sejuani', 'Lee Sin', 'Lee Sin', 'Sejuani', 'Karthus', 'Nidalee', 'Nidalee', 'Zyra', 'Zyra', 'Zyra', 'Karthus', 'Zyra', 'Taliyah', 'Nidalee', 'Karthus', 'Karthus', 'Lee Sin', 'Sejuani', 'Sejuani', 'Ivern', 'Nidalee', 'Maokai', 'Brand', 'Nidalee', 'Nidalee', 'Nidalee', 'Maokai', 'Maokai', 'Zyra', 'Sejuani', 'Maokai', 'Maokai', 'Nidalee', 'Nidalee', 'Lillia', 'Maokai', 'Lillia', 'Lillia', 'Sejuani', 'Nidalee', 'Skarner', 'Nidalee', 'Lillia', 'Maokai', 'Maokai', 'Skarner', 'Maokai', 'Nidalee', 'Skarner', 'Maokai', 'Skarner', 'Zyra', 'Skarner', 'Zyra', 'Skarner']"
4,Tian,Top Esports,238.27,88.9,121,20,"['Xin Zhao', 'Jarvan IV', 'Lee Sin', 'Xin Zhao', 'Maokai', 'Rell', 'Poppy', 'Poppy', 'Rell', 'Rell', 'Xin Zhao', 'Lee Sin', 'Lee Sin', 'Rell', 'Lee Sin', 'Vi', 'Xin Zhao', 'Rell', 'Lee Sin', 'Viego', 'Xin Zhao', 'Jax', 'Lee Sin', 'Viego', 'Lee Sin', 'Lee Sin', 'Xin Zhao', 'Xin Zhao', 'Lee Sin', 'Viego', 'Xin Zhao', 'Jax', 'Nocturne', 'Sejuani', 'Xin Zhao', 'Lee Sin', 'Xin Zhao', 'Viego', 'Vi', 'Vi', 'Lee Sin', 'Maokai', 'Lee Sin', 'Maokai', 'Poppy', 'Sejuani', 'Xin Zhao', 'Sejuani', 'Xin Zhao', 'Viego', 'Vi', 'Rell', 'Vi', 'Viego', 'Xin Zhao', 'Viego', 'Xin Zhao', 'Maokai', 'Sejuani', 'Xin Zhao', 'Xin Zhao', 'Viego', 'Sejuani', 'Maokai', 'Sejuani', 'Sejuani', 'Xin Zhao', 'Jarvan IV', ""Rek'Sai"", 'Xin Zhao', 'Taliyah', 'Brand', 'Lee Sin', 'Nidalee', 'Maokai', 'Lillia', 'Karthus', 'Brand', 'Zyra', 'Maokai', 'Nidalee', ""Rek'Sai"", 'Ivern', 'Sejuani', 'Zyra', 'Maokai', 'Maokai', 'Ivern', 'Sejuani', 'Lee Sin', 'Sejuani', 'Xin Zhao', 'Brand', 'Zyra', 'Sejuani', 'Brand', 'Lillia', 'Nidalee', 'Ivern', 'Lillia', 'Lillia', 'Brand', 'Lillia', 'Ivern', 'Ivern', 'Maokai', 'Maokai', 'Ivern', 'Zyra', 'Ivern', 'Diana', 'Lillia', 'Zyra', 'Maokai', 'Zyra', 'Zyra', 'Brand', 'Zyra', 'Lillia', 'Zyra', 'Lillia']"
5,Xun,Bilibili Gaming,235.85,85.2,96,17,"['Brand', 'Vi', 'Wukong', 'Kindred', 'Lee Sin', 'Lee Sin', 'Jarvan IV', 'Rell', 'Kindred', 'Lee Sin', 'Jax', 'Lee Sin', 'Kindred', 'Vi', 'Vi', 'Xin Zhao', 'Jax', 'Vi', 'Vi', 'Lee Sin', 'Viego', 'Kindred', 'Xin Zhao', 'Xin Zhao', 'Kindred', 'Jax', 'Jax', 'Kindred', 'Lee Sin', 'Xin Zhao', 'Xin Zhao', 'Vi', 'Xin Zhao', 'Sejuani', 'Wukong', 'Vi', 'Maokai', 'Xin Zhao', 'Vi', 'Vi', 'Xin Zhao', 'Wukong', 'Kindred', 'Jax', 'Maokai', 'Wukong', 'Vi', 'Kindred', 'Jarvan IV', 'Jarvan IV', 'Wukong', 'Vi', 'Kindred', 'Sejuani', 'Wukong', 'Maokai', 'Nidalee', 'Sejuani', 'Sejuani', 'Diana', 'Vi', 'Xin Zhao', 'Wukong', 'Xin Zhao', 'Vi', 'Xin Zhao', 'Xin Zhao', 'Xin Zhao', 'Nidalee', 'Nidalee', 'Nidalee', 'Brand', 'Karthus', 'Kindred', 'Brand', 'Karthus', 'Kindred', 'Brand', ""Kha'Zix"", 'Zyra', 'Nidalee', 'Nidalee', 'Zyra', 'Brand', 'Zyra', 'Brand', 'Nidalee', 'Nidalee', 'Maokai', 'Kindred', 'Sejuani', 'Kindred', 'Sejuani', 'Maokai', 'Vi', 'Brand']"
6,JunJia,PSG Talon,154.06,81.5,84,19,"['Nocturne', 'Nocturne', 'Maokai', 'Nocturne', 'Nocturne', 'Maokai', 'Rell', 'Maokai', 'Vi', 'Viego', 'Nocturne', 'Poppy', 'Maokai', 'Maokai', 'Vi', 'Vi', 'Sejuani', 'Sejuani', 'Wukong', 'Graves', 'Vi', 'Vi', 'Xin Zhao', 'Volibear', 'Xin Zhao', 'Wukong', 'Wukong', 'Taliyah', 'Vi', 'Vi', 'Viego', 'Maokai', 'Wukong', 'Xin Zhao', 'Xin Zhao', 'Xin Zhao', 'Vi', 'Jarvan IV', 'Sejuani', 'Xin Zhao', 'Wukong', 'Wukong', 'Viego', 'Xin Zhao', 'Maokai', 'Maokai', 'Vi', 'Sejuani', 'Viego', 'Vi', 'Vi', 'Xin Zhao', 'Nidalee', 'Lillia', 'Skarner', 'Skarner', 'Karthus', 'Zyra', 'Karthus', 'Skarner', 'Zyra', 'Zyra', 'Sejuani', 'Zyra', 'Skarner', 'Kindred', 'Skarner', 'Zyra', 'Lillia', 'Lillia', 'Lillia', 'Lillia', 'Sejuani', 'Zyra', 'Sejuani', 'Sejuani', 'Sejuani', 'Zyra', 'Lillia', 'Zyra', 'Skarner', 'Skarner', 'Maokai', 'Sejuani']"
7,Tomrio,Vikings Esports,149.56,77.8,10,5,"['Lee Sin', 'Xin Zhao', 'Lee Sin', 'Xin Zhao', 'Maokai', 'Maokai', 'Xin Zhao', ""Kha'Zix"", 'Wukong', 'Xin Zhao']"
8,Oddie,Movistar R7,148.3,74.1,68,18,"['Nocturne', 'Rell', 'Xin Zhao', 'Nocturne', 'Poppy', 'Maokai', 'Maokai', 'Xin Zhao', 'Maokai', 'Vi', 'Maokai', 'Nocturne', 'Maokai', 'Xin Zhao', 'Ivern', 'Viego', 'Sejuani', 'Sejuani', 'Xin Zhao', 'Brand', 'Sejuani', 'Viego', 'Poppy', 'Maokai', 'Sejuani', 'Sejuani', 'Vi', 'Viego', 'Maokai', 'Sejuani', 'Sejuani', 'Maokai', 'Sejuani', 'Volibear', 'Rell', 'Trundle', 'Poppy', 'Taliyah', 'Xin Zhao', ""Rek'Sai"", 'Brand', 'Lillia', 'Brand', 'Maokai', 'Vi', 'Zyra', 'Sejuani', 'Karthus', 'Karthus', 'Brand', 'Brand', 'Maokai', 'Volibear', 'Sejuani', 'Zyra', 'Brand', 'Vi', 'Zyra', 'Brand', 'Brand', 'Brand', 'Brand', 'Zyra', 'Maokai', 'Nidalee', 'Brand', 'Brand', 'Poppy']"
9,Forest,Fukuoka SoftBank HAWKS gaming,96.41,70.4,89,15,"['Rell', 'Rell', 'Vi', 'Sejuani', 'Maokai', 'Rell', 'Vi', 'Rell', 'Sejuani', 'Rell', 'Sejuani', 'Lee Sin', 'Jarvan IV', 'Maokai', 'Lee Sin', 'Jarvan IV', 'Rell', 'Lee Sin', 'Lee Sin', 'Lee Sin', 'Viego', 'Lee Sin', 'Vi', 'Viego', 'Lee Sin', 'Poppy', 'Graves', 'Sejuani', 'Taliyah', 'Sejuani', 'Poppy', 'Lee Sin', 'Jarvan IV', 'Lee Sin', 'Wukong', 'Lee Sin', 'Lee Sin', 'Sejuani', 'Viego', 'Vi', 'Sejuani', 'Sejuani', 'Lee Sin', 'Lee Sin', 'Lee Sin', 'Vi', 'Lee Sin', 'Taliyah', 'Brand', 'Taliyah', 'Taliyah', 'Brand', 'Maokai', 'Viego', 'Brand', 'Zyra', 'Zyra', 'Taliyah', 'Zyra', 'Maokai', 'Vi', 'Zyra', 'Taliyah', 'Zyra', 'Zyra', 'Zyra', 'Lee Sin', 'Sejuani', 'Sejuani', 'Brand', 'Brand', 'Maokai', 'Lillia', 'Lillia', 'Vi', 'Maokai', 'Vi', 'Maokai', 'Taliyah', 'Zyra', 'Taliyah', 'Zyra', 'Vi', 'Zyra', 'Vi', 'Sejuani', 'Sejuani', 'Skarner', 'Skarner']"
10,Peanut,Hanwha Life Esports,88.65,66.7,112,19,"['Rell', 'Zac', 'Maokai', 'Maokai', 'Poppy', 'Maokai', 'Poppy', 'Vi', 'Vi', 'Maokai', 'Sejuani', 'Rell', 'Sejuani', 'Sejuani', 'Sejuani', 'Nautilus', 'Sejuani', 'Sejuani', 'Maokai', 'Maokai', 'Vi', 'Poppy', 'Vi', 'Poppy', 'Poppy', 'Poppy', 'Zac', 'Sejuani', 'Vi', 'Maokai', 'Lee Sin', 'Rell', 'Lee Sin', 'Poppy', 'Lee Sin', 'Maokai', 'Poppy', 'Xin Zhao', 'Poppy', 'Maokai', 'Nocturne', 'Maokai', 'Maokai', 'Vi', 'Xin Zhao', 'Sejuani', 'Xin Zhao', 'Wukong', 'Xin Zhao', 'Vi', 'Vi', 'Sejuani', 'Vi', 'Sejuani', 'Nocturne', 'Nidalee', ""Kha'Zix"", ""Kha'Zix"", 'Vi', 'Vi', 'Viego', 'Sejuani', 'Sejuani', 'Sejuani', 'Fiddlesticks', 'Nidalee', 'Nidalee', 'Vi', 'Sejuani', 'Poppy', 'Poppy', 'Sejuani', 'Morgana', 'Maokai', 'Maokai', 'Maokai', 'Vi', 'Zyra', 'Sejuani', 'Sejuani', 'Ivern', 'Sejuani', 'Maokai', 'Shyvana', 'Maokai', 'Shyvana', 'Vi', 'Zyra', 'Sejuani', 'Sejuani', 'Vi', 'Ivern', 'Zyra', 'Ivern', 'Sejuani', 'Ivern', 'Vi', 'Sejuani', 'Vi', 'Sejuani', 'Zyra', 'Vi', 'Vi', 'Poppy', 'Sejuani', 'Poppy', 'Sejuani', 'Zyra', 'Ivern', 'Maokai', 'Maokai', 'Vi']"
