rank,player,teamname,score,percentile,games_played,champion_pool,champion
1,knight,Bilibili Gaming,1385.7,100.0,119,23,"['LeBlanc', 'Orianna', 'LeBlanc', 'Neeko', 'Akali', 'Syndra', 'Neeko', 'Azir', 'Neeko', 'Karma', 'Karma', 'Orianna', 'Karma', 'Taliyah', 'Hwei', 'Karma', 'Neeko', 'Akali', 'Ahri', 'Hwei', 'Taliyah', 'Neeko', 'Ahri', 'Karma', 'Neeko', 'Ahri', 'Karma', 'Neeko', 'Taliyah', 'Ahri', 'LeBlanc', 'Taliyah', 'Karma', 'Ahri', 'Ahri', 'Orianna', 'Tristana', 'Syndra', 'Ahri', 'Orianna', 'Veigar', 'Azir', 'Azir', 'Taliyah', 'Taliyah', 'Azir', 'Aurelion Sol', 'Azir', 'Ahri', 'Orianna', 'Taliyah', 'Azir', 'Neeko', 'Taliyah', 'Corki', 'Taliyah', 'Tristana', 'Ahri', 'Orianna', 'Tristana', 'Vex', 'Taliyah', 'Neeko', 'Annie', 'Corki', 'Neeko', 'Neeko', 'Orianna', 'Jayce', 'Tristana', 'Corki', 'Yone', 'Corki', 'Hwei', 'Jayce', 'Corki', 'Annie', 'Corki', 'Malzahar', 'Corki', 'Yone', 'Lucian', 'Yone', 'Corki', 'Tristana', 'Corki', 'Corki', 'Yone', 'Tristana', 'Taliyah', 'Yone', 'Annie', 'Zeri', 'Yone', 'Ahri', 'Tristana', 'Tristana', 'Tristana', 'Yone', 'Yone', 'Corki', 'Tristana', 'Corki', 'Yone', 'Tristana', 'Yone', 'Zeri', 'Lucian', 'Lucian', 'Corki', 'Corki', 'Corki', 'Yasuo', 'Corki', 'Corki', 'Corki', 'Smolder', 'Zeri', 'Smolder']"
2,Chovy,Gen.G,1291.9,95.8,121,21,"['Corki', 'Tristana', 'Yone', 'Taliyah', 'Taliyah', 'Corki', 'Jayce', ""K'Sante"", 'Jayce', 'Tristana', 'Neeko', 'Yone', 'Corki', 'Azir', 'Azir', 'Karma', 'Azir', 'Hwei', 'Azir', 'Azir', 'Aurelion Sol', 'Azir', 'Azir', 'LeBlanc', 'Azir', 'Corki', 'Taliyah', 'Ahri', 'Corki', 'Ahri', 'Kassadin', 'Taliyah', 'Corki', 'Taliyah', 'Tristana', 'Yone', 'Orianna', 'Sylas', 'Aurelion Sol', 'Azir', 'Tristana', 'Corki', 'Azir', 'Taliyah', 'Azir', 'Aurelion Sol', 'Azir', 'Azir', 'Corki', 'Aurelion Sol', 'Azir', 'Aurelion Sol', 'Corki', 'Corki', 'Aurelion Sol', 'Aurelion Sol', 'Corki', 'Azir', 'Corki', 'Azir', 'Corki', 'Orianna', 'Yone', 'Hwei', 'Corki', 'Yone', 'Yone', 'Hwei', 'Azir', 'Corki', 'Corki', 'Corki', 'Yone', 'Corki', 'Corki', 'Lucian', 'Corki', 'Lucian', 'Corki', 'Hwei', 'Corki', 'Corki', 'Hwei', 'Corki', 'Corki', 'Tristana', 'Azir', 'Tristana', 'Azir', 'Yone', 'Azir', 'Azir', 'Lucian', 'Lucian', 'Draven', 'Zeri', 'Draven', 'Corki', 'Zeri', 'Corki', 'Corki', 'Corki', 'Draven', 'Draven', 'Corki', 'Tristana', 'Tristana', 'Tristana', 'Tristana', 'Tristana', 'Garen', 'Corki', 'Zeri', 'Smolder', 'Corki', 'Corki', 'Smolder', 'Corki', 'Corki', 'Corki', 'Corki']"
3,Zeka,Hanwha Life Esports,1188.64,91.7,112,14,"['Yone', 'Azir', 'Azir', 'Azir', 'Corki', 'Tristana', 'Corki', 'Corki', 'Akali', 'Corki', 'Tristana', 'Tristana', 'Corki', 'Orianna', 'Akali', 'Taliyah', 'Azir', 'Yone', 'Yone', 'Tristana', 'Orianna', 'Azir', 'Akali', 'Azir', 'Azir', 'Azir', 'Tristana', 'Taliyah', 'Ahri', 'Tristana', 'Ahri', 'Orianna', 'Ahri', 'Ahri', 'Ahri', 'Taliyah', 'Corki', 'Taliyah', 'Taliyah', 'Yone', 'Ahri', 'Corki', 'Azir', 'Ahri', 'Azir', 'Azir', 'Taliyah', 'Akali', 'Taliyah', 'Ahri', 'Taliyah', 'Yone', 'Azir', 'Yone', 'Azir', 'Tristana', 'Taliyah', 'Azir', 'Tristana', 'Azir', 'Azir', 'Corki', 'Corki', 'Tristana', 'Yone', 'Tristana', 'Tristana', 'Azir', 'Yone', 'Corki', 'Azir', 'Yone', 'Corki', 'Lucian', 'Yone', 'Lucian', 'Taliyah', 'Corki', 'Lucian', 'Lucian', 'Corki', 'Corki', 'Tristana', 'Lucian', 'Tristana', 'Tristana', 'Ahri', 'Corki', 'Jayce', 'Yasuo', 'LeBlanc', 'Lucian', 'Zeri', 'Corki', 'Corki', 'Corki', 'Yone', 'Smolder', 'Yone', 'Smolder', 'Yone', 'Azir', 'Zeri', 'Smolder', 'Yone', 'Smolder', 'Smolder', 'Tristana', 'Azir', 'Yone', 'Tristana', 'Yone']"
4,Creme,Top Esports,871.49,87.5,121,12,"['Azir', 'Azir', 'Azir', 'Akali', 'Tristana', 'Tristana', 'Tristana', 'Akali', 'Tristana', 'Azir', 'Azir', 'Hwei', 'Akali', 'Akali', 'Akali', 'Akali', 'Hwei', 'Azir', 'Karma', 'Hwei', 'Karma', 'Hwei', 'Ahri', 'Hwei', 'Ahri', 'Hwei', 'Orianna', 'Ahri', 'Hwei', 'Ahri', 'Karma', 'Karma', 'Akali', 'Ahri', 'Karma', 'Karma', 'Karma', 'Ahri', 'Ahri', 'Ahri', 'Taliyah', 'Azir', 'Corki', 'Tristana', 'Azir', 'Azir', 'Corki', 'Tristana', 'Ahri', 'Azir', 'Hwei', 'Azir', 'Taliyah', 'Azir', 'Azir', 'Ahri', 'Ahri', 'Tristana', 'Hwei', 'Corki', 'Corki', 'Akali', 'Ahri', 'Tristana', 'Corki', 'Akali', 'Azir', 'Corki', 'Corki', 'Hwei', 'Corki', 'Tristana', 'Hwei', 'Yone', 'Corki', 'Tristana', 'Corki', 'Yone', 'Tristana', 'Corki', 'Corki', 'Azir', 'Tristana', 'Corki', 'Tristana', 'Yone', 'Yone', 'Corki', 'Azir', 'Azir', 'Azir', 'Azir', 'Corki', 'Corki', 'Tristana', 'Zeri', 'Lucian', 'Corki', 'Zeri', 'Lucian', 'Tristana', 'Lucian', 'Corki', 'Lucian', 'Zeri', 'Zeri', 'Tristana', 'Lucian', 'Corki', 'Tristana', 'Corki', 'Corki', 'Corki', 'Tristana', 'Tristana', 'Zeri', 'Tristana', 'Zeri', 'Zeri', 'Zeri', 'Corki']"
5,Faker,T1,866.05,83.3,147,22,"['Neeko', 'Azir', 'Azir', 'Orianna', 'Corki', 'Azir', 'Corki', 'Orianna', 'Neeko', 'Orianna', 'Orianna', 'Neeko', 'Orianna', 'Taliyah', 'Azir', 'Orianna', 'Orianna', 'Orianna', 'Hwei', 'Karma', 'Hwei', 'Corki', 'Orianna', 'Corki', 'Orianna', 'Taliyah', 'Taliyah', 'Taliyah', 'Taliyah', 'LeBlanc', 'Taliyah', 'Taliyah', 'Ahri', 'Annie', 'Taliyah', 'Ahri', 'Orianna', 'Taliyah', 'Hwei', 'Corki', 'Corki', 'Corki', 'Ahri', 'Orianna', 'Azir', 'Azir', 'Taliyah', 'Corki', 'Azir', 'Taliyah', 'Azir', 'Azir', 'Taliyah', 'Azir', 'Orianna', 'Orianna', 'Orianna', 'Azir', 'Taliyah', 'Azir', 'Taliyah', 'Aurelion Sol', 'Azir', 'Ahri', 'Corki', 'Taliyah', 'Veigar', 'Akali', 'Taliyah', 'Ahri', 'Corki', 'Orianna', 'Orianna', 'Azir', 'Taliyah', 'Tristana', 'Akali', 'Zac', 'Aurelion Sol', 'Taliyah', 'Azir', 'Azir', 'Taliyah', 'Tristana', 'Corki', 'Tristana', 'Corki', 'Ahri', 'Corki', 'Tristana', 'Tristana', 'Azir', 'Azir', 'Tristana', 'Corki', 'Tristana', 'Tristana', 'Azir', 'Tristana', 'Taliyah', 'Ahri', 'Yasuo', 'Tristana', 'Tristana', 'Taliyah', 'Tristana', 'Corki', 'Tristana', 'Tristana', 'Tristana', 'Tristana', 'Corki', 'Lucian', 'Azir', 'Taliyah', 'Corki', 'Azir', 'Azir', 'Corki', 'Corki', 'Ahri', 'Corki', 'Azir', 'Aurora', 'Corki', 'Yone', 'Yone', 'Yone', 'Azir', 'Azir', 'Azir', 'Corki', 'Azir', 'Yasuo', 'Azir', 'Smolder', 'LeBlanc', 'Nasus', 'Smolder', 'Corki', 'Corki', 'Corki', 'Azir', 'Caitlyn', 'Tristana', 'Corki', 'Tristana']"
6,Caps,G2 Esports,846.35,79.2,107,21,"['Neeko', 'LeBlanc', 'Neeko', 'Azir', 'Tristana', 'Tristana', 'LeBlanc', 'Akali', 'LeBlanc', 'Hwei', 'Azir', 'LeBlanc', 'Azir', 'Hwei', 'Azir', ""K'Sante"", 'Hwei', 'Twisted Fate', 'LeBlanc', 'Azir', 'Azir', 'Ahri', 'Neeko', 'Neeko', 'Ahri', 'Ahri', 'Karma', 'Annie', 'Karma', 'Ahri', 'Taliyah', 'Taliyah', 'Aurelion Sol', 'Azir', 'Aurelion Sol', 'Taliyah', 'Aurelion Sol', 'Taliyah', 'Veigar', 'Azir', 'Azir', 'Taliyah', 'Tristana', 'Orianna', 'Orianna', 'Orianna', 'Taliyah', 'Tristana', 'LeBlanc', 'Orianna', 'Tristana', 'Tristana', 'Tristana', 'LeBlanc', 'Aurelion Sol', 'Tristana', 'Hwei', 'Azir', 'Hwei', 'Corki', 'Tristana', 'Azir', 'Corki', 'Corki', 'Corki', 'Corki', 'Tristana', 'Tristana', 'Corki', 'LeBlanc', 'Tristana', 'Ezreal', 'Lucian', 'Tristana', 'Ezreal', 'Lucian', 'Ezreal', 'Corki', 'Lucian', 'Corki', 'Corki', 'Corki', 'Azir', 'Corki', 'Corki', 'Corki', 'Azir', 'Ahri', 'Annie', 'Orianna', 'Azir', 'Smolder', 'Corki', 'Tristana', 'Zeri', 'Zeri', 'Tristana', 'Smolder', 'Tristana', 'Yasuo', 'Corki', 'Corki', 'Corki', 'Corki', 'Corki', 'Azir', 'Azir']"
7,ShowMaker,Dplus KIA,785.46,75.0,111,26,"['Neeko', 'Sylas', 'Syndra', 'Akali', 'Orianna', 'LeBlanc', 'Kassadin', 'Sylas', 'Syndra', 'Azir', 'LeBlanc', 'Tristana', 'LeBlanc', 'Orianna', 'Akali', 'Karma', 'Karma', 'Karma', 'Azir', 'Azir', 'Azir', 'Hwei', 'Karma', 'Azir', 'Karma', 'Karma', 'Karma', 'Azir', 'Taliyah', 'Aurelion Sol', 'Karma', 'Karma', 'LeBlanc', 'Karma', 'Annie', 'Annie', 'Annie', 'Annie', 'Tristana', 'Tristana', 'Ahri', 'Taliyah', 'Azir', 'Azir', 'Azir', 'Azir', 'Sylas', 'Aurelion Sol', 'Ahri', 'Ahri', 'LeBlanc', 'Azir', 'Diana', 'Veigar', 'Ahri', 'Taliyah', 'Azir', 'Tristana', 'Taliyah', 'Taliyah', 'Taliyah', 'Tristana', 'Corki', 'Azir', 'Taliyah', 'LeBlanc', 'Tristana', 'Taliyah', 'Twisted Fate', 'Taliyah', 'Akali', 'Taliyah', 'Taliyah', 'Taliyah', 'LeBlanc', 'Ziggs', 'Twisted Fate', 'LeBlanc', 'Ziggs', 'LeBlanc', 'Azir', 'Azir', 'LeBlanc', 'Jayce', 'Taliyah', 'Twisted Fate', 'Sylas', 'Azir', 'Corki', 'Tryndamere', 'Corki', 'Taliyah', 'Corki', 'Corki', 'Tristana', 'Tristana', 'LeBlanc', 'Zeri', 'Corki', 'Yone', 'Nasus', 'Corki', 'Zeri', 'Yasuo', 'Corki', 'Nasus', 'Taliyah', 'Taliyah', 'Nasus', 'LeBlanc', 'Yone']"
8,Quad,FlyQuest,757.15,70.8,41,9,"['Aurelion Sol', 'Corki', 'Tristana', 'Tristana', 'Tristana', 'Corki', 'Corki', 'Tristana', 'Tristana', 'Corki', 'Corki', 'Corki', 'Tristana', 'Lucian', 'Lucian', 'Corki', 'Corki', 'Corki', 'Corki', 'Lucian', 'Lucian', 'Orianna', 'Azir', 'Azir', 'Smolder', 'Smolder', 'Smolder', 'Azir', 'Orianna', 'Azir', 'Aurelion Sol', 'Aurelion Sol', 'Zeri', 'Zeri', 'Aurelion Sol', 'Corki', 'Corki', 'Yone', 'Corki', 'Corki', 'Corki']"
9,DasheR,Fukuoka SoftBank HAWKS gaming,637.21,66.7,89,17,"['Orianna', 'Taliyah', 'Viktor', 'Azir', 'Jayce', 'LeBlanc', 'Viktor', 'Jayce', 'Azir', 'LeBlanc', 'Jayce', 'Corki', 'Sylas', 'Tristana', 'Orianna', 'Taliyah', 'Azir', 'Hwei', 'Viktor', 'Hwei', 'Taliyah', 'Hwei', 'Taliyah', 'Taliyah', 'Azir', 'Hwei', 'Taliyah', 'Orianna', 'Tristana', 'Taliyah', 'Hwei', 'Orianna', 'Orianna', 'Ahri', 'Orianna', 'Ahri', 'Ahri', 'Sylas', 'Ahri', 'Ahri', 'Taliyah', 'Ahri', 'Ahri', 'Hwei', 'Annie', 'Taliyah', 'Ahri', 'Yone', 'Yone', 'Yone', 'Yone', 'Tristana', 'Tristana', 'Taliyah', 'Corki', 'Lucian', 'Tristana', 'Yone', 'Tristana', 'Corki', 'Azir', 'Tristana', 'Corki', 'Zeri', 'Corki', 'Corki', 'Zoe', 'Lucian', 'Lucian', 'Corki', 'Corki', 'Tristana', 'Tristana', 'Zeri', 'Orianna', 'Zeri', 'Taliyah', 'Corki', 'Corki', 'Corki', 'Corki', 'Smolder', 'Zeri', 'Lucian', 'Azir', 'Tristana', 'Zeri', 'Yone', 'Zeri']"
10,Jensen,FlyQuest,619.57,62.5,33,9,"['Orianna', 'Azir', 'Orianna', 'Corki', 'Azir', 'Orianna', 'Tristana', 'Azir', 'Azir', 'Karma', 'Orianna', 'Karma', 'Taliyah', 'Hwei', 'Taliyah', 'Hwei', 'Ahri', 'Taliyah', 'Annie', 'Hwei', 'Karma', 'Orianna', 'Karma', 'Annie', 'Annie', 'Annie', 'Taliyah', 'Taliyah', 'Orianna', 'Orianna', 'Azir', 'Hwei', 'Azir']"
