rank,player,teamname,score,percentile,games_played,champion_pool,champion
1,ON,Bilibili Gaming,554.09,100.0,119,21,"['Ashe', 'Rakan', 'Renata Glasc', 'Milio', 'Tahm Kench', 'Milio', 'Milio', 'Nautilus', 'Tahm Kench', 'Nami', 'Rakan', 'Renata Glasc', 'Milio', 'Lux', 'Lux', 'Nautilus', 'Renata Glasc', 'Ezreal', 'Rakan', 'Maokai', 'Nautilus', 'Alistar', 'Blitzcrank', 'Rakan', 'Rakan', 'Nautilus', 'Nami', 'Maokai', 'Ashe', 'Lulu', 'Nami', 'Rakan', 'Rakan', 'Nami', 'Lulu', 'Renata Glasc', 'Rakan', 'Nami', 'Alistar', 'Camille', 'Lux', 'Renata Glasc', 'Rell', 'Rakan', 'Nami', 'Ornn', 'Kalista', 'Neeko', 'Renata Glasc', 'Renata Glasc', 'Nami', 'Rakan', 'Ashe', 'Renata Glasc', 'Renata Glasc', 'Nami', 'Nautilus', 'Ashe', 'Ashe', 'Tahm Kench', 'Renata Glasc', 'Renata Glasc', 'Kalista', 'Ornn', 'Nautilus', 'Ornn', 'Nami', 'Ashe', 'Tahm Kench', 'Nautilus', 'Alistar', 'Nautilus', 'Rell', 'Nautilus', 'Camille', 'Rell', 'Nautilus', 'Rakan', 'Rell', 'Rell', 'Alistar', 'Nautilus', 'Renata Glasc', 'Rell', 'Nautilus', 'Nautilus', 'Rakan', 'Renata Glasc', 'Leona', 'Leona', 'Nautilus', 'Rakan', 'Rakan', 'Bard', 'Leona', 'Ornn', 'Rell', 'Alistar', 'Nautilus', 'Alistar', 'Renata Glasc', 'Leona', 'Ornn', 'Alistar', 'Rakan', 'Nautilus', 'Rell', 'Rell', 'Rell', 'Rell', 'Alistar', 'Rell', 'Rell', 'Renata Glasc', 'Rell', 'Rell', 'Alistar', 'Braum', 'Bard']"
2,CoreJJ,Team Liquid,513.93,96.3,78,16,"['Ashe', 'Lulu', 'Nami', 'Rakan', 'Bard', 'Milio', 'Lulu', 'Taric', 'Nautilus', 'Rell', 'Tahm Kench', 'Nautilus', 'Nautilus', 'Tahm Kench', 'Nautilus', 'Rell', 'Rell', 'Ashe', 'Taric', 'Rell', 'Nautilus', 'Lulu', 'Rakan', 'Rakan', 'Tahm Kench', 'Rakan', 'Zyra', 'Nautilus', 'Rell', 'Tahm Kench', 'Tahm Kench', 'Nautilus', 'Nautilus', 'Renata Glasc', 'Nautilus', 'Nami', 'Nami', 'Rell', 'Ashe', 'Nami', 'Alistar', 'Nautilus', 'Nautilus', 'Rell', 'Nautilus', 'Ashe', 'Alistar', 'Rakan', 'Nami', 'Nami', 'Alistar', 'Rakan', 'Nami', 'Rakan', 'Leona', 'Rakan', 'Leona', 'Leona', 'Renata Glasc', 'Leona', 'Rakan', 'Leona', 'Karma', 'Nautilus', 'Rell', 'Rell', 'Nautilus', 'Rell', 'Rell', 'Senna', 'Rakan', 'Renata Glasc', 'Senna', 'Rell', 'Rakan', 'Senna', 'Rell', 'Rell']"
3,Delight,Hanwha Life Esports,504.05,92.6,112,17,"['Nami', 'Renata Glasc', 'Rakan', 'Rakan', 'Nami', 'Milio', 'Rakan', 'Milio', 'Nami', 'Renata Glasc', 'Milio', 'Milio', 'Rell', 'Nautilus', 'Tahm Kench', 'Nami', 'Nami', 'Rakan', 'Rakan', 'Alistar', 'Rakan', 'Tahm Kench', 'Rakan', 'Tahm Kench', 'Rell', 'Alistar', 'Lulu', 'Rakan', 'Rell', 'Alistar', 'Alistar', 'Braum', 'Thresh', 'Rell', 'Rakan', 'Alistar', 'Camille', 'Nautilus', 'Bard', 'Nami', 'Rell', 'Alistar', 'Rell', 'Blitzcrank', 'Nautilus', 'Nautilus', 'Nautilus', 'Alistar', 'Lulu', 'Tahm Kench', 'Rakan', 'Rell', 'Rell', 'Thresh', 'Rell', 'Leona', 'Alistar', 'Rell', 'Alistar', 'Renata Glasc', 'Rell', 'Rell', 'Poppy', 'Rell', 'Alistar', 'Rell', 'Nautilus', 'Alistar', 'Leona', 'Alistar', 'Rakan', 'Bard', 'Rell', 'Alistar', 'Leona', 'Braum', 'Alistar', 'Alistar', 'Rell', 'Rell', 'Rell', 'Braum', 'Leona', 'Rell', 'Alistar', 'Alistar', 'Poppy', 'Leona', 'Alistar', 'Rakan', 'Leona', 'Alistar', 'Leona', 'Poppy', 'Rakan', 'Poppy', 'Rakan', 'Leona', 'Rell', 'Nautilus', 'Leona', 'Ornn', 'Leona', 'Bard', 'Rell', 'Rakan', 'Poppy', 'Leona', 'Alistar', 'Rakan', 'Blitzcrank', 'Rell']"
4,Lehends,Gen.G,491.7,88.9,121,19,"['Lulu', 'Rakan', 'Rakan', 'Milio', 'Milio', 'Nautilus', 'Milio', 'Ashe', 'Lulu', 'Milio', 'Milio', 'Milio', 'Nautilus', 'Renata Glasc', 'Milio', 'Milio', 'Tahm Kench', 'Milio', 'Nautilus', 'Nautilus', 'Alistar', 'Alistar', 'Nautilus', 'Nautilus', 'Alistar', 'Nautilus', 'Nami', 'Alistar', 'Lulu', 'Renata Glasc', 'Tahm Kench', 'Tahm Kench', 'Milio', 'Tahm Kench', 'Nami', 'Lulu', 'Nami', 'Maokai', 'Hwei', 'Tahm Kench', 'Rumble', 'Rumble', 'Lulu', 'Lulu', 'Nautilus', 'Nami', 'Nautilus', 'Nautilus', 'Nautilus', 'Annie', 'Lulu', 'Nami', 'Annie', 'Rumble', 'Nami', 'Nami', 'Alistar', 'Lulu', 'Nautilus', 'Alistar', 'Ashe', 'Nautilus', 'Nautilus', 'Nautilus', 'Nami', 'Tahm Kench', 'Blitzcrank', 'Ashe', 'Maokai', 'Lulu', 'Nautilus', 'Leona', 'Leona', 'Leona', 'Blitzcrank', 'Nautilus', 'Ornn', 'Leona', 'Alistar', 'Nautilus', 'Nautilus', 'Nautilus', 'Leona', 'Rakan', 'Nautilus', 'Leona', 'Ornn', 'Leona', 'Braum', 'Braum', 'Alistar', 'Maokai', 'Leona', 'Renata Glasc', 'Leona', 'Rakan', 'Lulu', 'Nami', 'Ornn', 'Alistar', 'Alistar', 'Leona', 'Rakan', 'Nautilus', 'Nami', 'Leona', 'Blitzcrank', 'Rell', 'Alistar', 'Poppy', 'Blitzcrank', 'Rell', 'Blitzcrank', 'Renata Glasc', 'Renata Glasc', 'Blitzcrank', 'Rell', 'Blitzcrank', 'Alistar', 'Alistar', 'Nautilus']"
5,SofM,Vikings Esports,431.28,85.2,10,5,"['Karma', 'Karma', 'Rumble', 'Heimerdinger', 'Rakan', 'Hwei', 'Hwei', 'Hwei', 'Hwei', 'Rakan']"
6,Bie,Vikings Esports,403.23,81.5,42,12,"['Leona', 'Leona', 'Rakan', 'Braum', 'Leona', 'Rakan', 'Rell', 'Leona', 'Nautilus', 'Alistar', 'Leona', 'Senna', 'Alistar', 'Leona', 'Rakan', 'Ashe', 'Senna', 'Leona', 'Leona', 'Shen', 'Leona', 'Leona', 'Rell', 'Renata Glasc', 'Renata Glasc', 'Senna', 'Leona', 'Leona', 'Rell', 'Renata Glasc', 'Poppy', 'Rell', 'Senna', 'Senna', 'Lux', 'Rakan', 'Leona', 'Rell', 'Rell', 'Alistar', 'Renata Glasc', 'Nautilus']"
7,Woody,PSG Talon,395.51,77.8,84,18,"['Milio', 'Bard', 'Renata Glasc', 'Milio', 'Renata Glasc', 'Milio', 'Milio', 'Lux', 'Lux', 'Nautilus', 'Lux', 'Milio', 'Milio', 'Milio', 'Bard', 'Rakan', 'Braum', 'Bard', 'Nautilus', 'Nautilus', 'Lulu', 'Rell', 'Neeko', 'Ashe', 'Alistar', 'Rakan', 'Braum', 'Nautilus', 'Alistar', 'Nami', 'Nautilus', 'Nami', 'Nami', 'Nautilus', 'Rakan', 'Rakan', 'Alistar', 'Tahm Kench', 'Ashe', 'Rell', 'Galio', 'Renata Glasc', 'Nautilus', 'Ashe', 'Nami', 'Nami', 'Lulu', 'Ashe', 'Tahm Kench', 'Nautilus', 'Nautilus', 'Rumble', 'Ornn', 'Nautilus', 'Rell', 'Leona', 'Leona', 'Rell', 'Ornn', 'Nami', 'Rell', 'Leona', 'Rakan', 'Alistar', 'Leona', 'Leona', 'Nautilus', 'Leona', 'Leona', 'Leona', 'Nautilus', 'Leona', 'Renata Glasc', 'Alistar', 'Renata Glasc', 'Rell', 'Rakan', 'Rell', 'Rell', 'Alistar', 'Renata Glasc', 'Rell', 'Leona', 'Leona']"
8,Vsta,Fukuoka SoftBank HAWKS gaming,384.17,74.1,89,20,"['Rakan', 'Rakan', 'Neeko', 'Milio', 'Nami', 'Renata Glasc', 'Milio', 'Rakan', 'Milio', 'Rakan', 'Milio', 'Neeko', 'Tahm Kench', 'Rakan', 'Yasuo', 'Nautilus', 'Ashe', 'Maokai', 'Nautilus', 'Rell', 'Nautilus', 'Nautilus', 'Maokai', 'Nautilus', 'Nautilus', 'Pyke', 'Nautilus', 'Yasuo', 'Nautilus', 'Nautilus', 'Rumble', 'Bard', 'Bard', 'Rakan', 'Tahm Kench', 'Ashe', 'Maokai', 'Bard', 'Rakan', 'Maokai', 'Maokai', 'Alistar', 'Alistar', 'Neeko', 'Alistar', 'Camille', 'Maokai', 'Rumble', 'Pyke', 'Nautilus', 'Rell', 'Leona', 'Rakan', 'Leona', 'Rell', 'Leona', 'Leona', 'Alistar', 'Alistar', 'Alistar', 'Rumble', 'Nautilus', 'Alistar', 'Alistar', 'Braum', 'Alistar', 'Poppy', 'Leona', 'Leona', 'Leona', 'Alistar', 'Braum', 'Leona', 'Rell', 'Poppy', 'Blitzcrank', 'Leona', 'Leona', 'Leona', 'Alistar', 'Rell', 'Rell', 'Nautilus', 'Poppy', 'Alistar', 'Rell', 'Rakan', 'Rell', 'Rell']"
9,Meiko,Top Esports,333.23,70.4,121,22,"['Nautilus', 'Renata Glasc', 'Soraka', 'Tahm Kench', 'Nami', 'Nami', 'Tahm Kench', 'Ashe', 'Ashe', 'Maokai', 'Renata Glasc', 'Renata Glasc', 'Nami', 'Tahm Kench', 'Ashe', 'Renata Glasc', 'Milio', 'Milio', 'Rakan', 'Nautilus', 'Alistar', 'Nautilus', 'Nautilus', 'Nautilus', 'Maokai', 'Renata Glasc', 'Nautilus', 'Lulu', 'Braum', 'Ashe', 'Nautilus', 'Nami', 'Neeko', 'Renata Glasc', 'Nami', 'Nautilus', 'Ornn', 'Nautilus', 'Alistar', 'Rumble', 'Thresh', 'Nami', 'Nami', 'Nautilus', 'Thresh', 'Nami', 'Leona', 'Rumble', 'Tahm Kench', 'Tahm Kench', 'Nautilus', 'Ashe', 'Rakan', 'Tahm Kench', 'Renata Glasc', 'Nami', 'Rumble', 'Ashe', 'Nami', 'Ornn', 'Milio', 'Nautilus', 'Nami', 'Alistar', 'Ashe', 'Nami', 'Nautilus', 'Renata Glasc', 'Camille', 'Ornn', 'Leona', 'Ornn', 'Alistar', 'Leona', 'Ornn', 'Leona', 'Ornn', 'Braum', 'Alistar', 'Leona', 'Leona', 'Ashe', 'Leona', 'Braum', 'Leona', 'Leona', 'Braum', 'Leona', 'Ornn', 'Ornn', 'Ornn', 'Braum', 'Leona', 'Leona', 'Karma', 'Leona', 'Leona', 'Leona', 'Leona', 'Alistar', 'Rakan', 'Braum', 'Rell', 'Alistar', 'Alistar', 'Poppy', 'Poppy', 'Poppy', 'Alistar', 'Alistar', 'Leona', 'Alistar', 'Leona', 'Seraphine', 'Alistar', 'Alistar', 'Leona', 'Rell', 'Alistar', 'Rell', 'Leona']"
10,Lyonz,Movistar R7,262.96,66.7,69,16,"['Lulu', 'Milio', 'Varus', 'Rakan', 'Renata Glasc', 'Milio', 'Renata Glasc', 'Milio', 'Renata Glasc', 'Renata Glasc', 'Milio', 'Ashe', 'Senna', 'Milio', 'Nautilus', 'Maokai', 'Rell', 'Rell', 'Nautilus', 'Ashe', 'Nautilus', 'Alistar', 'Tahm Kench', 'Rell', 'Milio', 'Rakan', 'Rell', 'Milio', 'Rell', 'Nautilus', 'Nautilus', 'Rell', 'Rakan', 'Renata Glasc', 'Ashe', 'Senna', 'Camille', 'Rumble', 'Nautilus', 'Rell', 'Nautilus', 'Nautilus', 'Nautilus', 'Alistar', 'Nautilus', 'Nautilus', 'Leona', 'Braum', 'Rakan', 'Leona', 'Leona', 'Nautilus', 'Leona', 'Nautilus', 'Rakan', 'Rell', 'Leona', 'Leona', 'Nautilus', 'Nautilus', 'Rell', 'Nautilus', 'Rell', 'Rakan', 'Renata Glasc', 'Nautilus', 'Alistar', 'Rell', 'Rell']"
