rank,player,teamname,score,percentile,games_played,champion_pool,champion
1,Kiin,Gen.G,1363.2,100.0,121,30,"[""K'Sante"", ""K'Sante"", 'Udyr', 'Darius', 'Olaf', ""K'Sante"", 'Udyr', 'Akali', 'Udyr', 'Rumble', ""K'Sante"", 'Udyr', 'Jayce', 'Darius', 'Udyr', 'Gwen', 'Rumble', 'Jax', 'Twisted Fate', 'Udyr', ""K'Sante"", 'Udyr', ""K'Sante"", 'Twisted Fate', 'Twisted Fate', 'Tristana', 'Jax', 'Jayce', ""K'Sante"", 'Twisted Fate', 'Rumble', 'Aatrox', 'Renekton', 'Jayce', 'Udyr', 'Twisted Fate', ""K'Sante"", 'Quinn', ""K'Sante"", 'Twisted Fate', 'Jayce', ""K'Sante"", 'Urgot', ""K'Sante"", 'Urgot', 'Aatrox', 'Rumble', ""K'Sante"", 'Rumble', ""Rek'Sai"", ""Rek'Sai"", ""K'Sante"", ""K'Sante"", ""K'Sante"", ""K'Sante"", 'Vayne', 'Vayne', 'Twisted Fate', 'Ryze', ""K'Sante"", ""K'Sante"", 'Twisted Fate', ""K'Sante"", 'Poppy', 'Twisted Fate', ""K'Sante"", 'Zac', 'Rumble', 'Rumble', 'Rumble', 'Twisted Fate', 'Skarner', 'Skarner', ""K'Sante"", 'Udyr', 'Skarner', 'Skarner', 'Mordekaiser', 'Skarner', 'Kennen', ""K'Sante"", ""K'Sante"", 'Twisted Fate', 'Gangplank', 'Jayce', 'Gangplank', ""K'Sante"", 'Jax', ""K'Sante"", ""K'Sante"", 'Jax', 'Renekton', 'Kalista', 'Udyr', ""K'Sante"", 'Kennen', 'Kennen', 'Ryze', ""K'Sante"", ""K'Sante"", 'Gangplank', 'Gangplank', 'Aurora', 'Gangplank', 'Kennen', 'Renekton', 'Jayce', 'Nasus', 'Renekton', ""K'Sante"", 'Corki', 'Garen', ""K'Sante"", ""K'Sante"", 'Nasus', ""K'Sante"", ""K'Sante"", 'Ornn', 'Jax', 'Udyr', ""K'Sante""]"
2,Bin,Bilibili Gaming,1245.39,96.0,119,17,"[""K'Sante"", 'Aatrox', 'Kennen', 'Udyr', ""K'Sante"", 'Udyr', 'Udyr', 'Darius', 'Jax', ""K'Sante"", ""K'Sante"", ""K'Sante"", 'Aatrox', ""K'Sante"", ""K'Sante"", 'Darius', 'Udyr', ""K'Sante"", 'Aatrox', 'Gnar', 'Jax', 'Renekton', 'Jax', 'Aatrox', 'Aatrox', 'Aatrox', 'Gnar', 'Jax', 'Gragas', 'Udyr', 'Gragas', 'Renekton', 'Jax', 'Aatrox', 'Aatrox', ""Rek'Sai"", 'Aatrox', 'Renekton', 'Ornn', ""Rek'Sai"", ""Rek'Sai"", 'Renekton', ""Rek'Sai"", 'Twisted Fate', 'Aatrox', ""Rek'Sai"", 'Rumble', 'Renekton', ""K'Sante"", 'Renekton', ""K'Sante"", 'Vayne', ""K'Sante"", 'Vayne', ""K'Sante"", 'Jax', ""K'Sante"", 'Camille', 'Jax', ""K'Sante"", ""K'Sante"", 'Twisted Fate', ""K'Sante"", 'Twisted Fate', 'Twisted Fate', 'Camille', 'Twisted Fate', 'Camille', 'Jax', 'Camille', 'Twisted Fate', 'Camille', 'Kennen', 'Rumble', 'Mordekaiser', 'Skarner', 'Renekton', 'Skarner', 'Rumble', 'Rumble', 'Skarner', ""K'Sante"", 'Skarner', 'Renekton', ""K'Sante"", 'Camille', 'Jax', 'Renekton', 'Kennen', 'Kennen', 'Kennen', 'Gnar', 'Kennen', 'Gnar', 'Gnar', ""K'Sante"", 'Kennen', 'Gnar', 'Gnar', 'Kennen', 'Gnar', ""K'Sante"", 'Renekton', 'Renekton', 'Kennen', 'Gnar', 'Renekton', 'Kennen', 'Renekton', 'Renekton', 'Renekton', 'Kennen', 'Renekton', 'Kennen', 'Gnar', 'Renekton', 'Renekton', 'Gnar', 'Renekton']"
3,369,Top Esports,1091.01,92.0,121,19,"['Udyr', 'Udyr', 'Sion', 'Udyr', 'Rumble', 'Rumble', 'Kennen', 'Gnar', 'Rumble', 'Aatrox', 'Aatrox', 'Aatrox', ""K'Sante"", 'Aatrox', 'Jax', 'Aatrox', 'Gnar', 'Jax', 'Ornn', 'Aatrox', 'Jayce', 'Aatrox', 'Aatrox', 'Renekton', 'Gnar', 'Renekton', 'Aatrox', 'Aatrox', 'Renekton', ""K'Sante"", 'Rumble', 'Renekton', ""K'Sante"", 'Renekton', 'Aatrox', 'Aatrox', 'Renekton', 'Renekton', 'Aatrox', 'Ornn', 'Ornn', 'Urgot', 'Quinn', 'Gragas', ""K'Sante"", 'Urgot', 'Urgot', 'Renekton', ""K'Sante"", 'Renekton', 'Renekton', ""Rek'Sai"", 'Gragas', ""K'Sante"", 'Ornn', ""K'Sante"", ""K'Sante"", 'Renekton', 'Urgot', 'Twisted Fate', ""K'Sante"", ""K'Sante"", 'Renekton', 'Rumble', 'Urgot', 'Urgot', ""K'Sante"", ""K'Sante"", 'Udyr', 'Mordekaiser', 'Twisted Fate', 'Mordekaiser', 'Rumble', 'Skarner', 'Rumble', 'Mordekaiser', 'Skarner', 'Skarner', ""K'Sante"", 'Renekton', 'Mordekaiser', ""K'Sante"", 'Mordekaiser', 'Rumble', ""K'Sante"", 'Kennen', ""K'Sante"", ""K'Sante"", 'Jayce', 'Jayce', 'Renekton', 'Kennen', ""K'Sante"", ""K'Sante"", 'Kennen', ""K'Sante"", 'Mordekaiser', 'Ornn', ""K'Sante"", 'Mordekaiser', ""K'Sante"", ""K'Sante"", 'Ornn', 'Rumble', 'Renekton', 'Renekton', 'Renekton', ""K'Sante"", 'Gragas', 'Mordekaiser', 'Mordekaiser', 'Poppy', ""K'Sante"", ""K'Sante"", 'Renekton', ""K'Sante"", 'Renekton', 'Ornn', 'Renekton', 'Ornn', ""K'Sante""]"
4,Doran,Hanwha Life Esports,1060.26,88.0,112,21,"[""K'Sante"", 'Aatrox', 'Aatrox', ""K'Sante"", 'Udyr', 'Rumble', 'Aatrox', ""K'Sante"", 'Gwen', 'Jax', 'Udyr', 'Rumble', 'Aatrox', 'Aatrox', 'Camille', 'Aatrox', 'Aatrox', 'Gnar', 'Udyr', 'Gwen', 'Gwen', 'Gwen', ""K'Sante"", 'Udyr', ""K'Sante"", 'Kennen', ""K'Sante"", 'Aatrox', 'Twisted Fate', 'Gwen', 'Twisted Fate', 'Irelia', ""K'Sante"", 'Jayce', ""K'Sante"", 'Jayce', 'Gnar', 'Aatrox', 'Jax', 'Gnar', ""K'Sante"", 'Aatrox', 'Aatrox', ""Rek'Sai"", ""Rek'Sai"", 'Jax', 'Aatrox', ""Rek'Sai"", 'Jayce', ""Rek'Sai"", 'Jayce', ""K'Sante"", ""Rek'Sai"", 'Gwen', ""Rek'Sai"", 'Zac', 'Skarner', 'Skarner', 'Rumble', 'Rumble', 'Skarner', 'Aatrox', 'Twisted Fate', 'Skarner', 'Skarner', 'Skarner', 'Aatrox', 'Rumble', 'Twisted Fate', 'Rumble', 'Quinn', 'Jax', ""K'Sante"", 'Gnar', 'Gnar', 'Renekton', 'Jax', 'Renekton', 'Rumble', 'Rumble', ""K'Sante"", ""K'Sante"", 'Gnar', 'Gnar', 'Gnar', 'Aatrox', 'Kennen', 'Renekton', 'Rumble', 'Kennen', 'Kennen', 'Rumble', 'Aurora', ""K'Sante"", 'Gnar', 'Kennen', 'Vladimir', 'Renekton', 'Jax', 'Jax', 'Renekton', ""K'Sante"", 'Jax', 'Jax', ""K'Sante"", 'Renekton', 'Nasus', 'Mordekaiser', 'Renekton', 'Camille', 'Jax', 'Jax']"
5,BrokenBlade,G2 Esports,1017.22,84.0,107,29,"['Gwen', 'Kennen', 'Jax', ""K'Sante"", ""K'Sante"", 'Yone', ""K'Sante"", 'Vladimir', ""K'Sante"", 'Yasuo', 'Zac', 'Zac', 'Poppy', 'Zac', 'Twisted Fate', 'Yasuo', ""K'Sante"", 'Akali', ""K'Sante"", 'Kennen', 'Gragas', 'Volibear', 'Jayce', 'Gragas', 'Renekton', 'Gwen', 'Jax', ""Rek'Sai"", ""Rek'Sai"", 'Zac', ""Rek'Sai"", 'Twisted Fate', 'Renekton', ""Rek'Sai"", 'Sion', ""K'Sante"", 'Zac', 'Sion', 'Sion', 'Sion', 'Twisted Fate', 'Zac', 'Yasuo', 'Zac', 'Yasuo', 'Poppy', 'Zac', 'Zac', 'Twisted Fate', 'Vayne', 'Camille', 'Twisted Fate', ""K'Sante"", 'Jax', 'Urgot', 'Jax', 'Camille', ""K'Sante"", 'Kennen', 'Skarner', ""K'Sante"", 'Sejuani', 'Camille', 'Gragas', 'Dr. Mundo', 'Gragas', 'Rumble', 'Dr. Mundo', 'Sejuani', 'Rumble', 'Renekton', 'Renekton', 'Aatrox', 'Jayce', 'Jayce', 'Varus', 'Renekton', 'Varus', 'Twisted Fate', 'Rumble', 'Ornn', 'Aatrox', 'Dr. Mundo', 'Kennen', 'Ornn', 'Ornn', 'Kennen', 'Kennen', 'Kennen', ""K'Sante"", 'Irelia', ""K'Sante"", 'Yone', 'Galio', 'Renekton', 'Aatrox', ""K'Sante"", ""K'Sante"", ""K'Sante"", 'Renekton', ""K'Sante"", ""K'Sante"", 'Aatrox', 'Dr. Mundo', 'Poppy', ""K'Sante"", ""K'Sante""]"
6,Zika,LNG Esports,931.34,80.0,90,17,"['Jax', 'Gnar', 'Jax', 'Aatrox', 'Rumble', 'Udyr', ""K'Sante"", 'Gnar', 'Ornn', ""K'Sante"", ""K'Sante"", 'Aatrox', 'Rumble', 'Yone', 'Rumble', 'Jax', 'Yone', 'Gnar', 'Gwen', 'Aatrox', 'Aatrox', ""K'Sante"", ""K'Sante"", ""K'Sante"", 'Gwen', 'Gwen', ""K'Sante"", ""K'Sante"", 'Camille', ""K'Sante"", 'Udyr', 'Renekton', ""K'Sante"", 'Renekton', ""K'Sante"", 'Twisted Fate', 'Aatrox', 'Ornn', 'Renekton', 'Renekton', 'Renekton', 'Renekton', 'Renekton', ""K'Sante"", 'Aatrox', ""K'Sante"", 'Camille', 'Skarner', 'Skarner', 'Ornn', 'Renekton', 'Vayne', ""K'Sante"", 'Renekton', 'Jax', 'Rumble', 'Jax', 'Skarner', 'Skarner', 'Renekton', 'Jax', ""K'Sante"", 'Rumble', 'Rumble', ""K'Sante"", ""K'Sante"", 'Ryze', 'Camille', ""K'Sante"", 'Renekton', 'Renekton', ""K'Sante"", 'Gnar', 'Gnar', 'Kennen', 'Camille', 'Rumble', 'Aatrox', ""K'Sante"", ""K'Sante"", 'Rumble', 'Rumble', ""K'Sante"", ""K'Sante"", ""K'Sante"", 'Kennen', 'Ryze', 'Ryze', 'Renekton', 'Sion']"
7,Zeus,T1,856.7,76.0,147,27,"['Gwen', 'Udyr', 'Kennen', 'Yone', 'Ornn', 'Rumble', ""K'Sante"", 'Aatrox', 'Yone', 'Yone', 'Aatrox', 'Aatrox', ""K'Sante"", 'Zac', ""K'Sante"", 'Aatrox', 'Aatrox', 'Aatrox', 'Gnar', 'Yone', ""K'Sante"", 'Aatrox', ""K'Sante"", 'Twisted Fate', ""K'Sante"", 'Aatrox', 'Aatrox', 'Aatrox', 'Aatrox', 'Jayce', 'Tristana', 'Aatrox', 'Aatrox', 'Aatrox', 'Aatrox', 'Aatrox', 'Twisted Fate', 'Gnar', 'Twisted Fate', 'Twisted Fate', 'Twisted Fate', 'Twisted Fate', ""Rek'Sai"", 'Twisted Fate', 'Vayne', 'Twisted Fate', 'Twisted Fate', 'Zac', ""K'Sante"", 'Vayne', 'Aatrox', ""K'Sante"", 'Zac', 'Gwen', 'Zac', ""K'Sante"", ""K'Sante"", 'Ornn', ""K'Sante"", 'Twisted Fate', 'Ornn', 'Twisted Fate', ""K'Sante"", ""K'Sante"", ""K'Sante"", 'Zac', 'Twisted Fate', 'Zac', 'Camille', 'Vayne', 'Vayne', 'Vayne', 'Camille', ""K'Sante"", 'Rumble', ""K'Sante"", 'Camille', 'Yasuo', ""K'Sante"", ""K'Sante"", 'Kennen', ""K'Sante"", 'Twisted Fate', ""K'Sante"", 'Rumble', 'Camille', 'Gnar', 'Skarner', 'Skarner', 'Gnar', ""K'Sante"", 'Skarner', 'Skarner', ""K'Sante"", 'Zeri', 'Aatrox', 'Gnar', 'Jayce', 'Zeri', ""K'Sante"", 'Rumble', 'Rumble', ""K'Sante"", ""K'Sante"", 'Gnar', 'Gnar', 'Renekton', 'Kennen', 'Jayce', 'Yone', ""K'Sante"", 'Renekton', 'Gnar', 'Kennen', 'Jayce', ""K'Sante"", 'Poppy', 'Kennen', 'Kennen', 'Jax', 'Camille', 'Mordekaiser', 'Kennen', 'Kennen', 'Kennen', 'Sylas', 'Jayce', 'Gnar', 'Rumble', 'Aurora', 'Kennen', 'Camille', 'Olaf', 'Aatrox', 'Olaf', 'Vayne', 'Kennen', 'Olaf', 'Camille', ""K'Sante"", 'Camille', 'Yone', 'Gnar', 'Gnar', 'Camille', 'Zeri', 'Corki']"
8,Kingen,Dplus KIA,842.1,72.0,111,22,"['Gragas', 'Poppy', 'Aatrox', 'Rumble', ""K'Sante"", 'Aatrox', 'Aatrox', 'Olaf', 'Aatrox', 'Aatrox', 'Udyr', 'Udyr', 'Aatrox', 'Gnar', 'Gnar', ""K'Sante"", 'Aatrox', 'Aatrox', 'Gnar', 'Twisted Fate', 'Aatrox', 'Gnar', ""K'Sante"", 'Aatrox', 'Smolder', 'Aatrox', 'Aatrox', 'Aatrox', 'Aatrox', 'Gnar', 'Volibear', 'Aatrox', 'Renekton', 'Renekton', 'Gnar', 'Gnar', ""K'Sante"", ""K'Sante"", 'Rumble', 'Volibear', 'Udyr', 'Renekton', ""Rek'Sai"", ""K'Sante"", ""K'Sante"", ""Rek'Sai"", ""K'Sante"", 'Rumble', 'Gragas', 'Udyr', ""Rek'Sai"", 'Aatrox', 'Jax', ""K'Sante"", 'Rumble', 'Skarner', 'Twisted Fate', ""K'Sante"", 'Skarner', 'Skarner', 'Aatrox', 'Aatrox', 'Twisted Fate', ""K'Sante"", 'Gnar', 'Rumble', 'Gnar', 'Gragas', 'Gragas', 'Renekton', 'Gangplank', 'Gnar', 'Gnar', 'Renekton', 'Gnar', 'Gnar', 'Gnar', 'Gnar', 'Gangplank', 'Gnar', 'Jayce', 'Gnar', 'Rumble', 'Renekton', 'Renekton', 'Renekton', 'Gnar', 'Lee Sin', 'Renekton', 'Rumble', 'Rumble', 'Gragas', 'Gangplank', 'Rumble', 'Aurora', 'Aurora', 'Gangplank', 'Gangplank', 'Gangplank', 'Smolder', 'Rumble', ""K'Sante"", 'Gnar', 'Rumble', 'Malphite', 'Olaf', 'Nasus', 'Gnar', 'Gangplank', 'Aatrox', 'Corki']"
9,Oscarinin,Fnatic,828.69,68.0,101,24,"[""K'Sante"", ""K'Sante"", 'Renekton', 'Udyr', 'Gwen', ""K'Sante"", ""K'Sante"", 'Jax', 'Rumble', 'Darius', 'Yone', 'Poppy', 'Gragas', 'Karma', 'Aatrox', 'Zac', 'Ornn', ""K'Sante"", ""K'Sante"", 'Jayce', 'Zac', 'Gwen', ""K'Sante"", 'Aatrox', 'Renekton', 'Ornn', ""K'Sante"", 'Olaf', 'Rumble', 'Poppy', ""K'Sante"", ""K'Sante"", ""Rek'Sai"", 'Aatrox', 'Olaf', 'Udyr', ""K'Sante"", 'Zac', ""K'Sante"", ""Rek'Sai"", 'Zac', 'Zac', 'Twisted Fate', ""K'Sante"", ""K'Sante"", ""K'Sante"", ""Rek'Sai"", 'Zac', ""K'Sante"", 'Zac', ""K'Sante"", 'Ornn', 'Twisted Fate', 'Sion', 'Camille', 'Zac', ""K'Sante"", 'Ornn', 'Camille', 'Poppy', 'Sion', 'Zac', 'Poppy', 'Zac', ""K'Sante"", 'Poppy', 'Renekton', 'Rumble', 'Ornn', ""K'Sante"", 'Olaf', 'Zac', 'Skarner', ""K'Sante"", 'Varus', 'Ornn', ""K'Sante"", 'Olaf', 'Poppy', 'Ornn', 'Jax', 'Renekton', ""K'Sante"", 'Ornn', 'Renekton', 'Renekton', 'Renekton', 'Renekton', 'Renekton', 'Kennen', ""K'Sante"", 'Renekton', 'Rumble', 'Poppy', 'Gnar', ""K'Sante"", 'Kennen', 'Kennen', ""K'Sante"", 'Camille', 'Renekton']"
10,Impact,Team Liquid,662.7,64.0,78,14,"['Udyr', 'Udyr', ""K'Sante"", 'Udyr', 'Poppy', 'Udyr', 'Udyr', ""K'Sante"", 'Rumble', ""K'Sante"", 'Jax', 'Renekton', ""K'Sante"", 'Renekton', 'Aatrox', ""K'Sante"", 'Rumble', ""K'Sante"", 'Rumble', 'Renekton', 'Jax', ""K'Sante"", 'Renekton', ""K'Sante"", ""K'Sante"", 'Gragas', ""K'Sante"", 'Rumble', 'Renekton', ""K'Sante"", ""K'Sante"", 'Twisted Fate', ""K'Sante"", ""K'Sante"", 'Rumble', 'Renekton', ""K'Sante"", ""K'Sante"", ""K'Sante"", 'Ornn', ""K'Sante"", ""K'Sante"", ""K'Sante"", ""K'Sante"", 'Zac', 'Zac', 'Rumble', 'Udyr', ""K'Sante"", 'Mordekaiser', ""K'Sante"", 'Rumble', 'Rumble', 'Jax', ""K'Sante"", 'Udyr', 'Jax', 'Renekton', 'Ornn', 'Rumble', 'Kennen', 'Rumble', 'Mordekaiser', 'Jax', ""K'Sante"", 'Ornn', 'Ornn', ""K'Sante"", 'Gangplank', ""K'Sante"", ""K'Sante"", ""K'Sante"", 'Ornn', ""K'Sante"", ""K'Sante"", 'Jax', 'Gangplank', ""K'Sante""]"
